run	condition	strain	culture	day	replicate	qc_pass
27D6_alone_d2_1	27D6_alone_d2	27D6	alone	d2	1	yes
27D6_alone_d2_2	27D6_alone_d2	27D6	alone	d2	2	yes
27D6_alone_d2_3	27D6_alone_d2	27D6	alone	d2	3	yes
27D6_alone_d2_4	27D6_alone_d2	27D6	alone	d2	4	yes
27D6_alone_d3_1	27D6_alone_d3	27D6	alone	d3	1	yes
27D6_alone_d3_2	27D6_alone_d3	27D6	alone	d3	2	yes
27D6_alone_d3_3	27D6_alone_d3	27D6	alone	d3	3	yes
27D6_alone_d3_4	27D6_alone_d3	27D6	alone	d3	4	yes
27D6_withC_d2_1	27D6_withC_d2	27D6	withC	d2	1	yes
27D6_withC_d2_2	27D6_withC_d2	27D6	withC	d2	2	yes
27D6_withC_d2_3	27D6_withC_d2	27D6	withC	d2	3	yes
27D6_withC_d2_4	27D6_withC_d2	27D6	withC	d2	4	yes
27D6_withC_d3_1	27D6_withC_d3	27D6	withC	d3	1	yes
27D6_withC_d3_2	27D6_withC_d3	27D6	withC	d3	2	yes
27D6_withC_d3_3	27D6_withC_d3	27D6	withC	d3	3	yes
27D6_withC_d3_4	27D6_withC_d3	27D6	withC	d3	4	yes
34F7_alone_d2_1	34F7_alone_d2	34F7	alone	d2	1	no
34F7_alone_d2_2	34F7_alone_d2	34F7	alone	d2	2	yes
34F7_alone_d2_3	34F7_alone_d2	34F7	alone	d2	3	yes
34F7_alone_d2_4	34F7_alone_d2	34F7	alone	d2	4	yes
34F7_alone_d3_1	34F7_alone_d3	34F7	alone	d3	1	no
34F7_alone_d3_2	34F7_alone_d3	34F7	alone	d3	2	yes
34F7_alone_d3_3	34F7_alone_d3	34F7	alone	d3	3	yes
34F7_alone_d3_4	34F7_alone_d3	34F7	alone	d3	4	yes
34F7_withC_d2_1	34F7_withC_d2	34F7	withC	d2	1	yes
34F7_withC_d2_2	34F7_withC_d2	34F7	withC	d2	2	yes
34F7_withC_d2_3	34F7_withC_d2	34F7	withC	d2	3	yes
34F7_withC_d2_4	34F7_withC_d2	34F7	withC	d2	4	yes
34F7_withC_d3_1	34F7_withC_d3	34F7	withC	d3	1	yes
34F7_withC_d3_2	34F7_withC_d3	34F7	withC	d3	2	yes
34F7_withC_d3_3	34F7_withC_d3	34F7	withC	d3	3	yes
34F7_withC_d3_4	34F7_withC_d3	34F7	withC	d3	4	yes
MF6_alone_d2_1	MF6_alone_d2	MF6	alone	d2	1	yes
MF6_alone_d2_2	MF6_alone_d2	MF6	alone	d2	2	yes
MF6_alone_d2_3	MF6_alone_d2	MF6	alone	d2	3	yes
MF6_alone_d2_4	MF6_alone_d2	MF6	alone	d2	4	yes
MF6_alone_d3_1	MF6_alone_d3	MF6	alone	d3	1	yes
MF6_alone_d3_2	MF6_alone_d3	MF6	alone	d3	2	yes
MF6_alone_d3_3	MF6_alone_d3	MF6	alone	d3	3	yes
MF6_alone_d3_4	MF6_alone_d3	MF6	alone	d3	4	yes
MF6_withC_d2_1	MF6_withC_d2	MF6	withC	d2	1	yes
MF6_withC_d2_2	MF6_withC_d2	MF6	withC	d2	2	yes
MF6_withC_d2_3	MF6_withC_d2	MF6	withC	d2	3	yes
MF6_withC_d2_4	MF6_withC_d2	MF6	withC	d2	4	yes
MF6_withC_d3_1	MF6_withC_d3	MF6	withC	d3	1	yes
MF6_withC_d3_2	MF6_withC_d3	MF6	withC	d3	2	yes
MF6_withC_d3_3	MF6_withC_d3	MF6	withC	d3	3	yes
MF6_withC_d3_4	MF6_withC_d3	MF6	withC	d3	4	yes
