# KEGG pathway classes from BRITE br08901, fetched 2026-08-26 from https://rest.kegg.jp/get/br:br08901
# class / subclass are KEGG's own; nothing here is curated by hand
# is_non_bacterial = class in ['Organismal Systems', 'Human Diseases', 'Drug Development']
#   these maps cannot describe a bacterium; eggNOG reaches them
#   through KOs shared with eukaryote-specific pathways
# is_overview     = subclass is 'Global and overview maps'
#   supersets, not pathways - ko01100 alone covers ~46% of the
#   KEGG-annotated proteome
# 587 maps, 268 non-bacterial, 13 overview
pathway_id	class	subclass	name	is_non_bacterial	is_overview
ko01100	Metabolism	Global and overview maps	Metabolic pathways	no	yes
ko01110	Metabolism	Global and overview maps	Biosynthesis of secondary metabolites	no	yes
ko01120	Metabolism	Global and overview maps	Microbial metabolism in diverse environments	no	yes
ko01200	Metabolism	Global and overview maps	Carbon metabolism	no	yes
ko01210	Metabolism	Global and overview maps	2-Oxocarboxylic acid metabolism	no	yes
ko01212	Metabolism	Global and overview maps	Fatty acid metabolism	no	yes
ko01230	Metabolism	Global and overview maps	Biosynthesis of amino acids	no	yes
ko01232	Metabolism	Global and overview maps	Nucleotide metabolism	no	yes
ko01250	Metabolism	Global and overview maps	Biosynthesis of nucleotide sugars	no	yes
ko01240	Metabolism	Global and overview maps	Biosynthesis of cofactors	no	yes
ko01220	Metabolism	Global and overview maps	Degradation of aromatic compounds	no	yes
ko01310	Metabolism	Global and overview maps	Nitrogen cycle	no	yes
ko01320	Metabolism	Global and overview maps	Sulfur cycle	no	yes
ko00010	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	no	no
ko00020	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	no	no
ko00030	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	no	no
ko00040	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	no	no
ko00051	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism	no	no
ko00052	Metabolism	Carbohydrate metabolism	Galactose metabolism	no	no
ko00053	Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism	no	no
ko00500	Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism	no	no
ko00620	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	no	no
ko00630	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	no	no
ko00640	Metabolism	Carbohydrate metabolism	Propanoate metabolism	no	no
ko00650	Metabolism	Carbohydrate metabolism	Butanoate metabolism	no	no
ko00660	Metabolism	Carbohydrate metabolism	C5-Branched dibasic acid metabolism	no	no
ko00562	Metabolism	Carbohydrate metabolism	Inositol phosphate metabolism	no	no
ko00566	Metabolism	Carbohydrate metabolism	Sulfoquinovose metabolism	no	no
ko00190	Metabolism	Energy metabolism	Oxidative phosphorylation	no	no
ko00195	Metabolism	Energy metabolism	Photosynthesis	no	no
ko00196	Metabolism	Energy metabolism	Photosynthesis - antenna proteins	no	no
ko00710	Metabolism	Energy metabolism	Carbon fixation by Calvin cycle	no	no
ko00720	Metabolism	Energy metabolism	Other carbon fixation pathways	no	no
ko00680	Metabolism	Energy metabolism	Methane metabolism	no	no
ko00910	Metabolism	Energy metabolism	Nitrogen metabolism	no	no
ko00920	Metabolism	Energy metabolism	Sulfur metabolism	no	no
ko00061	Metabolism	Lipid metabolism	Fatty acid biosynthesis	no	no
ko00062	Metabolism	Lipid metabolism	Fatty acid elongation	no	no
ko00071	Metabolism	Lipid metabolism	Fatty acid degradation	no	no
ko00073	Metabolism	Lipid metabolism	Cutin, suberine and wax biosynthesis	no	no
ko00074	Metabolism	Lipid metabolism	Mycolic acid biosynthesis	no	no
