pfamID,pfam_real_name,pfam_toxity
pfam13023,HD 3,nan
pfam00005,ABC tran,nan
pfam07602,DUF1565,nan
pfam13229,Beta helix,nan
pfam00353,HemolysinCabind,nan
pfam04365,BrnT toxin,tox
pfam07927,HicA toxin,tox
pfam06769,YoeB toxin,tox
pfam01850,PIN,nan
pfam01554,MatE,nan
pfam00664,ABC membrane,nan
pfam13671,AAA 33,nan
pfam00067,p450,nan
pfam03412,Peptidase C39,tox
pfam13470,PIN 3,tox
pfam05016,ParE toxin,tox
pfam03534,SpvB,nan
pfam12256,TcdB toxin midN,tox
pfam12255,TcdB toxin midC,tox
pfam02452,PemK toxin,tox
pfam00882,Zn dep PLPC,tox
pfam06296,RelE,tox
pfam01471,PG binding 1,nan
pfam00959,Phage lysozyme,tox
pfam15738,YafQ toxin,tox
pfam02674,Colicin V,tox
pfam06414,Zeta toxin,tox
pfam13304,AAA 21,nan
pfam08843,AbiEii,tox
pfam07804,HipA C,tox
pfam07812,TfuA,nan
pfam09857,YjhX toxin,tox
pfam00873,ACR tran,nan
pfam13657,Couple hipA,nan
pfam05673,DUF815,nan
pfam08327,AHSA1,nan
pfam03364,Polyketide cyc,nan
pfam08808,RES,tox
pfam10439,Bacteriocin IIc,tox
pfam08085,Entericidin,tox
pfam00196,GerE,nan
pfam05015,HigB like toxin,tox
pfam07498,Rho N,nan
pfam06958,Pyocin S,tox
pfam09000,Cytotoxic,tox
pfam14496,NEL,nan
pfam13665,DUF4150,nan
pfam15635,Tox GHH2,tox
pfam01636,APH,nan
pfam05593,RHS repeat,nan
pfam03527,RHS,nan
pfam12261,T hemolysin,tox
pfam02917,Pertussis S1,tox
pfam15653,Tox URI2,tox
pfam12639,Colicin DNase,tox
pfam13332,Fil haemagg 2,nan
pfam04829,PT VENN,tox
pfam12919,TcdA TcdB,tox
pfam03176,MMPL,nan
pfam12704,MacB PCD,nan
pfam02687,FtsX,nan
pfam01325,Fe dep repress,nan
pfam02742,Fe dep repr C,nan
pfam04023,FeoA,nan
pfam07884,VKOR,nan
pfam01797,Y1 Tnp,nan
pfam03583,LIP,tox
pfam00652,Ricin B lectin,tox
pfam07992,Pyr redox 2,nan
pfam09242,FCSD flav bind,nan
pfam02661,Fic,nan
pfam01473,Choline bind 1,nan
pfam11848,DUF3368,nan
pfam09907,HigB toxin,tox
pfam01823,MACPF,tox
pfam00045,Hemopexin,nan
pfam00139,Lectin legB,nan
pfam03762,VOMI,tox
pfam15723,MqsR toxin,tox
pfam14431,YwqJ deaminase,tox
pfam15636,Tox GHH,tox
pfam00485,PRK,nan
pfam15781,ParE like toxin,tox
pfam01909,NTP transf 2,nan
pfam12695,Abhydrolase 5,nan
pfam09371,Tex N,nan
pfam12836,HHH 3,nan
pfam00575,S1,nan
pfam16921,Tex YqgF,nan
pfam05973,Gp49,nan
pfam10130,PIN 2,tox
pfam14487,DarT,tox
pfam13784,Fic N,nan
pfam13310,Virulence RhuM,nan
pfam08239,SH3 3,nan
pfam03498,CDtoxinA,tox
pfam07591,PT HINT,tox
pfam01458,SUFBD,nan
pfam14528,LAGLIDADG 3,nan
pfam15605,Ntox28,tox
pfam09339,HTH IclR,nan
pfam07703,A2M BRD,nan
pfam00207,A2M,nan
pfam01835,MG2,nan
pfam00754,F5 F8 type C,nan
pfam13517,FG GAP 3,nan
pfam04055,Radical SAM,nan
pfam16199,Radical SAM C,nan
pfam12790,T6SS SciN,tox
pfam07610,DUF1573,nan
pfam12846,AAA 10,nan
pfam00030,Crystall,tox
pfam00400,WD40,nan
pfam01661,Macro,nan
pfam07081,DUF1349,nan
pfam13303,PTS EIIC 2,nan
pfam07690,MFS 1,nan
pfam03496,ADPrib exo Tox,tox
pfam04233,Phage Mu F,nan
pfam11663,Toxin YhaV,tox
pfam08845,SymE toxin,tox
pfam01381,HTH 3,nan
pfam12703,ptaRNA1 toxin,tox
pfam15527,Ntox22,tox
pfam01928,CYTH,nan
pfam13166,AAA 13,nan
pfam01845,CcdB,tox
pfam05954,Phage GPD,nan
pfam06114,Peptidase M78,nan
pfam00188,CAP,nan
pfam15643,Tox PL 2,tox
pfam05791,Bacillus HBL,tox
pfam14424,Toxin deaminase,tox
pfam10671,TcpQ,nan
pfam03595,SLAC1,nan
pfam00015,MCPsignal,nan
pfam11236,DUF3037,nan
pfam03538,VRP1,nan
pfam00999,Na H Exchanger,nan
pfam05707,Zot,tox
pfam00437,T2SSE,nan
pfam00672,HAMP,nan
pfam07968,Leukocidin,tox
pfam12563,Hemolysin N,tox
pfam16458,Beta prism lec,nan
pfam16670,PI PLC C1,nan
pfam13476,AAA 23,nan
pfam13004,BACON,nan
pfam11678,DUF3274,nan
pfam13700,DUF4158,nan
pfam01526,DDE Tnp Tn3,nan
pfam03545,YopE,nan
pfam00563,EAL,nan
pfam00614,PLDc,nan
pfam13091,PLDc 2,nan
pfam14437,MafB19 deam,nan
pfam14891,Peptidase M91,tox
pfam09009,Exotox A cataly,tox
pfam03497,Anthrax toxA,tox
pfam09101,Exotox A bind,tox
pfam14436,EndoU bacteria,tox
pfam14200,RicinB lectin 2,tox
pfam00722,Glyco hydro 16,nan
pfam04616,Glyco hydro 43,nan
pfam03422,CBM 6,nan
pfam15542,Ntox50,tox
pfam15537,Ntox43,tox
pfam15657,Tox HNH EHHH,tox
pfam14410,GH E,tox
pfam09102,Exotox A target,tox
pfam15648,Tox REase 5,tox
pfam13175,AAA 15,nan
pfam14412,AHH,tox
pfam15606,Ntox34,tox
pfam00395,SLH,nan
pfam15644,Gln amidase,tox
pfam13365,Trypsin 2,nan
pfam07944,Glyco hydro 127,nan
pfam03664,Glyco hydro 62,nan
pfam13472,Lipase GDSL 2,nan
pfam16499,Melibiase 2,nan
pfam02057,Glyco hydro 59,nan
pfam13385,Laminin G 3,nan
pfam02983,Pro Al protease,nan
pfam07995,GSDH,nan
pfam00801,PKD,nan
pfam00331,Glyco hydro 10,nan
pfam16483,Glyco hydro 64,nan
pfam00704,Glyco hydro 18,nan
pfam13207,AAA 17,nan
pfam00724,Oxidored FMN,nan
pfam02382,RTX,tox
pfam08339,RTX C,tox
pfam05704,Caps synth,tox
pfam15561,Imm15,tox
pfam01927,Mut7 C,nan
pfam00482,T2SSF,nan
pfam01764,Lipase 3,nan
pfam07634,RtxA,tox
pfam16671,ACD,nan
pfam11647,MLD,nan
pfam11713,Peptidase C80,nan
pfam01375,Enterotoxin a,tox
pfam10734,DUF2523,nan
pfam05946,TcpA,tox
pfam01376,Enterotoxin b,tox
pfam02498,Bro N,nan
pfam03374,ANT,nan
pfam13448,DUF4114,nan
pfam14113,Tae4,tox
pfam15639,Tox MPTase3,tox
pfam15523,Ntox16,tox
pfam05860,Haemagg act,nan
pfam13754,Big 3 4,nan
pfam10672,Methyltrans SAM,nan
pfam14414,WHH,tox
pfam05925,IpgD,tox
pfam04952,AstE AspA,nan
pfam01479,S4,nan
pfam01728,FtsJ,nan
pfam11429,Colicin D,tox
pfam07676,PD40,nan
pfam13620,CarboxypepD reg,nan
pfam00691,OmpA,nan
pfam01844,HNH,nan
pfam15647,Tox REase 3,tox
pfam01420,Methylase S,nan
pfam03543,Peptidase C58,nan
pfam08376,NIT,nan
pfam03178,CPSF A,nan
pfam01848,HOK GEF,tox
pfam14021,TNT,tox
pfam15604,Ntox15,tox
pfam01938,TRAM,nan
pfam10552,ORF6C,nan
pfam15533,Ntox33,tox
pfam04149,DUF397,nan
pfam14449,PT TG,tox
pfam01079,Hint,nan
pfam14428,SCP1201 deam,tox
pfam03752,ALF,nan
pfam11958,DUF3472,nan
pfam02585,PIG L,nan
pfam09076,Crystall 2,tox
pfam16935,Hol Tox,tox
pfam00589,Phage integrase,nan
pfam14657,Arm DNA bind 4,nan
pfam14659,Phage int SAM 3,nan
pfam08281,Sigma70 r4 2,nan
pfam07953,Toxin R bind N,tox
pfam01742,Peptidase M27,tox
pfam07952,Toxin trans,tox
pfam07951,Toxin R bind C,tox
pfam01370,Epimerase,nan
pfam08338,DUF1731,nan
pfam14411,LHH,tox
pfam13533,Biotin lipoyl 2,nan
pfam13437,HlyD 3,nan
pfam04740,LXG,nan
pfam07538,ChW,nan
pfam15654,Tox WTIP,tox
pfam10604,Polyketide cyc2,nan
pfam14171,SpoIISA toxin,tox
pfam00027,cNMP binding,nan
pfam00028,Cadherin,nan
pfam13177,DNA pol3 delta2,nan
pfam12169,DNA pol3 gamma3,nan
pfam15529,Ntox24,tox
pfam05638,T6SS HCP,nan
pfam10753,Toxin GhoT OrtT,tox
pfam13646,HEAT 2,nan
pfam13940,Ldr toxin,tox
pfam07254,Cpta toxin,nan
pfam08178,GnsAB toxin,tox
pfam06755,CbtA toxin,tox
pfam15641,Tox MPTase5,tox
pfam06109,HlyE,tox
pfam07906,Toxin 15,tox
pfam06254,YdaT toxin,tox
pfam11080,GhoS,tox
pfam15640,Tox MPTase4,tox
pfam13205,Big 5,nan
pfam16754,Pesticin,tox
pfam08309,LVIVD,nan
pfam12920,TcdA TcdB pore,tox
pfam03372,Exo endo phos,nan
pfam01289,Thiol cytolysin,nan
pfam06725,3D,nan
pfam15607,Ntox44,tox
pfam14448,Nuc N,tox
pfam05431,Toxin 10,tox
pfam15652,Tox SHH,tox
pfam15528,Ntox23,tox
pfam13699,DUF4157,nan
pfam01852,START,nan
pfam07532,Big 4,nan
pfam12733,Cadherin like,nan
pfam07523,Big 3,nan
pfam12538,FtsK SpoIIIE N,nan
pfam01580,FtsK SpoIIIE,nan
pfam05168,HEPN,nan
pfam13957,YafO toxin,tox
pfam13958,ToxN toxin,tox
pfam05345,He PIG,nan
pfam00161,RIP,tox
pfam11721,Malectin,nan
pfam00041,fn3,nan
pfam01670,Glyco hydro 12,nan
pfam01011,PQQ,nan
pfam05488,PAAR motif,nan
pfam07745,Glyco hydro 53,nan
pfam01693,Cauli VI,nan
pfam00075,RNase H,nan
pfam15935,RnlA toxin,tox
pfam15522,Ntox14,tox
pfam15532,Ntox30,tox
pfam15650,Tox REase 9,tox
pfam01453,B lectin,nan
pfam01551,Peptidase M23,nan
pfam16535,T3SSipB,tox
pfam04888,SseC,nan
pfam14859,Colicin M,tox
pfam13296,T6SS Vgr,nan
pfam10106,DUF2345,nan
pfam04830,DUF637,nan
pfam13018,ESPR,nan
pfam13935,Ead Ea22,tox
pfam13191,AAA 16,nan
pfam14491,DUF4435,nan
pfam03318,ETX MTX2,tox
pfam15645,Tox PLDMTX,tox
pfam15656,Tox HDC,tox
pfam04417,DUF501,nan
pfam12681,Glyoxalase 2,nan
pfam09206,ArabFuran catal,nan
pfam13088,BNR 2,nan
pfam01841,Transglut core,nan
pfam13403,Hint 2,nan
pfam02156,Glyco hydro 26,nan
pfam02055,Glyco hydro 30,nan
pfam06283,ThuA,nan
pfam14440,XOO 2897 deam,tox
pfam00877,NLPC P60,nan
pfam02918,Pertussis S2S3,tox
pfam05364,SecIII SopE N,nan
pfam07487,SopE GEF,nan
pfam05688,BIg21,nan
pfam05689,InvE AD,nan
pfam03515,Cloacin,tox
pfam01024,Colicin,tox
pfam15530,Ntox25,tox
pfam15633,Tox ART HYD1,tox
pfam16591,HBM,nan
pfam13360,PQQ 2,nan
pfam08346,AntA,nan
pfam14229,DUF4332,nan
pfam11972,HTH 13,nan
pfam11086,DUF2878,nan
pfam12294,DUF3626,nan
pfam15637,Tox HNH HHH,tox
pfam00149,Metallophos,nan
pfam15538,Ntox46,tox
pfam05594,Fil haemagg,nan
pfam05990,DUF900,nan
pfam06594,HCBP related,nan
pfam14427,Pput2613 deam,tox
pfam14587,Glyco hydr 30 2,nan
pfam16640,Big 3 5,nan
pfam07593,UnbV ASPIC,nan
pfam13462,Thioredoxin 4,nan
pfam03098,An peroxidase,nan
pfam03729,DUF308,nan
pfam10462,Peptidase M66,nan
pfam08305,NPCBM,nan
pfam05526,R equi Vir,tox
pfam00150,Cellulase,nan
pfam00756,Esterase,nan
pfam06439,DUF1080,nan
pfam00251,Glyco hydro 32N,nan
pfam08244,Glyco hydro 32C,nan
pfam13238,AAA 18,nan
pfam15649,Tox REase 7,tox
pfam08479,POTRA 2,nan
pfam03865,ShlB,nan
pfam13930,Endonuclea NS 2,nan
pfam03211,Pectate lyase,nan
pfam15646,Tox REase 2,tox
pfam15521,Ntox11,tox
pfam16380,DUF4990,nan
pfam04851,ResIII,nan
pfam13586,DDE Tnp 1 2,nan
pfam13340,DUF4096,nan
pfam01832,Glucosaminidase,nan
pfam00544,Pectate lyase 4,nan
pfam01095,Pectinesterase,nan
pfam13573,SprB,nan
pfam11398,DUF2813,nan
pfam00271,Helicase C,nan
pfam01510,Amidase 2,nan
pfam00413,Peptidase M10,nan
pfam08548,Peptidase M10 C,nan
pfam00457,Glyco hydro 11,nan
pfam01022,HTH 5,nan
pfam01106,NifU,nan
pfam15541,Ntox4,tox
pfam15545,Ntox8,tox
pfam06259,Abhydrolase 8,nan
pfam10936,DUF2617,nan
pfam04488,Gly transf sug,nan
pfam00082,Peptidase S8,nan
pfam01476,LysM,nan
pfam01483,P proprotein,nan
pfam09118,DUF1929,nan
pfam12106,Colicin E5,nan
pfam03945,Endotoxin N,tox
pfam01117,Aerolysin,tox
pfam15634,Tox ART HYE1,tox
pfam14312,FG GAP 2,nan
pfam00404,Dockerin 1,nan
pfam00963,Cohesin,nan
pfam07705,CARDB,nan
pfam13519,VWA 2,nan
pfam14432,DYW deaminase,nan
pfam01344,Kelch 1,nan
pfam15534,Ntox35,tox
pfam03869,Arc,nan
pfam00580,UvrD helicase,nan
pfam13361,UvrD C,nan
pfam10518,TAT signal,nan
pfam02463,SMC N,nan
pfam13263,PHP C,nan
pfam10566,Glyco hydro 97,nan
pfam14508,GH97 N,nan
pfam14509,GH97 C,nan
pfam08279,HTH 11,nan
pfam04143,Sulf transp,nan
pfam02368,Big 2,nan
pfam00498,FHA,nan
pfam01839,FG GAP,nan
pfam13529,Peptidase C39 2,nan
pfam03944,Endotoxin C,tox
pfam00059,Lectin C,nan
pfam00326,Peptidase S9,nan
pfam15520,Ntox10,tox
pfam15535,Ntox37,tox
pfam13412,HTH 24,nan
pfam14252,DUF4347,nan
pfam03704,BTAD,nan
pfam03639,Glyco hydro 81,nan
pfam13204,DUF4038,nan
pfam12904,Collagen bind 2,nan
pfam08517,AXH,nan
pfam15526,Ntox21,tox
pfam00657,Lipase GDSL,nan
pfam00079,Serpin,nan
pfam00553,CBM 2,nan
pfam00759,Glyco hydro 9,nan
pfam05426,Alginate lyase,nan
pfam07931,CPT,nan
pfam00545,Ribonuclease,nan
pfam06739,SBBP,nan
pfam00932,LTD,nan
pfam03160,Calx beta,nan
pfam01569,PAP2,nan
pfam14015,DUF4231,nan
pfam01419,Jacalin,nan
pfam07737,ATLF,tox
pfam05270,AbfB,nan
pfam06101,Vps62,nan
pfam09994,DUF2235,nan
pfam16990,CBM 35,nan
pfam03442,CBM X2,nan
pfam04545,Sigma70 r4,nan
pfam01637,ATPase 2,nan
pfam00004,AAA,nan
pfam13582,Reprolysin 3,nan
pfam15659,Toxin JAB1,tox
pfam08291,Peptidase M15 3,nan
pfam13550,Phage tail 3,nan
pfam04542,Sigma70 r2,nan
pfam13490,zf HC2,nan
pfam01721,Bacteriocin II,tox
pfam02876,Stap Strp tox C,tox
pfam09199,SSL OB,tox
pfam01123,Stap Strp toxin,tox
pfam00069,Pkinase,nan
pfam10757,YbaJ,nan
pfam06597,Clostridium P47,nan
pfam13855,LRR 8,nan
pfam15500,Ntox1,tox
pfam15283,DUF4595,nan
pfam13245,AAA 19,nan
pfam07691,PA14,nan
pfam07679,I set,nan
pfam04151,PPC,nan
pfam02794,HlyC,tox
pfam01229,Glyco hydro 39,nan
pfam01120,Alpha L fucos,nan
pfam16757,Fucosidase C,nan
pfam08787,Alginate lyase2,nan
pfam00182,Glyco hydro 19,nan
pfam07971,Glyco hydro 92,nan
pfam03663,Glyco hydro 76,nan
pfam07335,Glyco hydro 75,nan
pfam00933,Glyco hydro 3,nan
pfam01915,Glyco hydro 3 C,nan
pfam14310,Fn3 like,nan
pfam00295,Glyco hydro 28,nan
pfam01055,Glyco hydro 31,nan
pfam06290,PsiB,nan
pfam00034,Cytochrom C,nan
pfam13511,DUF4124,nan
pfam16369,GH43 C,nan
pfam05630,NPP1,nan
pfam02133,Transp cyt pur,nan
pfam05203,Hom end hint,nan
pfam13946,DUF4214,nan
pfam12728,HTH 17,nan
pfam01541,GIY YIG,nan
pfam10503,Esterase PHB,nan
pfam05922,Inhibitor I9,nan
pfam13955,Fst toxin,tox
pfam01738,DLH,nan
pfam11504,Colicin Ia,tox
pfam02819,Toxin 9,tox
pfam07373,CAMP factor,nan
pfam13734,Inhibitor I69,nan
pfam01640,Peptidase C10,nan
pfam03077,VacA2,tox
pfam03507,CagA,tox
pfam02691,VacA,tox
pfam03797,Autotransporter,nan
pfam08964,Crystall 3,nan
pfamam06836,DUF1240,nan
pfam15531,Ntox27,tox
pfam08401,ArdcN,nan
pfam02384,N6 Mtase,nan
pfam05372,Delta lysin,tox
pfam14498,Glyco hyd 65N 2,nan
pfam16334,DUF4964,nan
pfam16335,DUF4965,nan
pfam08760,DUF1793,nan
pfam02837,Glyco hydro 2 N,nan
pfam00703,Glyco hydro 2,nan
pfam02836,Glyco hydro 2 C,nan
pfam15899,BNR 6,nan
pfam04607,RelA SpoT,nan
pfam01129,ART,nan
pfam00089,Trypsin,nan
pfam09979,DUF2213,nan
pfam01183,Glyco hydro 25,nan
pfam14107,DUF4280,nan
pfam05382,Amidase 5,nan
pfam12918,TcdB N,tox
pfam03734,YkuD,nan
pfam04122,CW binding 2,nan
pfam03495,Binary toxB,tox
pfam02395,Peptidase S6,tox
pfam03212,Pertactin,nan
pfam12832,MFS 1 like,nan
pfam13414,TPR 11,nan
pfam05257,CHAP,nan
pfam03047,ComC,nan
pfam06152,Phage min cap2,nan
pfam12729,4HB MCP 1,nan
pfam00629,MAM,nan
pfam03440,APT,tox
pfam15638,Tox MPTase2,tox
pfam06013,WXG100,nan
pfam15540,Ntox47,tox
pfam13540,RCC1 2,nan
pfam08241,Methyltransf 11,nan
pfam01400,Astacin,nan
pfam12388,Peptidase M57,nan
pfam05043,Mga,nan
pfam08270,PRD Mga,nan
pfam16353,DUF4981,nan
pfam02929,Bgal small N,nan
pfam08814,XisH,nan
pfam00106,adh short,nan
pfam05119,Terminase 4,nan
pfam01436,NHL,nan
pfam14441,OTT 1508 deam,tox
pfam15892,BNR 4,nan
pfam13560,HTH 31,nan
pfam05621,TniB,nan
pfam08299,Bac DnaA C,nan
pfam01374,Glyco hydro 46,nan
pfam09156,Anthrax tox M,tox
pfam00874,PRD,nan
pfam02258,SLT beta,tox
pfam11996,DUF3491,nan
pfam04448,DUF551,nan
pfam09479,Flg new,nan
pfam15560,Imm12,tox
pfam15658,Latrotoxin C,tox
pfam01391,Collagen,nan
pfam13367,PrsW protease,nan
pfam03553,Na H antiporter,nan
pfam14040,DNase NucA NucB,nan
pfam11740,KfrA N,nan
pfam12073,DUF3553,nan
pfam01966,HD,nan
pfam01520,Amidase 3,nan
pfam12664,DUF3789,nan
pfam00717,Peptidase S24,nan
pfam12476,DUF3696,nan
pfam13199,Glyco hydro 66,nan
pfam01338,Bac thur toxin,tox
pfam13828,DUF4190,nan
pfam16338,DUF4968,nan
pfam02838,Glyco hydro 20b,nan
pfam00728,Glyco hydro 20,nan
pfam14099,Polysacc lyase,nan
pfam16873,AbiGii 2,tox
pfam03949,Malic M,nan
pfam14220,DUF4329,nan
pfam05433,Rick 17kDa Anti,nan
pfam11127,DUF2892,nan
pfam00293,NUDIX,nan
pfam00648,Peptidase C2,nan
pfam06483,ChiC,nan
pfam15138,Syncollin,nan
pfam15524,Ntox17,tox
pfam02195,ParBc,nan
pfam07250,Glyoxal oxid N,nan
pfam01244,Peptidase M19,nan
pfam09669,Phage pRha,nan
pfam00560,LRR 1,nan
pfam00753,Lactamase B,nan
pfam06006,DUF905,nan
pfam13956,Ibs toxin,tox
pfam10633,NPCBM assoc,nan
pfam04586,Peptidase S78,nan
pfam08450,SGL,nan
pfam05048,NosD,nan
pfam00502,Phycobilisome,nan
pfam03243,MerB,nan
pfam13964,Kelch 6,nan
pfam13555,AAA 29,nan
pfam04231,Endonuclease 1,nan
pfam09722,DUF2384,nan
pfam14568,SUKH 6,nan
pfam00314,Thaumatin,nan
pfam09204,Colicin immun,nan
pfam02018,CBM 4 9,nan
pfam01345,DUF11,nan
pfam05785,CNF1,tox
pfam01833,TIG,nan
pfam00688,TGFb propeptide,nan
pfam00111,Fer2,nan
pfam00555,Endotoxin M,tox
pfam13583,Reprolysin 4,nan
pfam07819,PGAP1,nan
pfam11570,E2R135,nan
pfam05277,DUF726,nan
pfam00197,Kunitz legume,nan
pfam07599,DUF1563,nan
pfam08460,SH3 5,nan
pfam13402,Peptidase M60,nan
pfam00431,CUB,nan
pfam14076,DUF4258,nan
pfam00388,PI PLC X,nan
pfam03330,DPBB 1,nan
pfam12708,Pectate lyase 3,nan
pfam16158,N BRCA1 IG,nan
pfam08280,HTH Mga,nan
pfam08470,NTNH C,nan
pfam05588,Botulinum HA 17,tox
pfam03505,Clenterotox,tox
pfam13103,TonB 2,nan
pfam15962,DUF4765,nan
pfam16683,TGase elicitor,nan
pfam05598,DUF772,nan
pfam01609,DDE Tnp 1,nan
pfam03009,GDPD,nan
pfam13313,DUF4082,nan
pfam09259,Fve,nan
pfam06255,MafB,tox
pfam03035,RNA capsid,nan
pfam03513,Cloacin immun,nan
pfam13488,Gly zipper Omp,nan
pfam00443,UCH,nan
pfam11300,DUF3102,nan
pfam02811,PHP,nan
pfam15780,ASH,nan
pfam13802,Gal mutarotas 2,nan
pfam00583,Acetyltransf 1,nan
pfam14295,PAN 4,nan
pfam14559,TPR 19,nan
pfam01204,Trehalase,nan
pfam12833,HTH 18,nan
pfam13499,EF hand 7,nan
pfam13202,EF hand 5,nan
pfam01522,Polysacc deac 1,nan
pfam02743,dCache 1,nan
pfam05735,TSP C,nan
pfam01041,DegT DnrJ EryC1,nan
pfam08924,DUF1906,nan
pfam13988,DUF4225,nan
pfam12773,DZR,nan
pfam02557,VanY,nan
pfam01935,DUF87,nan
pfam03389,MobA MobL,nan
pfam05461,ApoL,nan
pfam02839,CBM 5 12,nan
pfam01301,Glyco hydro 35,nan
pfam08881,CVNH,nan
pfam04350,PilO,nan
pfam04453,LptD,nan
pfam04389,Peptidase M28,nan
pfam12151,MVL,nan
pfam13640,2OG FeII Oxy 3,nan
pfam07303,Occludin ELL,nan
pfam13306,LRR 5,nan
pfam00459,Inositol P,nan
pfam13395,HNH 4,nan
pfam09035,Tn916 Xis,nan
pfam00531,Death,nan
pfam07486,Hydrolase 2,nan
pfam09992,NAGPA,nan
pfam04343,DUF488,nan
pfam13330,Mucin2 WxxW,nan
pfam08811,DUF1800,nan
pfam09492,Pec lyase,nan
pfam05887,Trypan PARP,nan
pfam07589,PEP CTERM,nan
pfam03050,DDE Tnp IS66,nan
pfam13007,LZ Tnp IS66,nan
pfam13005,zf IS66,nan
pfam04471,Mrr cat,nan
pfam09720,Unstab antitox,nan
pfam07963,N methyl,nan
pfam13431,TPR 17,nan
pfam00782,DSPc,nan
pfam00486,Trans reg C,nan
pfam06841,Phage T4 gp19,nan
pfam02493,MORN,nan
pfam00791,ZU5,nan
pfam04408,HA2,nan
pfam07717,OB NTP bind,nan
pfam11898,DUF3418,nan
pfam00561,Abhydrolase 1,nan
pfam07490,Tir receptor N,tox
pfam03549,Tir receptor M,nan
pfam07489,Tir receptor C,tox
pfam13156,Mrr cat 2,nan
pfam03328,HpcH HpaI,nan
pfam02518,HATPase c,nan
pfam00204,DNA gyraseB,nan
pfam01751,Toprim,nan
pfam00986,DNA gyraseB C,nan
pfam02048,Enterotoxin ST,tox
pfam07666,MpPF26,nan
pfam09680,YjcZ 2,nan
pfam00300,His Phos 1,nan
pfam16376,fragilysinNterm,nan
pfam10543,ORF6N,nan
pfam13130,DUF3952,nan
pfam16374,CIF,nan
pfam06453,LT IIB,tox
pfam01695,IstB IS21,nan
pfam11790,Glyco hydro cc,nan
pfam03743,TrbI,nan
pfam09075,STb secrete,tox
pfam06715,Gp5 C,nan
pfam13688,Reprolysin 5,nan
pfam05307,Bundlin,nan
pfam00263,Secretin,nan
pfam09131,Endotoxin mid,tox
pfam12495,Vip3A N,tox
pfam00239,Resolvase,nan
pfam07508,Recombinase,nan
pfam13408,Zn ribbon recom,nan
pfam07697,7TMR HDED,nan
pfam07698,7TM 7TMR HD,nan
pfam01978,TrmB,nan
pfam13753,SWM repeat,nan
pfam05876,Terminase GpA,nan
pfam04185,Phosphoesterase,nan
pfam07555,NAGidase,nan
pfam07554,FIVAR,nan
pfam01477,PLAT,nan
pfam10554,Phage ASH,nan
pfam02764,Diphtheria T,tox
pfam01324,Diphtheria R,tox
pfam12796,Ank 2,nan
pfam13424,TPR 12,nan
pfam00931,NB ARC,nan
pfam00023,Ank,nan
pfam13637,Ank 4,nan
pfam13606,Ank 3,nan
pfam06267,DUF1028,nan
pfam04450,BSP,nan
pfam00509,Hemagglutinin,tox
pfam04972,BON,nan
pfam00550,PP binding,nan
pfam00529,CusB dom 1,nan
pfam12245,Big 3 2,nan
pfam00126,HTH 1,nan
pfam08129,Antimicrobial17,tox
pfam08310,LGFP,nan
pfam00009,GTP EFTU,nan
pfam07228,SpoIIE,nan
pfam13581,HATPase c 2,nan
pfam01402,RHH 1,nan
pfam12407,Abdominal A,nan
pfam02350,Epimerase 2,nan
pfam00011,HSP20,nan
pfam08282,Hydrolase 3,nan
pfam08238,Sel1,nan
pfam09275,Pertus S4 tox,tox
pfam09276,Pertus S5 tox,tox
pfam15642,Tox ODYAM1,tox
pfam04326,AlbA 2,nan
pfam00092,VWA,nan
pfam16184,Cadherin 3,nan
pfam13979,SopA C,nan
pfam15651,Tox SGS,tox
pfam02021,UPF0102,nan
pfam13280,WYL,nan
pfam16289,PIN 12,nan
pfam08017,Fibrinogen BP,nan
pfam03091,CutA1,nan
pfam01432,Peptidase M3,nan
pfam00823,PPE,nan
pfam13833,EF hand 8,nan
pfam00356,LacI,nan
pfam13672,PP2C 2,nan
pfam02397,Bac transf,nan
pfam07517,SecA DEAD,nan
pfam00962,A deaminase,nan
pfam15543,Ntox5,tox
pfam12146,Hydrolase 4,nan
pfam13857,Ank 5,nan
pfam03150,CCP MauG,nan
pfam00454,PI3 PI4 kinase,nan
pfam01546,Peptidase M20,nan
pfam01223,Endonuclease NS,nan
pfam09228,Prok TraM,nan
pfam01532,Glyco hydro 47,nan
pfam01878,EVE,nan
pfam00415,RCC1,nan
pfam14326,DUF4384,nan
pfam00330,Aconitase,nan
pfam02387,IncFII repA,nan
pfam00383,dCMP cyt deam 1,nan
pfam12710,HAD,nan
pfam12685,SpoIIIAH,nan
pfam11756,YgbA NO,nan
pfam05453,Toxin 6,tox
pfam02371,Transposase 20,nan
pfam09203,MspA,nan
pfam11187,DUF2974,nan
pfam13489,Methyltransf 23,nan
pfam08481,GBS Bsp like,nan
pfam13354,Beta lactamase2,nan
pfam00226,DnaJ,nan
pfam13407,Peripla BP 4,nan
pfam00128,Alpha amylase,nan
pfam16738,CBM26,nan
pfam00246,Peptidase M14,nan
pfam10908,DUF2778,nan
pfam10577,UPF0560,nan
pfam03230,Antirestrict,nan
pfam14667,Polysacc synt C,nan
pfam05738,Cna B,nan
pfam14267,DUF4357,nan
pfam08220,HTH DeoR,nan
pfam07825,Exc,nan
pfam04313,HSDR N,nan
pfam00612,IQ,nan
