accession	organism_name	host_category	evidence	raw_host	raw_isolation_source	raw_host_disease	geo_loc_name
GCA_017356705.2	Burkholderia pseudomallei	human_clinical	host_disease=sepsis	Homo sapiens	blood	sepsis	India
GCA_017356725.2	Burkholderia pseudomallei	human_clinical	host_disease=sepsis	Homo sapiens	blood	Sepsis	India
GCA_020887275.1	Burkholderia sp. SFA1	soil	env_medium=chinese cabbage field soil				Japan:Shizuoka, Iwata
GCA_024298805.1	Burkholderia sp. FXe9	soil	isolation_source=soil	not collected	soil		China: ezhou
GCA_029762415.1	Burkholderia gladioli	unknown	no usable metadata				China:Xinjiang
GCA_040954445.1	Burkholderia sp.	unknown	no usable metadata		Accessory glands from 6 females		Brazil:Sao Paulo
GCA_048918525.1	Burkholderia gladioli	plant	host=rice	rice			Viet Nam: Hau Giang province
GCA_051027405.1	Burkholderia stagnalis	plant	host=chinese fir	Chinese fir	root		China:Fujian
GCA_055387565.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	missing	missing	USA
GCA_056494915.1	Paraburkholderia caledonica	animal	host=fadogia homblei	Fadogia homblei	Laboratory culture		France:Toulouse
GCA_059696275.1	Burkholderia sp. SJ1	unknown	no usable metadata	Pardieuches dissimilis	gut		Japan: Sapporo
GCA_964417475.2	Burkholderia pseudomallei	soil	isolation_source=soil	Not applicable	soil		Guadeloupe
GCA_965199415.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	Blood culture		New Caledonia
GCA_965199775.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	Blood culture		New Caledonia
GCA_965217235.1	Burkholderia multivorans	plant	isolation_source=root of oryza sativa cv zonghua		Root of Oryza sativa cv Zonghua		Cambodia
GCA_965217245.1	Burkholderia multivorans	plant	isolation_source=root of oryza sativa cv zonghua		Root of Oryza sativa cv Zonghua		Cambodia
GCA_980298765.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	blood		Philippines
GCF_000009485.1	Burkholderia cenocepacia J2315	unknown	no usable metadata				
