accession	organism_name	clade	host_category	compartment	matched_evidence	raw_isolation_source	raw_host	c3_present
GCA_048918525.1	Burkholderia gladioli	other Burkholderia	plant	plant_unspecified			rice	False
GCA_051027405.1	Burkholderia stagnalis	Bcc	plant	root_rhizosphere	raw_isolation_source=root	root	Chinese fir	False
GCA_965217235.1	Burkholderia multivorans	Bcc	plant	root_rhizosphere	raw_isolation_source=root of oryza sativa cv zonghua	Root of Oryza sativa cv Zonghua		False
GCA_965217245.1	Burkholderia multivorans	Bcc	plant	root_rhizosphere	raw_isolation_source=root of oryza sativa cv zonghua	Root of Oryza sativa cv Zonghua		False
GCF_000262695.1	Burkholderia sp. KJ006	other Burkholderia	plant	root_rhizosphere	raw_isolation_source=rice root	rice root		True
GCF_000300095.1	Paraburkholderia phenoliruptrix BR3459a	other genus	plant	plant_unspecified			Mimosa flocculosa	False
GCF_000959445.1	Burkholderia vietnamiensis LMG 10929	Bcc	rhizosphere	root_rhizosphere	raw_isolation_source=oryza sativa, rhizosphere soil	Oryza sativa, rhizosphere soil		True
GCF_000959545.1	Burkholderia ambifaria AMMD	Bcc	rhizosphere	root_rhizosphere	raw_isolation_source=pea rhizosphere	Pea rhizosphere		True
GCF_000959725.1	Burkholderia gladioli	other Burkholderia	plant	plant_unspecified		Plant		False
GCF_000960995.1	Burkholderia glumae LMG 2196 = ATCC 33617	other Burkholderia	plant	grain_fruit	raw_isolation_source=oryza sativa, grain	Oryza sativa, grain		False
GCF_001411495.1	Burkholderia cepacia ATCC 25416	Bcc	plant	plant_unspecified			Allium cepa (onion)	True
GCF_001718815.1	Burkholderia vietnamiensis	Bcc	plant	root_rhizosphere	raw_isolation_source=oryza sativa root	Oryza sativa root	unknown	True
GCF_001718915.1	Burkholderia vietnamiensis	Bcc	plant	root_rhizosphere	raw_isolation_source=plant roots	plant roots	unknown	True
GCF_001865575.2	Paraburkholderia sprentiae WSM5005	other genus	rhizosphere	nodule	raw_isolation_source=root nodule	root nodule	Lebeckia ambigua	False
GCF_001922345.1	Paraburkholderia sp. SOS3	other genus	plant	root_rhizosphere	raw_host=tomato rhizosphere		tomato rhizosphere	False
GCF_002007585.1	Burkholderia cenocepacia	Bcc	plant	root_rhizosphere	raw_isolation_source=corn root	Corn Root	Corn	True
GCF_002208175.1	Burkholderia gladioli pv. gladioli	other Burkholderia	plant	plant_unspecified		gladiolus		False
GCF_002393425.1	Burkholderia gladioli pv. gladioli	other Burkholderia	plant	plant_unspecified		onion	Onion	False
GCF_002407525.2	Burkholderia cepacia	Bcc	plant	plant_unspecified		onion	Onion	True
GCF_003233675.1	Burkholderia sp. JP2-270	other Burkholderia	rhizosphere	root_rhizosphere	raw_isolation_source=rice rhizosphere	rice rhizosphere		True
GCF_003546465.1	Burkholderia cepacia ATCC 25416	Bcc	plant	grain_fruit	raw_isolation_source=plant derived food stuff	Plant derived food stuff		True
GCF_003568605.1	Burkholderia thailandensis E264	other Burkholderia	plant	plant_unspecified		Rice field soil		False
GCF_003713105.1	Burkholderia gladioli	other Burkholderia	plant	grain_fruit	raw_isolation_source=fermented corn meal	Fermented corn meal		False
GCF_003966315.1	Burkholderia cenocepacia	Bcc	plant	plant_unspecified			populus	True
GCF_009578005.1	Burkholderia glumae	other Burkholderia	plant	plant_unspecified			rice	False
GCF_009755625.1	Burkholderia contaminans	Bcc	rhizosphere	root_rhizosphere	raw_isolation_source=cucumber rhizosphere	cucumber rhizosphere		True
GCF_009857095.1	Burkholderia glumae AU6208	other Burkholderia	plant	plant_unspecified			rice	False
GCF_009931375.1	Burkholderia glumae	other Burkholderia	plant	plant_unspecified			Oryza sativa	False
GCF_012974245.1	Burkholderia glumae	other Burkholderia	plant	plant_unspecified			rice	False
GCF_013122645.1	Burkholderia glumae	other Burkholderia	plant	plant_unspecified			rice	False
GCF_013307145.1	Burkholderia glumae	other Burkholderia	plant	plant_unspecified		USA rice field	Oryza sativa	False
GCF_013307165.1	Burkholderia glumae	other Burkholderia	plant	plant_unspecified			Oryza sativa	False
GCF_013378095.1	Paraburkholderia caribensis	other genus	plant	plant_unspecified			Mimosa	False
