module	name	class	n_steps	pC3_alone	rest_of_genome	whole_genome	pC3_unique_complete	pC3_raises_completeness
M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	9	0.0000	0.5556	0.5556	0	0
M00002	Glycolysis, core module involving three-carbon compounds	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	5	0.0000	0.8000	0.8000	0	0
M00003	Gluconeogenesis, oxaloacetate => fructose-6P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	7	0.0000	0.8571	0.8571	0	0
M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	6	0.1667	0.8333	0.8333	0	0
M00005	PRPP biosynthesis, ribose 5P => PRPP	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	1	0.0000	1.0000	1.0000	0	0
M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	2	0.0000	1.0000	1.0000	0	0
M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	4	0.2500	1.0000	1.0000	0	0
M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	4	0.0000	1.0000	1.0000	0	0
M00009	Citrate cycle (TCA cycle, Krebs cycle)	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	8	0.0000	0.7500	0.7500	0	0
M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	3	0.0000	1.0000	1.0000	0	0
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	5	0.0000	0.6000	0.6000	0	0
M00012	Glyoxylate cycle	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	5	0.0000	0.8000	0.8000	0	0
M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	5	0.0000	0.2000	0.2000	0	0
M00014	Glucuronate pathway (uronate pathway)	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	7	0.1429	0.1429	0.2857	0	1
M00015	Proline biosynthesis, glutamate => proline	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	2	0.0000	0.0000	0.0000	0	0
M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	9	0.1111	0.3333	0.4444	0	1
M00017	Methionine biosynthesis, aspartate => homoserine => methionine	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	7	0.0000	0.2857	0.2857	0	0
M00018	Threonine biosynthesis, aspartate => homoserine => threonine	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	5	0.0000	0.4000	0.4000	0	0
M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	4	0.0000	1.0000	1.0000	0	0
M00020	Serine biosynthesis, glycerate-3P => serine	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	3	0.0000	0.3333	0.3333	0	0
M00021	Cysteine biosynthesis, serine => cysteine	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	2	0.0000	0.0000	0.0000	0	0
M00022	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	4	0.0000	0.5000	0.5000	0	0
M00023	Tryptophan biosynthesis, chorismate => tryptophan	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	3	0.0000	0.0000	0.0000	0	0
