gene	Functional category	Alias	Source
Cre06.g279400			Manual
Cre04.g226850		ASP1	Manual
Cre06.g306550			Manual
Cre01.g048150		HLA8	Manual
Cre07.g312850			Manual
Cre06.g278185		UGD2	Manual
Cre17.g707700		NRAMP1	Manual
Cre16.g656700		KIN14A2	Manual
Cre07.g312850			Manual
Cre03.g207350			Manual
Cre03.g196800			Manual
Cre16.g676900			Manual
Cre09.g392467		ATX1	Manual
Cre05.g242750			Manual
Cre12.g483550		VPE1	Manual
Cre14.g613000			Manual
Cre12.g553700		PDO2	Manual
Cre12.g532050			Manual
Cre16.g678437		CYP97A6	Manual
Cre10.g435400			Manual
Cre16.g686600			Manual
Cre14.g609202			Manual
Cre02.g119050			Manual
Cre12.g505350		FAP10	Manual
Cre09.g387150		HSF1	Manual
Cre09.g387150		HSF1	Manual
Cre03.g178350		FAP272	Manual
Cre13.g570700			Manual
Cre17.g741150			Manual
Cre03.g177750			Manual
Cre11.g467690			Manual
Cre03.g148800			Manual
Cre16.g655450			Manual
Cre03.g178550			Manual
Cre03.g176930			Manual
Cre03.g211073			Manual
Cre03.g211073			Manual
Cre09.g391986			Manual
Cre03.g168550			Manual
Cre02.g115300			Manual
Cre02.g115300			Manual
Cre03.g211073			Manual
Cre03.g211073			Manual
Cre03.g192600		THK1	Manual
Cre01.g038850			Manual
Cre14.g622850		RAD51	Manual
Cre06.g258200			Manual
Cre06.g284400			Manual
Cre08.g370850		RCE1	Manual
Cre04.g212050			Manual
Cre01.g013800			Manual
Cre12.g491050		RIR2	Manual
Cre06.g278850		MND1	Manual
Cre09.g412450		RAD21	Manual
Cre14.g628800			Manual
Cre09.g390763		FAP354	Manual
Cre05.g238374			Manual
Cre04.g221200		CGL109	Manual
Cre16.g673393			Manual
Cre13.g602400		KIN8A	Manual
Cre03.g196600			Manual
Cre17.g718850		RFA1	Manual
