gene	Functional category	Alias	Source
Cre17.g701300	Protein phosphorylation	SMEK1	CPX
Cre12.g498850	Cysteine protease	CEP12	CPX
Cre10.g459500	Ribosome biogenesis	NGB1	CPX
Cre17.g719500	Carotenoids biosynthesis	AOF9	CPX
Cre03.g207700	Isoprenoid biosynthesis	FPS1	CPX
Cre03.g184800	Protein glycosylation	GDA1	CPX
Cre16.g691888	Sugar metabolism	FBP3	CPX
Cre05.g245900	Branched chain amino acid biosynthesis	BCA2	CPX
Cre16.g692116	Transmembrane transport	MFT33	CPX
Cre17.g701050	Transcription factor	LYAR1	CPX
Cre03.g159800	ppGpp Signaling	RSH3	CPX
Cre13.g570400	Chlorophyll degradation	CLH2	CPX
Cre06.g278111	Potassium transport	AKT2	CPX
Cre16.g650350	Helicase	PHEL	CPX
Cre16.g676400	RNA processing	HEL63	CPX
Cre06.g258733	Branched chain amino acid biosynthesis	LEU2	CPX
Cre12.g521450	Protease	CLPP2	CPX
Cre16.g687950	Electron transport chain	ETF1	CPX
Cre05.g232550	Glycolysis	GPM4	CPX
