gene	Comment	Alias
Cre13.g586300		FKB12
Cre17.g713900		LST8
Cre08.g371957		RAPTOR1
Cre09.g400553		TOR1
Cre09.g391245		ATG1
Cre02.g102350		ATG3
Cre12.g510100		ATG4
Cre14.g630907		ATG5
Cre01.g020264		ATG6
Cre03.g165215		ATG7
Cre16.g689650		ATG8
Cre09.g391500		ATG9
Cre12.g557000		ATG12
Cre16.g659000		ATG13
Cre08.g377600		ATG14
Cre16.g651350		ATG17
Cre10.g457550		ATG18
Cre07.g334700		ATG101
Cre08.g366150		
Cre09.g801072	VPS13-like	
Cre05.g800514	Autophagy protein 16	
Cre06.g290500	VPS15	
Cre01.g035500		VPS34
Cre10.g425750	ATG18ACD	
