mode	contrast	cog_category	cog_name	set_a	n_a	total_a	pct_a	set_b	n_b	total_b	pct_b	log2_OR	ci_low	ci_high	p_fisher	q_BH
all_families	A_pC3core_vs_chr1core	-	no COG assigned	pC3_clade_core	599	833	71.91	chr1_clade_core	944	2832	33.33	2.354	2.109	2.599	1.2255801434411604e-87	3.1865083729470167e-86
all_families	A_pC3core_vs_chr1core	A	RNA processing and modification	pC3_clade_core	0	833	0.0	chr1_clade_core	1	2832	0.04	0.179	-4.44	4.798	1.0	1.0
all_families	A_pC3core_vs_chr1core	B	Chromatin structure and dynamics	pC3_clade_core	2	833	0.24	chr1_clade_core	5	2832	0.18	0.628	-1.532	2.788	0.6611770416808818	0.747417525378388
all_families	A_pC3core_vs_chr1core	C	Energy production and conversion	pC3_clade_core	14	833	1.68	chr1_clade_core	129	2832	4.56	-1.437	-2.228	-0.646	6.170269439874747e-05	0.0002291814363382049
all_families	A_pC3core_vs_chr1core	D	Cell cycle control and mitosis	pC3_clade_core	2	833	0.24	chr1_clade_core	33	2832	1.17	-1.993	-3.85	-0.136	0.013531427544609871	0.02391919480349579
all_families	A_pC3core_vs_chr1core	E	Amino acid metabolism and transport	pC3_clade_core	35	833	4.2	chr1_clade_core	226	2832	7.98	-0.967	-1.49	-0.444	0.00011737101641010775	0.0003814558033328502
all_families	A_pC3core_vs_chr1core	F	Nucleotide metabolism and transport	pC3_clade_core	6	833	0.72	chr1_clade_core	72	2832	2.54	-1.741	-2.905	-0.578	0.0005735997868060714	0.0014913594456957857
all_families	A_pC3core_vs_chr1core	G	Carbohydrate metabolism and transport	pC3_clade_core	31	833	3.72	chr1_clade_core	149	2832	5.26	-0.505	-1.071	0.061	0.08258938371262757	0.11301705139622721
all_families	A_pC3core_vs_chr1core	H	Coenzyme metabolism	pC3_clade_core	19	833	2.28	chr1_clade_core	129	2832	4.56	-1.001	-1.697	-0.304	0.0025575889319198694	0.005115177863839739
all_families	A_pC3core_vs_chr1core	I	Lipid metabolism	pC3_clade_core	16	833	1.92	chr1_clade_core	120	2832	4.24	-1.138	-1.889	-0.387	0.001172142679054246	0.002770519059582763
all_families	A_pC3core_vs_chr1core	J	Translation, ribosomal structure and biogenesis	pC3_clade_core	4	833	0.48	chr1_clade_core	179	2832	6.32	-3.64	-4.995	-2.286	5.673923129963989e-16	7.376100068953186e-15
all_families	A_pC3core_vs_chr1core	K	Transcription	pC3_clade_core	35	833	4.2	chr1_clade_core	179	2832	6.32	-0.606	-1.137	-0.074	0.02295360844699005	0.033155212201207845
all_families	A_pC3core_vs_chr1core	L	Replication, recombination and repair	pC3_clade_core	2	833	0.24	chr1_clade_core	64	2832	2.26	-2.954	-4.78	-1.128	1.0530065710806597e-05	5.475634169619431e-05
all_families	A_pC3core_vs_chr1core	M	Cell wall/membrane/envelope biogenesis	pC3_clade_core	12	833	1.44	chr1_clade_core	153	2832	5.4	-1.913	-2.752	-1.073	1.062256590076207e-07	9.20622378066046e-07
all_families	A_pC3core_vs_chr1core	N	Cell motility	pC3_clade_core	1	833	0.12	chr1_clade_core	44	2832	1.55	-3.147	-5.497	-0.797	0.00021809385211753714	0.0006300489061173294
all_families	A_pC3core_vs_chr1core	O	Post-translational modification, protein turnover, chaperones	pC3_clade_core	5	833	0.6	chr1_clade_core	102	2832	3.6	-2.499	-3.742	-1.257	4.411042064610777e-07	2.867177341997005e-06
all_families	A_pC3core_vs_chr1core	P	Inorganic ion transport and metabolism	pC3_clade_core	12	833	1.44	chr1_clade_core	99	2832	3.5	-1.258	-2.114	-0.402	0.0017291097011422037	0.0037464043524747747
all_families	A_pC3core_vs_chr1core	Q	Secondary metabolites biosynthesis, transport and catabolism	pC3_clade_core	7	833	0.84	chr1_clade_core	41	2832	1.45	-0.712	-1.84	0.415	0.22442376195566854	0.27785799099273245
all_families	A_pC3core_vs_chr1core	R	General function prediction only	pC3_clade_core	24	833	2.88	chr1_clade_core	136	2832	4.8	-0.742	-1.373	-0.111	0.01578342627310454	0.025648067693794876
all_families	A_pC3core_vs_chr1core	S	Function unknown	pC3_clade_core	7	833	0.84	chr1_clade_core	44	2832	1.55	-0.814	-1.936	0.307	0.13269511916363066	0.17250365491271985
all_families	A_pC3core_vs_chr1core	T	Signal transduction mechanisms	pC3_clade_core	14	833	1.68	chr1_clade_core	93	2832	3.28	-0.948	-1.754	-0.142	0.013799535463555262	0.02391919480349579
all_families	A_pC3core_vs_chr1core	U	Intracellular trafficking and secretion	pC3_clade_core	1	833	0.12	chr1_clade_core	54	2832	1.91	-3.444	-5.787	-1.101	1.471490728764617e-05	6.376459824646674e-05
all_families	A_pC3core_vs_chr1core	V	Defence mechanisms	pC3_clade_core	12	833	1.44	chr1_clade_core	45	2832	1.59	-0.101	-1.011	0.809	0.8739491519052752	0.9467782478973815
all_families	A_pC3core_vs_chr1core	W	Extracellular structures	pC3_clade_core	5	833	0.6	chr1_clade_core	3	2832	0.11	2.424	0.487	4.361	0.01806344888107149	0.02762645122987404
all_families	A_pC3core_vs_chr1core	X	Mobilome: prophages, transposons	pC3_clade_core	1	833	0.12	chr1_clade_core	2	2832	0.07	1.029	-1.894	3.951	0.5387321440688295	0.6366834429904349
all_families	A_pC3core_vs_chr1core	Z	Cytoskeleton	pC3_clade_core	0	833	0.0	chr1_clade_core	1	2832	0.04	0.179	-4.44	4.798	1.0	1.0
all_families	B_pC3core_vs_pC3acc	-	no COG assigned	pC3_clade_core	599	833	71.91	pC3_clade_accessory	503	550	91.45	-2.052	-2.533	-1.571	2.745009399961654e-20	6.58802255990797e-19
all_families	B_pC3core_vs_pC3acc	B	Chromatin structure and dynamics	pC3_clade_core	2	833	0.24	pC3_clade_accessory	0	550	0.0	1.727	-2.656	6.11	0.5205895863875276	0.6247075036650331
all_families	B_pC3core_vs_pC3acc	C	Energy production and conversion	pC3_clade_core	14	833	1.68	pC3_clade_accessory	7	550	1.27	0.359	-0.923	1.64	0.6559779810761928	0.7156123429922103
all_families	B_pC3core_vs_pC3acc	D	Cell cycle control and mitosis	pC3_clade_core	2	833	0.24	pC3_clade_accessory	0	550	0.0	1.727	-2.656	6.11	0.5205895863875276	0.6247075036650331
all_families	B_pC3core_vs_pC3acc	E	Amino acid metabolism and transport	pC3_clade_core	35	833	4.2	pC3_clade_accessory	11	550	2.0	1.061	0.088	2.033	0.031003917288141586	0.14881880298307962
