genome	region	products	start	end	length_bp	best_known_hit	n_proteins_hit	cumulative_blast
MF6	1	terpene;hydrogen-cyanide	110457	132518	22061			
MF6	2	T1PKS	208067	251946	43879			
MF6	3	terpene	614754	635849	21095			
MF6	4	RiPP-like	707628	718444	10816			
MF6	5	other	838113	879199	41086	BGC0000924 pyrrolnitrin	4	3453.0
MF6	6	NRPS;T1PKS	959446	1016716	57270			
MF6	7	T1PKS;NRPS-like;aminopolycarboxylic-acid	1099189	1159367	60178	BGC0002568 EDHA	4	1537.0
MF7	1	NRPS;T1PKS	79160	136430	57270			
MF7	2	other	216677	257763	41086	BGC0000924 pyrrolnitrin	4	3453.0
MF7	1	RiPP-like	59004	69820	10816			
MF7	2	terpene	141599	162694	21095			
MF7	3	T1PKS	525300	569179	43879			
MF7	4	terpene;hydrogen-cyanide	644728	666789	22061			
MF7	5	aminopolycarboxylic-acid;NRPS-like;T1PKS	797761	857810	60049	BGC0002568 EDHA	4	1537.0
GCF_016899425.1	1	NRPS;T1PKS	11337	68607	57270			
GCF_016899425.1	2	T1PKS;NRPS-like;aminopolycarboxylic-acid	151173	211352	60179	BGC0002568 EDHA	4	1543.0
GCF_016899425.1	3	terpene;hydrogen-cyanide	329557	351618	22061			
GCF_016899425.1	4	T1PKS	427172	471051	43879			
GCF_016899425.1	5	phosphonate	496349	508880	12531	BGC0000938 fosfomycin	2	1061.0
GCF_016899425.1	6	terpene	844593	865688	21095			
GCF_016899425.1	7	RiPP-like	936264	947080	10816			
GCF_016899425.1	8	other	1070426	1111512	41086	BGC0000924 pyrrolnitrin	4	3450.0
GCF_905400185.1	1	terpene;hydrogen-cyanide	260321	282382	22061			
GCF_905400185.1	2	T1PKS	357914	401793	43879			
GCF_905400185.1	3	phosphonate	426673	439204	12531	BGC0000938 fosfomycin	2	1061.0
GCF_905400185.1	4	terpene	780227	801322	21095			
GCF_905400185.1	5	RiPP-like	873054	883870	10816			
GCF_905400185.1	6	other	1005587	1046673	41086	BGC0000924 pyrrolnitrin	4	3444.0
GCF_905400185.1	7	NRPS;T1PKS	1126917	1184187	57270			
GCF_905400185.1	8	T1PKS;NRPS-like;aminopolycarboxylic-acid	1266756	1326931	60175	BGC0002568 EDHA	4	1540.0
GCF_053038975.1	1	hydrogen-cyanide	103868	116718	12850			
GCF_053038975.1	2	T1PKS	169226	213111	43885			
GCF_053038975.1	3	terpene	683085	704180	21095			
GCF_053038975.1	4	RiPP-like	780691	791507	10816			
GCF_053038975.1	5	other;NRPS;T1PKS;terpene	930657	1035190	104533	BGC0000924 pyrrolnitrin	4	3464.0
GCF_053038975.1	6	T1PKS;NRPS-like;aminopolycarboxylic-acid	1160006	1220196	60190	BGC0002568 EDHA	4	1529.0
GCF_053209605.1	1	hydrogen-cyanide	103868	116718	12850			
GCF_053209605.1	2	T1PKS	169226	213111	43885			
GCF_053209605.1	3	terpene	683085	704180	21095			
GCF_053209605.1	4	RiPP-like	780690	791506	10816			
GCF_053209605.1	5	other;NRPS;T1PKS;terpene	930652	1035184	104532	BGC0000924 pyrrolnitrin	4	3464.0
GCF_053209605.1	6	T1PKS;NRPS-like;aminopolycarboxylic-acid	1160000	1220190	60190	BGC0002568 EDHA	4	1529.0
