accession	contig	length	secondary_rank	n_orthogroups	c3_content	c2_content	c3_score	replicon_class	is_c3
GCA_017356705.2	CP076288.1	3213568	1	1351	0.0396	0.2438	-0.2043	other_megaplasmid	False
GCA_017356725.2	CP076289.1	3240692	1	1215	0.0383	0.2132	-0.1749	other_megaplasmid	False
GCA_020887275.1	AP022306.1	1743356	1	816	0.0319	0.1333	-0.1014	other_megaplasmid	False
GCA_020887275.1	AP022307.1	1615796	2	473	0.0281	0.0421	-0.0140	other_megaplasmid	False
GCA_020887275.1	AP022308.1	1517105	3	509	0.0511	0.0545	-0.0034	other_megaplasmid	False
GCA_020887275.1	AP022309.1	494197	4	95	0.0064	0.0052	0.0012	other_megaplasmid	False
GCA_020887275.1	AP022310.1	481972	5	51	0.0038	0.0027	0.0011	other_megaplasmid	False
GCA_024298805.1	CP101280.1	3290308	1	2320	0.0026	0.5435	-0.5410	chromosome2	False
GCA_024298805.1	CP101281.1	1441107	2	827	0.4610	0.0005	0.4605	c3	True
GCA_029762415.1	CP121774.1	3892275	1	1274	0.0958	0.1965	-0.1007	other_megaplasmid	False
GCA_040954445.1	CP144362.1	551157	1	50	0.0026	0.0093	-0.0068	other_megaplasmid	False
GCA_048918525.1	CP183179.1	3834718	1	1645	0.1494	0.2570	-0.1076	other_megaplasmid	False
GCA_051027405.1	CP186319.1	3705923	1	1891	0.0485	0.2994	-0.2509	other_megaplasmid	False
GCA_055387565.1	AP040306.1	2879483	1	1318	0.0447	0.2430	-0.1983	other_megaplasmid	False
GCA_056494915.1	CP195753.1	4274904	1	1707	0.0332	0.2518	-0.2186	other_megaplasmid	False
GCA_056494915.1	CP195755.1	967717	2	110	0.0140	0.0099	0.0042	other_megaplasmid	False
GCA_056494915.1	CP195754.1	509237	3	11	0.0026	0.0011	0.0015	other_megaplasmid	False
GCA_964417475.2	OZ259870.1	3240568	1	1378	0.0421	0.2485	-0.2063	other_megaplasmid	False
GCA_965199415.1	OZ241172.1	3221869	1	1295	0.0383	0.2354	-0.1970	other_megaplasmid	False
GCA_965199775.1	OZ241382.1	2884388	1	1280	0.0447	0.2348	-0.1901	other_megaplasmid	False
GCA_965217235.1	OZ244257.1	2228287	1	1193	0.0460	0.2258	-0.1798	other_megaplasmid	False
GCA_965217245.1	OZ244259.1	2139739	1	1224	0.0690	0.2239	-0.1549	other_megaplasmid	False
GCA_980298765.1	OZ412838.1	3093861	1	1307	0.0383	0.2397	-0.2014	other_megaplasmid	False
GCF_000009485.1	NC_011001.1	3217062	1	2482	0.0026	0.5597	-0.5571	chromosome2	False
GCF_000009485.1	NC_011002.1	875977	2	605	0.3052	0.0022	0.3030	c3	True
GCF_000010545.1	NC_010805.1	2473162	1	1811	0.0013	0.4105	-0.4092	chromosome2	False
GCF_000010545.1	NC_010801.1	919805	2	557	0.2516	0.0044	0.2472	c3	True
GCF_000011545.1	NC_006351.1	3173005	1	1397	0.0447	0.2540	-0.2093	other_megaplasmid	False
GCF_000011705.1	NC_006349.2	2325379	1	1049	0.0192	0.2085	-0.1894	other_megaplasmid	False
GCF_000012365.1	NC_007650.1	2914771	1	1317	0.0179	0.2521	-0.2342	other_megaplasmid	False
GCF_000012785.1	NC_007435.1	3181762	1	1388	0.0421	0.2518	-0.2096	other_megaplasmid	False
GCF_000012945.1	NC_007511.1	3587082	1	2748	0.0038	0.6524	-0.6486	chromosome2	False
GCF_000012945.1	NC_007509.1	1395069	2	853	0.4879	0.0044	0.4835	c3	True
GCF_000013645.1	NC_007952.1	3363523	1	1626	0.0179	0.2671	-0.2492	other_megaplasmid	False
GCF_000013645.1	NC_007953.1	1471779	2	366	0.0307	0.0268	0.0038	other_megaplasmid	False
GCF_000015465.1	NC_008784.1	1734922	1	810	0.0166	0.1637	-0.1471	other_megaplasmid	False
GCF_000015605.1	NC_008835.1	2284095	1	1026	0.0166	0.2083	-0.1917	other_megaplasmid	False
GCF_000015625.1	NC_009079.1	2352693	1	1058	0.0192	0.2096	-0.1905	other_megaplasmid	False
GCF_000015905.1	NC_009075.1	3127456	1	1372	0.0447	0.2493	-0.2046	other_megaplasmid	False
GCF_000015925.1	NC_009078.1	3100794	1	1383	0.0421	0.2526	-0.2105	other_megaplasmid	False
GCF_000016205.1	NC_009255.1	2411759	1	1617	0.0038	0.3569	-0.3530	other_megaplasmid	False
GCF_000016205.1	NC_009254.1	1241007	2	678	0.2695	0.0044	0.2651	c3	True
GCF_000016205.1	NC_009230.1	397868	3	46	0.0026	0.0047	-0.0021	other_megaplasmid	False
GCF_000018505.1	NC_010086.1	2472928	1	1828	0.0013	0.4143	-0.4131	chromosome2	False
GCF_000018505.1	NC_010087.1	919806	2	565	0.2580	0.0044	0.2536	c3	True
GCF_000019505.1	NC_010515.1	3213911	1	2439	0.0026	0.5427	-0.5401	chromosome2	False
GCF_000019505.1	NC_010512.1	1224595	2	831	0.4176	0.0019	0.4157	c3	True
GCF_000019925.1	NC_010552.1	2769414	1	2112	0.0038	0.4756	-0.4718	chromosome2	False
GCF_000019925.1	NC_010557.1	1127947	2	832	0.3384	0.0033	0.3352	c3	True
GCF_000019925.1	NC_010553.1	301592	3	47	0.0128	0.0016	0.0111	other_megaplasmid	False
GCF_000020045.1	NC_010623.1	2697374	1	1354	0.0498	0.2274	-0.1776	other_megaplasmid	False
GCF_000020045.1	NC_010625.1	1904893	2	680	0.0332	0.0534	-0.0202	other_megaplasmid	False
GCF_000020045.1	NC_010627.1	595108	3	58	0.0038	0.0055	-0.0016	other_megaplasmid	False
GCF_000020125.1	NC_010676.1	3625999	1	1827	0.0587	0.2887	-0.2300	other_megaplasmid	False
GCF_000022645.2	NC_012721.2	2827333	1	1285	0.0779	0.1970	-0.1191	other_megaplasmid	False
GCF_000092885.1	NC_014118.1	2593966	1	1452	0.0460	0.2356	-0.1897	other_megaplasmid	False
GCF_000092885.1	NC_014119.1	1282816	2	423	0.0319	0.0386	-0.0067	other_megaplasmid	False
GCF_000092885.1	NC_014120.1	489136	3	57	0.0038	0.0030	0.0008	other_megaplasmid	False
GCF_000194745.1	NC_015376.1	3700833	1	1739	0.1430	0.2709	-0.1279	other_megaplasmid	False
GCF_000194745.1	NC_015383.1	403586	2	84	0.0038	0.0068	-0.0030	other_megaplasmid	False
GCF_000198775.1	NC_014718.1	822304	1	164	0.0089	0.0249	-0.0160	other_megaplasmid	False
GCF_000203915.1	NC_008391.1	2646969	1	2105	0.0013	0.4814	-0.4801	chromosome2	False
GCF_000203915.1	NC_008392.1	1281472	2	876	0.4023	0.0027	0.3996	c3	True
GCF_000203955.1	NC_008543.1	2998664	1	2388	0.0000	0.5342	-0.5342	chromosome2	False
GCF_000203955.1	NC_008544.1	1055417	2	813	0.4393	0.0011	0.4382	c3	True
GCF_000236065.1	NC_016626.1	1951047	1	589	0.0575	0.0610	-0.0036	other_megaplasmid	False
GCF_000236065.1	NC_016625.1	1773019	2	816	0.0243	0.1363	-0.1120	other_megaplasmid	False
GCF_000236065.1	NC_016590.1	1569570	3	454	0.0281	0.0413	-0.0132	other_megaplasmid	False
GCF_000236065.1	NC_016591.1	356263	4	31	0.0038	0.0003	0.0036	other_megaplasmid	False
GCF_000236215.2	NZ_HG938371.1	3102677	1	2429	0.0000	0.5632	-0.5632	chromosome2	False
GCF_000236215.2	NZ_HG938372.1	1039263	2	794	0.4278	0.0033	0.4246	c3	True
