accession	organism_name	genus	strain	query_genus	total_length	gc_percent	n_replicons_total	replicon_sizes	largest	second	third	sequencing_tech	checkm_completeness	checkm_contamination	ncbi_n_chromosomes	n_large_200kb	n_large_300kb	n_large_500kb	n_large_1000kb	architecture	ncbi_labelled_chromosomes	ncbi_labelled_plasmids	third_ncbi_label	third_chr_name	size_vs_label_agree	qc_pass	qc_reason
GCA_017356705.2	Burkholderia pseudomallei	Burkholderia	VBM364	Burkholderia	10601007	68	2	7387439;3213568	7387439	3213568	0	Illumina HiSeq; Oxford Nanopore MinION			2	2	2	2	2	2_large	2	0			True	True	
GCA_017356725.2	Burkholderia pseudomallei	Burkholderia	VBM399	Burkholderia	10628399	68	2	7387707;3240692	7387707	3240692	0	Illumina HiSeq; Oxford Nanopore MinION			2	2	2	2	2	2_large	2	0			True	True	
GCA_020887275.1	Burkholderia sp. SFA1	Burkholderia	SFA1	Burkholderia	9406462	63	8	3128653;1743356;1615796;1517105;494197;481972;246373;179010	3128653	1743356	1615796	Illumina NextSeq, Nanopore GridION			8	7	6	4	4	4+_large	3	5	Chromosome	3	False	True	
GCA_024298805.1	Burkholderia sp. FXe9	Burkholderia	FXe9	Burkholderia	8825357	66	4	3988163;3290308;1441107;105779	3988163	3290308	1441107	Oxford Nanopore GridION	83.22	0.3	4	3	3	3	3	3_large	2	2	Plasmid	unnamed1	False	False	completeness<95
GCA_029762415.1	Burkholderia gladioli	Burkholderia	KRS027	Burkholderia	8257358	68	3	4187756;3892275;177327	4187756	3892275	177327	PacBio	61.85	1.41	3	2	2	2	2	2_large	2	1	Plasmid	unnamed1	True	False	completeness<95
GCA_040954445.1	Burkholderia sp.	Burkholderia		Burkholderia	2503222	58.5	3	1892292;551157;59773	1892292	551157	59773	Oxford Nanopore MinION	55.46	0.64	3	2	2	2	1	2_large	2	1	Plasmid	plasmid	True	False	completeness<95
GCA_048918525.1	Burkholderia gladioli	Burkholderia	HG_1	Burkholderia	8231763	68	4	4163892;3834718;178386;54767	4163892	3834718	178386	Oxford Nanopore MinION	93.36	2.51	4	2	2	2	2	2_large	2	2	Plasmid	pHG_1-178	True	False	completeness<95
GCA_051027405.1	Burkholderia stagnalis	Burkholderia	wqa34	Burkholderia	8315245	61.5	3	4560590;3705923;48732	4560590	3705923	48732	PacBio	100	1.75	3	2	2	2	2	2_large	2	1	Plasmid	p1	True	True	
GCA_055387565.1	Burkholderia pseudomallei	Burkholderia	GTC 3P0021	Burkholderia	6960028	68	2	4080545;2879483	4080545	2879483	0	Nanopore MinION; Illumina MiSeq	95.43	1.27	2	2	2	2	2	2_large	2	0			True	True	
GCA_056494915.1	Paraburkholderia caledonica	Paraburkholderia	SM1	Paraburkholderia	8902796	61.5	4	4274904;3150938;967717;509237	4274904	3150938	967717	Oxford Nanopore R10.4			4	4	4	4	2	4+_large	2	2	Plasmid	pCAL2	False	True	
GCA_059696275.1	Burkholderia sp. SJ1	Burkholderia	unspecified.	Burkholderia	3228657	66.5	1	3228657	3228657	0	0	PacBio Sequel lle	8.09		1	1	1	1	1	1_large	1	0			True	False	completeness<95
GCA_964417475.2	Burkholderia pseudomallei	Burkholderia		Burkholderia	7364047	68	2	4123479;3240568	4123479	3240568	0	OXFORD_NANOPORE, MiSeq Illumina			2	2	2	2	2	2_large	2	0			True	True	
