region	contig	region_product	protein_id	gene	product	feature	start	end	strand	length_bp	gene_kind	in_protocluster_core	logFC	adj.P.Val	category	direction	mibig_accession	mibig_similarity
chr1.region001	chr1	lassopeptide	AC1V0C_06400	phoB	phosphate regulon transcriptional regulator PhoB	CDS	1351755	1352456	+	702	regulatory	False	0.483756628910193	0.0241116225803154	significant	up in MF6C	BGC0000571.3	0.633
chr1.region001	chr1	lassopeptide	AC1V0C_06405	phoR	phosphate regulon sensor histidine kinase PhoR	CDS	1352513	1353832	+	1320	regulatory	False	-0.0405153379937708	0.780420081348314	nonsig	up in MF6	BGC0000571.3	0.633
chr1.region001	chr1	lassopeptide	AC1V0C_06410	ppk1	polyphosphate kinase 1	CDS	1353924	1355987	-	2064		False	-0.391272650392207	0.0110683518804004	significant	up in MF6	BGC0000571.3	0.633
chr1.region001	chr1	lassopeptide	AC1V0C_06415	ppx	exopolyphosphatase	CDS	1356267	1357781	+	1515	biosynthetic-additional	False	-0.157149179731277	0.0560140710805322	nonsig	up in MF6	BGC0000571.3	0.633
chr1.region001	chr1	lassopeptide	AC1V0C_06420		hypothetical protein	CDS	1357905	1358339	-	435		False	-1.12105505401195	5.05414854647689e-05	significant	up in MF6	BGC0000571.3	0.633
chr1.region001	chr1	lassopeptide	AC1V0C_06425		IS30 family transposase	CDS	1358792	1359807	+	1016		False			not_quantified		BGC0000571.3	0.633
chr1.region001	chr1	lassopeptide	AC1V0C_06430		ATP-binding cassette domain-containing protein	CDS	1359944	1361686	-	1743	transport	False			missing_in_A		BGC0000571.3	0.633
chr1.region001	chr1	lassopeptide	AC1V0C_06435		asparagine synthase-related protein	CDS	1361733	1363520	-	1788	biosynthetic	True			not_quantified		BGC0000571.3	0.633
chr1.region001	chr1	lassopeptide	AC1V0C_06440		lasso peptide biosynthesis B2 protein	CDS	1363513	1364133	-	621	biosynthetic	True			not_quantified		BGC0000571.3	0.633
chr1.region001	chr1	lassopeptide	AC1V0C_06445		hypothetical protein	CDS	1364189	1364320	-	132		False			not_quantified		BGC0000571.3	0.633
chr1.region001	chr1	lassopeptide	AC1V0C_06450		type VI secretion system Vgr family protein	CDS	1365293	1367800	+	2508		False			not_quantified		BGC0000571.3	0.633
chr1.region001	chr1	lassopeptide	AC1V0C_06455		glycoside hydrolase family 24 protein	CDS	1367846	1370728	+	2883		False			missing_in_A		BGC0000571.3	0.633
chr1.region001	chr1	lassopeptide	AC1V0C_06460		hypothetical protein	CDS	1370739	1371266	+	528		False	-1.08646066643695	0.0008457967058395	significant	up in MF6	BGC0000571.3	0.633
chr1.region001	chr1	lassopeptide	AC1V0C_06465		PAAR domain-containing protein	CDS	1371295	1371546	+	252		False			not_quantified		BGC0000571.3	0.633
chr1.region001	chr1	lassopeptide	AC1V0C_06470		conjugal transfer protein	CDS	1371615	1372091	+	477		False			not_quantified		BGC0000571.3	0.633
chr1.region001	chr1	lassopeptide	AC1V0C_06475		tyrosine-type recombinase/integrase	CDS	1372470	1373771	+	1302	other	False			missing_in_A		BGC0000571.3	0.633
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08255		MFS family transporter	CDS	1762980	1764284	+	1305	transport	False	0.709195884610367	0.0016945310922386	significant	up in MF6C	BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08260		ABC transporter substrate-binding protein	CDS	1764713	1765528	+	816	biosynthetic-additional	False	-0.667285189515006	0.0374359280135268	significant	up in MF6	BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08265		amino acid ABC transporter permease	CDS	1765623	1766345	+	723	transport	False			not_quantified		BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08270		amino acid ABC transporter permease	CDS	1766348	1767073	+	726	transport	False			not_quantified		BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08275		M23 family metallopeptidase	CDS	1767220	1768485	-	1266		False			not_quantified		BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08280		TetR family transcriptional regulator	CDS	1768825	1769472	-	648	regulatory	False			not_quantified		BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08285		MexX/AxyX family multidrug efflux RND transporter periplasmic adaptor subunit	CDS	1769624	1770826	+	1203	transport	False	1.53917993500387	1.36218699819787e-06	significant	up in MF6C	BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08290		multidrug efflux RND transporter permease subunit	CDS	1770842	1773982	+	3141	transport	False	1.04012962398266	1.20702428979777e-05	significant	up in MF6C	BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08295		efflux transporter outer membrane subunit	CDS	1773982	1775442	+	1461	transport	False	1.28648038663123	1.16445049059595e-06	significant	up in MF6C	BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08300		hypothetical protein	CDS	1776047	1776265	-	219		False			not_quantified		BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08305		fimbrial protein	CDS	1776289	1776801	+	513		False	-3.51940763964182	1.00810555688169e-05	significant	up in MF6	BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08310		fimbria/pilus outer membrane usher protein	CDS	1776891	1779377	+	2487		False	-2.5699499526056	2.52498717260584e-07	significant	up in MF6	BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08315		fimbrial biogenesis chaperone	CDS	1779395	1780141	+	747		False	-2.73746418282229	2.86494058342524e-08	significant	up in MF6	BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08320		fimbrial protein	CDS	1780138	1781160	+	1023		False	-2.92794354752213	3.1227334975916e-06	significant	up in MF6	BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08325		RNA polymerase factor sigma-70	CDS	1781401	1782069	+	669	regulatory	False			not_quantified		BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08330		MbtH family protein	CDS	1782155	1782397	+	243	biosynthetic-additional	False			not_quantified		BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08335		TauD/TfdA family dioxygenase	CDS	1782443	1783450	+	1008	biosynthetic	True	-2.83054820477666	8.20075451924343e-06	significant	up in MF6	BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08340		ABC transporter ATP-binding protein	CDS	1783450	1784298	+	849	transport	True			missing_in_A		BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08345	fhuB	Fe(3+)-hydroxamate ABC transporter permease FhuB	CDS	1784295	1786385	+	2091	transport	True			not_quantified		BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08350	fhuF	siderophore-iron reductase FhuF	CDS	1786382	1787182	+	801		True			not_quantified		BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08355		ABC transporter substrate-binding protein	CDS	1787179	1788204	+	1026	transport	True			missing_in_A		BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08360		cyclic peptide export ABC transporter	CDS	1788378	1790123	-	1746	transport	True			missing_in_A		BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08365		amino acid adenylation domain-containing protein	CDS	1790396	1800088	+	9693	biosynthetic	True			not_quantified		BGC0002569.3	1.466
chr1.region002	chr1	NRP-metallophore, NRPS	AC1V0C_08370		non-ribosomal peptide synthetase	CDS	1800098	1805086	+	4989	biosynthetic	True	-1.02501200809856	0.0009345974606286	significant	up in MF6	BGC0002569.3	1.466
