accession	contig	length	rank	n_contigs
GCA_017356705.2	CP071525.1	7387439	1	2
GCA_017356705.2	CP076288.1	3213568	2	2
GCA_017356725.2	CP071526.1	7387707	1	2
GCA_017356725.2	CP076289.1	3240692	2	2
GCA_020887275.1	AP022305.1	3128653	1	8
GCA_020887275.1	AP022306.1	1743356	2	8
GCA_020887275.1	AP022307.1	1615796	3	8
GCA_020887275.1	AP022308.1	1517105	4	8
GCA_020887275.1	AP022309.1	494197	5	8
GCA_020887275.1	AP022310.1	481972	6	8
GCA_020887275.1	AP022311.1	246373	7	8
GCA_020887275.1	AP022312.1	179010	8	8
GCA_024298805.1	CP101279.1	3988163	1	4
GCA_024298805.1	CP101280.1	3290308	2	4
GCA_024298805.1	CP101281.1	1441107	3	4
GCA_024298805.1	CP101282.1	105779	4	4
GCA_029762415.1	CP121773.1	4187756	1	3
GCA_029762415.1	CP121774.1	3892275	2	3
GCA_029762415.1	CP121775.1	177327	3	3
GCA_040954445.1	CP144361.1	1892292	1	3
GCA_040954445.1	CP144362.1	551157	2	3
GCA_040954445.1	CP144363.1	59773	3	3
GCA_048918525.1	CP183180.1	4163892	1	4
GCA_048918525.1	CP183179.1	3834718	2	4
GCA_048918525.1	CP183178.1	178386	3	4
GCA_048918525.1	CP183181.1	54767	4	4
GCA_051027405.1	CP186318.1	4560590	1	3
GCA_051027405.1	CP186319.1	3705923	2	3
GCA_051027405.1	CP186320.1	48732	3	3
GCA_055387565.1	AP040305.1	4080545	1	2
GCA_055387565.1	AP040306.1	2879483	2	2
GCA_056494915.1	CP195753.1	4274904	1	4
GCA_056494915.1	CP195752.1	3150938	2	4
GCA_056494915.1	CP195755.1	967717	3	4
GCA_056494915.1	CP195754.1	509237	4	4
GCA_059696275.1	AP040121.1	3228657	1	1
GCA_964417475.2	OZ259869.1	4123479	1	2
GCA_964417475.2	OZ259870.1	3240568	2	2
GCA_965199415.1	OZ241173.1	4090989	1	2
GCA_965199415.1	OZ241172.1	3221869	2	2
GCA_965199775.1	OZ241381.1	4100456	1	2
GCA_965199775.1	OZ241382.1	2884388	2	2
GCA_965217235.1	OZ244256.1	3451707	1	2
GCA_965217235.1	OZ244257.1	2228287	2	2
GCA_965217245.1	OZ244258.1	3340722	1	2
GCA_965217245.1	OZ244259.1	2139739	2	2
GCA_980298765.1	OZ412837.1	3910731	1	2
GCA_980298765.1	OZ412838.1	3093861	2	2
GCF_000009485.1	NC_011000.1	3870082	1	4
GCF_000009485.1	NC_011001.1	3217062	2	4
GCF_000009485.1	NC_011002.1	875977	3	4
GCF_000009485.1	NC_011003.1	92661	4	4
GCF_000010545.1	NC_010804.1	3448421	1	4
GCF_000010545.1	NC_010805.1	2473162	2	4
GCF_000010545.1	NC_010801.1	919805	3	4
GCF_000010545.1	NC_010802.1	167422	4	4
GCF_000011545.1	NC_006350.1	4074542	1	2
GCF_000011545.1	NC_006351.1	3173005	2	2
GCF_000011705.1	NC_006348.1	3510148	1	2
GCF_000011705.1	NC_006349.2	2325379	2	2
GCF_000012365.1	NC_007651.1	3809201	1	2
GCF_000012365.1	NC_007650.1	2914771	2	2
GCF_000012785.1	NC_007434.1	4126292	1	2
GCF_000012785.1	NC_007435.1	3181762	2	2
GCF_000012945.1	NC_007510.1	3694126	1	3
GCF_000012945.1	NC_007511.1	3587082	2	3
GCF_000012945.1	NC_007509.1	1395069	3	3
GCF_000013645.1	NC_007951.1	4895836	1	3
GCF_000013645.1	NC_007952.1	3363523	2	3
GCF_000013645.1	NC_007953.1	1471779	3	3
GCF_000015465.1	NC_008785.1	3497479	1	2
GCF_000015465.1	NC_008784.1	1734922	2	2
GCF_000015605.1	NC_008836.1	3458208	1	2
GCF_000015605.1	NC_008835.1	2284095	2	2
GCF_000015625.1	NC_009080.1	3495687	1	2
GCF_000015625.1	NC_009079.1	2352693	2	2
GCF_000015905.1	NC_009074.1	3912947	1	2
GCF_000015905.1	NC_009075.1	3127456	2	2
GCF_000015925.1	NC_009076.1	3988455	1	2
GCF_000015925.1	NC_009078.1	3100794	2	2
GCF_000016205.1	NC_009256.1	3652814	1	8
GCF_000016205.1	NC_009255.1	2411759	2	8
GCF_000016205.1	NC_009254.1	1241007	3	8
GCF_000016205.1	NC_009230.1	397868	4	8
GCF_000016205.1	NC_009227.1	265616	5	8
GCF_000016205.1	NC_009229.1	226679	6	8
GCF_000016205.1	NC_009228.1	107231	7	8
GCF_000016205.1	NC_009226.1	88096	8	8
GCF_000018505.1	NC_010084.1	3448466	1	4
GCF_000018505.1	NC_010086.1	2472928	2	4
GCF_000018505.1	NC_010087.1	919806	3	4
GCF_000018505.1	NC_010070.1	167422	4	4
GCF_000019505.1	NC_010508.1	3532883	1	3
GCF_000019505.1	NC_010515.1	3213911	2	3
GCF_000019505.1	NC_010512.1	1224595	3	3
GCF_000019925.1	NC_010551.1	3443583	1	4
GCF_000019925.1	NC_010552.1	2769414	2	4
GCF_000019925.1	NC_010557.1	1127947	3	4
GCF_000019925.1	NC_010553.1	301592	4	4
GCF_000020045.1	NC_010622.1	3479187	1	4
GCF_000020045.1	NC_010623.1	2697374	2	4
GCF_000020045.1	NC_010625.1	1904893	3	4
GCF_000020045.1	NC_010627.1	595108	4	4
GCF_000020125.1	NC_010681.1	4467537	1	3
GCF_000020125.1	NC_010676.1	3625999	2	3
GCF_000020125.1	NC_010679.1	121122	3	3
GCF_000022645.2	NC_012724.2	3906507	1	6
GCF_000022645.2	NC_012721.2	2827333	2	6
GCF_000022645.2	NC_012718.1	141792	3	6
GCF_000022645.2	NC_012720.2	141067	4	6
GCF_000022645.2	NC_012725.2	134346	5	6
GCF_000022645.2	NC_012723.1	133591	6	6
GCF_000092885.1	NC_014117.1	3518940	1	4
GCF_000092885.1	NC_014118.1	2593966	2	4
GCF_000092885.1	NC_014119.1	1282816	3	4
GCF_000092885.1	NC_014120.1	489136	4	4
GCF_000194745.1	NC_015381.1	4413616	1	6
GCF_000194745.1	NC_015376.1	3700833	2	6
GCF_000194745.1	NC_015383.1	403586	3	6
GCF_000194745.1	NC_015382.1	276215	4	6
GCF_000194745.1	NC_015377.1	129399	5	6
GCF_000194745.1	NC_015378.1	128650	6	6
GCF_000198775.1	NC_014722.1	2755309	1	3
GCF_000198775.1	NC_014718.1	822304	2	3
GCF_000198775.1	NC_014723.1	172525	3	3
GCF_000203915.1	NC_008390.1	3556545	1	4
GCF_000203915.1	NC_008391.1	2646969	2	4
GCF_000203915.1	NC_008392.1	1281472	3	4
GCF_000203915.1	NC_008385.1	43581	4	4
