accession	c3_present	evidence	c3_contig	c3_len	c3_ani_to_ref	c3_aligned_fraction	c3_best_ref
GCA_036870995.1	False	measured_skani_vs_known_c3					
GCA_038448705.1	False	measured_skani_vs_known_c3					
GCA_050916205.1	True	measured_skani_vs_known_c3	CP100441.1	922861	99.02	91.5	ref__GCF_001718775.1__NZ_CP013434.1.fna
GCA_903231545.1	True	measured_skani_vs_known_c3	LR798195.1	1060649	99.08	84.9	ref__GCF_001606135.1__NZ_CP015037.1.fna
GCF_000182585.2	False	measured_skani_vs_known_c3					
GCF_000193475.1	False	measured_skani_vs_known_c3					
GCF_000497165.1	True	measured_skani_vs_known_c3	NZ_CM002279.1	823866	98.80	94.5	ref__GCF_030848725.1__NZ_CP132924.1.fna
GCF_000770415.1	False	measured_skani_vs_known_c3					
GCF_000770435.1	False	measured_skani_vs_known_c3					
GCF_000770475.1	False	measured_skani_vs_known_c3					
GCF_000775165.1	False	measured_skani_vs_known_c3					
GCF_000970935.1	False	measured_skani_vs_known_c3					
GCF_000970955.1	False	measured_skani_vs_known_c3					
GCF_001275585.1	False	measured_skani_vs_known_c3					
GCF_001462435.1	False	measured_skani_vs_known_c3					
GCF_001546925.1	False	measured_skani_vs_known_c3					
GCF_001546975.1	True	measured_skani_vs_known_c3	NZ_LNJU01000004.1	916684	98.01	68.5	ref__GCF_001718855.1__NZ_CP013445.1.fna
GCF_001547525.1	True	measured_skani_vs_known_c3	NZ_CM003769.1	963101	98.53	95.9	ref__GCF_045345775.1__NZ_CP174278.1.fna
GCF_001636095.1	True	measured_skani_vs_known_c3	NZ_CM004193.1	786145	95.36	67.7	ref__GCF_001718335.1__NZ_CP013367.1.fna
GCF_001974745.1	False	measured_skani_vs_known_c3					
GCF_001988975.1	False	measured_skani_vs_known_c3					
GCF_001999805.1	True	measured_skani_vs_known_c3	NZ_CP019667.1	974315	99.36	95.3	ref__GCF_001606135.1__NZ_CP015037.1.fna
GCF_001999925.1	True	measured_skani_vs_known_c3	NZ_CP019675.1	1011214	99.23	91.3	ref__GCF_001606135.1__NZ_CP015037.1.fna
GCF_002083015.1	True	measured_skani_vs_known_c3	NZ_CP020601.1	1003192	99.14	79.8	ref__GCF_001606135.1__NZ_CP015037.1.fna
GCF_002110925.1	False	measured_skani_vs_known_c3					
GCF_002110985.1	False	measured_skani_vs_known_c3					
GCF_002111065.1	False	measured_skani_vs_known_c3					
GCF_002111185.1	False	measured_skani_vs_known_c3					
GCF_002220305.1	False	measured_skani_vs_known_c3					
GCF_002924455.1	True	measured_skani_vs_known_c3	NZ_CM009577.1	1202138	98.92	96.0	ref__GCF_050632345.1__NZ_CP192565.1.fna
GCF_003546995.3	False	measured_skani_vs_known_c3					
