accession	contig	length	secondary_rank	n_orthogroups	c3_content	c2_content	c3_score	replicon_class	is_c3
GCA_017356705.2	CP076288.1	3213568	1	1351	0.0217	0.2649	-0.2432	other_megaplasmid	False
GCA_017356725.2	CP076289.1	3240692	1	1215	0.0199	0.2289	-0.2090	other_megaplasmid	False
GCA_020887275.1	AP022306.1	1743356	1	816	0.0163	0.1231	-0.1068	other_megaplasmid	False
GCA_020887275.1	AP022307.1	1615796	2	473	0.0108	0.0354	-0.0245	other_megaplasmid	False
GCA_020887275.1	AP022308.1	1517105	3	509	0.0289	0.0474	-0.0185	other_megaplasmid	False
GCA_020887275.1	AP022309.1	494197	4	95	0.0036	0.0042	-0.0006	other_megaplasmid	False
GCA_020887275.1	AP022310.1	481972	5	51	0.0036	0.0026	0.0010	other_megaplasmid	False
GCA_024298805.1	CP101280.1	3290308	1	2320	0.0000	0.5886	-0.5886	chromosome2	False
GCA_024298805.1	CP101281.1	1441107	2	827	0.4756	0.0003	0.4753	c3	True
GCA_029762415.1	CP121774.1	3892275	1	1274	0.0687	0.1955	-0.1267	other_megaplasmid	False
GCA_040954445.1	CP144362.1	551157	1	50	0.0018	0.0107	-0.0089	other_megaplasmid	False
GCA_048918525.1	CP183179.1	3834718	1	1645	0.1284	0.2646	-0.1362	other_megaplasmid	False
GCA_051027405.1	CP186319.1	3705923	1	1891	0.0362	0.2854	-0.2492	other_megaplasmid	False
GCA_055387565.1	AP040306.1	2879483	1	1318	0.0217	0.2623	-0.2406	other_megaplasmid	False
GCA_056494915.1	CP195753.1	4274904	1	1707	0.0145	0.2416	-0.2271	other_megaplasmid	False
GCA_056494915.1	CP195755.1	967717	2	110	0.0090	0.0078	0.0012	other_megaplasmid	False
GCA_056494915.1	CP195754.1	509237	3	11	0.0018	0.0013	0.0005	other_megaplasmid	False
GCA_964417475.2	OZ259870.1	3240568	1	1378	0.0217	0.2685	-0.2468	other_megaplasmid	False
GCA_965199415.1	OZ241172.1	3221869	1	1295	0.0181	0.2529	-0.2348	other_megaplasmid	False
GCA_965199775.1	OZ241382.1	2884388	1	1280	0.0235	0.2532	-0.2297	other_megaplasmid	False
