protein	genome	locus_tag	any_signature	interpro_entry	n_databases
GCF_016899425.1|KEDGBJ_05955	GCF_016899425.1	KEDGBJ_05955	True	True	7
GCF_016899425.1|KEDGBJ_05956	GCF_016899425.1	KEDGBJ_05956	True	True	5
GCF_016899425.1|KEDGBJ_05957	GCF_016899425.1	KEDGBJ_05957	True	True	4
GCF_016899425.1|KEDGBJ_05958	GCF_016899425.1	KEDGBJ_05958	True	True	7
GCF_016899425.1|KEDGBJ_05959	GCF_016899425.1	KEDGBJ_05959	True	True	5
GCF_016899425.1|KEDGBJ_05960	GCF_016899425.1	KEDGBJ_05960	True	True	4
GCF_016899425.1|KEDGBJ_05961	GCF_016899425.1	KEDGBJ_05961	True	True	4
GCF_016899425.1|KEDGBJ_05962	GCF_016899425.1	KEDGBJ_05962	True	True	7
GCF_016899425.1|KEDGBJ_05963	GCF_016899425.1	KEDGBJ_05963	True	True	6
GCF_016899425.1|KEDGBJ_05966	GCF_016899425.1	KEDGBJ_05966	False	False	1
GCF_016899425.1|KEDGBJ_05967	GCF_016899425.1	KEDGBJ_05967	True	True	8
GCF_016899425.1|KEDGBJ_05968	GCF_016899425.1	KEDGBJ_05968	True	True	9
GCF_016899425.1|KEDGBJ_05969	GCF_016899425.1	KEDGBJ_05969	True	True	7
GCF_016899425.1|KEDGBJ_05970	GCF_016899425.1	KEDGBJ_05970	True	True	5
GCF_016899425.1|KEDGBJ_05971	GCF_016899425.1	KEDGBJ_05971	True	True	6
GCF_016899425.1|KEDGBJ_05972	GCF_016899425.1	KEDGBJ_05972	True	True	6
GCF_016899425.1|KEDGBJ_05973	GCF_016899425.1	KEDGBJ_05973	True	True	6
GCF_016899425.1|KEDGBJ_05974	GCF_016899425.1	KEDGBJ_05974	True	True	10
GCF_016899425.1|KEDGBJ_05975	GCF_016899425.1	KEDGBJ_05975	True	True	8
GCF_016899425.1|KEDGBJ_05976	GCF_016899425.1	KEDGBJ_05976	True	True	4
GCF_016899425.1|KEDGBJ_05977	GCF_016899425.1	KEDGBJ_05977	True	True	5
GCF_016899425.1|KEDGBJ_05978	GCF_016899425.1	KEDGBJ_05978	True	True	6
GCF_016899425.1|KEDGBJ_05979	GCF_016899425.1	KEDGBJ_05979	True	True	4
GCF_016899425.1|KEDGBJ_05980	GCF_016899425.1	KEDGBJ_05980	True	True	4
