accession	locus	tier1_carrier
GCA_017356705.2	MF6_001079	False
GCA_017356705.2	MF6_002734	True
GCA_017356705.2	MF6_003184	False
GCA_017356705.2	MF6_003684	False
GCA_017356705.2	MF6_003684_Cterm	False
GCA_017356705.2	MF6_003686	False
GCA_017356705.2	MF6_003843	True
GCA_017356705.2	MF6_004284	False
GCA_017356705.2	MF6_004284_Cterm	False
GCA_017356705.2	MF6_004285	False
GCA_017356705.2	MF6_004947	True
GCA_017356705.2	MF6_006318	True
GCA_017356725.2	MF6_001079	False
GCA_017356725.2	MF6_002734	True
GCA_017356725.2	MF6_003184	False
GCA_017356725.2	MF6_003684	False
GCA_017356725.2	MF6_003684_Cterm	False
GCA_017356725.2	MF6_003686	False
GCA_017356725.2	MF6_003843	True
GCA_017356725.2	MF6_004284	False
GCA_017356725.2	MF6_004284_Cterm	False
GCA_017356725.2	MF6_004285	False
GCA_017356725.2	MF6_004947	True
GCA_017356725.2	MF6_006318	True
GCA_020887275.1	MF6_001079	False
GCA_020887275.1	MF6_002734	False
GCA_020887275.1	MF6_003184	False
GCA_020887275.1	MF6_003684	False
GCA_020887275.1	MF6_003684_Cterm	False
GCA_020887275.1	MF6_003686	False
GCA_020887275.1	MF6_003843	False
GCA_020887275.1	MF6_004284	False
GCA_020887275.1	MF6_004284_Cterm	False
GCA_020887275.1	MF6_004285	False
GCA_020887275.1	MF6_004947	False
GCA_020887275.1	MF6_006318	False
GCA_024298805.1	MF6_001079	False
GCA_024298805.1	MF6_002734	True
GCA_024298805.1	MF6_003184	False
GCA_024298805.1	MF6_003684	False
GCA_024298805.1	MF6_003684_Cterm	False
GCA_024298805.1	MF6_003686	False
GCA_024298805.1	MF6_003843	False
GCA_024298805.1	MF6_004284	False
GCA_024298805.1	MF6_004284_Cterm	False
GCA_024298805.1	MF6_004285	False
GCA_024298805.1	MF6_004947	True
GCA_024298805.1	MF6_006318	False
GCA_029762415.1	MF6_001079	False
GCA_029762415.1	MF6_002734	True
GCA_029762415.1	MF6_003184	True
GCA_029762415.1	MF6_003684	False
GCA_029762415.1	MF6_003684_Cterm	False
GCA_029762415.1	MF6_003686	False
GCA_029762415.1	MF6_003843	False
GCA_029762415.1	MF6_004284	False
GCA_029762415.1	MF6_004284_Cterm	False
GCA_029762415.1	MF6_004285	False
GCA_029762415.1	MF6_004947	False
GCA_029762415.1	MF6_006318	True
GCA_036870995.1	MF6_001079	False
GCA_036870995.1	MF6_002734	True
GCA_036870995.1	MF6_003184	False
GCA_036870995.1	MF6_003684_Cterm	False
GCA_036870995.1	MF6_003686	False
GCA_036870995.1	MF6_003843	True
GCA_036870995.1	MF6_004284_Cterm	False
GCA_036870995.1	MF6_004285	False
GCA_036870995.1	MF6_004947	True
GCA_036870995.1	MF6_006318	True
GCA_038448705.1	MF6_001079	False
GCA_038448705.1	MF6_002734	True
GCA_038448705.1	MF6_003184	False
GCA_038448705.1	MF6_003684_Cterm	False
GCA_038448705.1	MF6_003686	False
GCA_038448705.1	MF6_003843	True
GCA_038448705.1	MF6_004284_Cterm	False
GCA_038448705.1	MF6_004285	False
GCA_038448705.1	MF6_004947	True
GCA_038448705.1	MF6_006318	True
GCA_040954445.1	MF6_001079	False
GCA_040954445.1	MF6_002734	False
GCA_040954445.1	MF6_003184	False
GCA_040954445.1	MF6_003684	False
GCA_040954445.1	MF6_003684_Cterm	False
GCA_040954445.1	MF6_003686	False
GCA_040954445.1	MF6_003843	False
GCA_040954445.1	MF6_004284	False
GCA_040954445.1	MF6_004284_Cterm	False
GCA_040954445.1	MF6_004285	False
GCA_040954445.1	MF6_004947	False
GCA_040954445.1	MF6_006318	False
GCA_048918525.1	MF6_001079	False
GCA_048918525.1	MF6_002734	True
GCA_048918525.1	MF6_003184	True
GCA_048918525.1	MF6_003684	False
GCA_048918525.1	MF6_003684_Cterm	False
GCA_048918525.1	MF6_003686	False
GCA_048918525.1	MF6_003843	False
GCA_048918525.1	MF6_004284	False
GCA_048918525.1	MF6_004284_Cterm	False
GCA_048918525.1	MF6_004285	False
GCA_048918525.1	MF6_004947	True
GCA_048918525.1	MF6_006318	True
GCA_050916205.1	MF6_001079	False
GCA_050916205.1	MF6_002734	True
GCA_050916205.1	MF6_003184	False
GCA_050916205.1	MF6_003684_Cterm	False
GCA_050916205.1	MF6_003686	False
GCA_050916205.1	MF6_003843	False
GCA_050916205.1	MF6_004284_Cterm	False
GCA_050916205.1	MF6_004285	False
GCA_050916205.1	MF6_004947	False
GCA_050916205.1	MF6_006318	True
GCA_051027405.1	MF6_001079	False
GCA_051027405.1	MF6_002734	False
GCA_051027405.1	MF6_003184	False
GCA_051027405.1	MF6_003684	False
GCA_051027405.1	MF6_003684_Cterm	False
GCA_051027405.1	MF6_003686	False
GCA_051027405.1	MF6_003843	False
GCA_051027405.1	MF6_004284	False
GCA_051027405.1	MF6_004284_Cterm	False
GCA_051027405.1	MF6_004285	False
GCA_051027405.1	MF6_004947	False
GCA_051027405.1	MF6_006318	True
GCA_055387565.1	MF6_001079	False
GCA_055387565.1	MF6_002734	True
GCA_055387565.1	MF6_003184	False
GCA_055387565.1	MF6_003684	False
GCA_055387565.1	MF6_003684_Cterm	False
GCA_055387565.1	MF6_003686	False
GCA_055387565.1	MF6_003843	False
GCA_055387565.1	MF6_004284	False
GCA_055387565.1	MF6_004284_Cterm	False
GCA_055387565.1	MF6_004285	False
GCA_055387565.1	MF6_004947	True
GCA_055387565.1	MF6_006318	True
GCA_056494915.1	MF6_001079	False
GCA_056494915.1	MF6_002734	False
GCA_056494915.1	MF6_003184	False
GCA_056494915.1	MF6_003684	False
GCA_056494915.1	MF6_003684_Cterm	False
GCA_056494915.1	MF6_003686	False
GCA_056494915.1	MF6_003843	False
GCA_056494915.1	MF6_004284	False
GCA_056494915.1	MF6_004284_Cterm	False
GCA_056494915.1	MF6_004285	False
GCA_056494915.1	MF6_004947	False
GCA_056494915.1	MF6_006318	False
GCA_059696275.1	MF6_001079	False
GCA_059696275.1	MF6_002734	False
GCA_059696275.1	MF6_003184	False
GCA_059696275.1	MF6_003684	False
GCA_059696275.1	MF6_003684_Cterm	False
GCA_059696275.1	MF6_003686	False
GCA_059696275.1	MF6_003843	False
GCA_059696275.1	MF6_004284	False
GCA_059696275.1	MF6_004284_Cterm	False
GCA_059696275.1	MF6_004285	False
GCA_059696275.1	MF6_004947	True
GCA_059696275.1	MF6_006318	True
GCA_903231545.1	MF6_001079	False
GCA_903231545.1	MF6_002734	True
GCA_903231545.1	MF6_003184	False
GCA_903231545.1	MF6_003684_Cterm	False
GCA_903231545.1	MF6_003686	False
GCA_903231545.1	MF6_003843	True
GCA_903231545.1	MF6_004284_Cterm	False
GCA_903231545.1	MF6_004285	False
GCA_903231545.1	MF6_004947	True
GCA_903231545.1	MF6_006318	True
GCA_964417475.2	MF6_001079	False
GCA_964417475.2	MF6_002734	True
GCA_964417475.2	MF6_003184	False
GCA_964417475.2	MF6_003684	False
GCA_964417475.2	MF6_003684_Cterm	False
GCA_964417475.2	MF6_003686	False
GCA_964417475.2	MF6_003843	True
GCA_964417475.2	MF6_004284	False
GCA_964417475.2	MF6_004284_Cterm	False
GCA_964417475.2	MF6_004285	False
GCA_964417475.2	MF6_004947	True
GCA_964417475.2	MF6_006318	True
GCA_965199415.1	MF6_001079	False
GCA_965199415.1	MF6_002734	True
GCA_965199415.1	MF6_003184	False
GCA_965199415.1	MF6_003684	False
GCA_965199415.1	MF6_003684_Cterm	False
GCA_965199415.1	MF6_003686	False
GCA_965199415.1	MF6_003843	True
GCA_965199415.1	MF6_004284	False
GCA_965199415.1	MF6_004284_Cterm	False
GCA_965199415.1	MF6_004285	False
GCA_965199415.1	MF6_004947	True
GCA_965199415.1	MF6_006318	True
GCA_965199775.1	MF6_001079	False
GCA_965199775.1	MF6_002734	True
GCA_965199775.1	MF6_003184	False
GCA_965199775.1	MF6_003684	False
GCA_965199775.1	MF6_003684_Cterm	False
GCA_965199775.1	MF6_003686	False
GCA_965199775.1	MF6_003843	False
GCA_965199775.1	MF6_004284	False
GCA_965199775.1	MF6_004284_Cterm	False
GCA_965199775.1	MF6_004285	False
GCA_965199775.1	MF6_004947	True
GCA_965199775.1	MF6_006318	True
GCA_965217235.1	MF6_001079	False
GCA_965217235.1	MF6_002734	False
GCA_965217235.1	MF6_003184	False
GCA_965217235.1	MF6_003684	False
GCA_965217235.1	MF6_003684_Cterm	False
GCA_965217235.1	MF6_003686	False
GCA_965217235.1	MF6_003843	False
GCA_965217235.1	MF6_004284	False
GCA_965217235.1	MF6_004284_Cterm	False
GCA_965217235.1	MF6_004285	False
GCA_965217235.1	MF6_004947	False
GCA_965217235.1	MF6_006318	False
GCA_965217245.1	MF6_001079	False
GCA_965217245.1	MF6_002734	False
GCA_965217245.1	MF6_003184	False
GCA_965217245.1	MF6_003684	False
GCA_965217245.1	MF6_003684_Cterm	False
GCA_965217245.1	MF6_003686	False
GCA_965217245.1	MF6_003843	False
GCA_965217245.1	MF6_004284	False
GCA_965217245.1	MF6_004284_Cterm	False
GCA_965217245.1	MF6_004285	False
GCA_965217245.1	MF6_004947	False
GCA_965217245.1	MF6_006318	False
GCA_980298765.1	MF6_001079	False
GCA_980298765.1	MF6_002734	True
GCA_980298765.1	MF6_003184	False
GCA_980298765.1	MF6_003684	False
GCA_980298765.1	MF6_003684_Cterm	False
GCA_980298765.1	MF6_003686	False
GCA_980298765.1	MF6_003843	True
GCA_980298765.1	MF6_004284	False
GCA_980298765.1	MF6_004284_Cterm	False
GCA_980298765.1	MF6_004285	False
GCA_980298765.1	MF6_004947	True
GCA_980298765.1	MF6_006318	True
GCF_000009485.1	MF6_001079	False
GCF_000009485.1	MF6_002734	True
GCF_000009485.1	MF6_003184	False
GCF_000009485.1	MF6_003684	False
GCF_000009485.1	MF6_003684_Cterm	False
GCF_000009485.1	MF6_003686	False
GCF_000009485.1	MF6_003843	True
GCF_000009485.1	MF6_004284	False
GCF_000009485.1	MF6_004284_Cterm	False
GCF_000009485.1	MF6_004285	False
GCF_000009485.1	MF6_004947	True
GCF_000009485.1	MF6_006318	True
GCF_000010545.1	MF6_001079	False
GCF_000010545.1	MF6_002734	True
GCF_000010545.1	MF6_003184	False
GCF_000010545.1	MF6_003684	False
GCF_000010545.1	MF6_003684_Cterm	False
GCF_000010545.1	MF6_003686	False
GCF_000010545.1	MF6_003843	False
GCF_000010545.1	MF6_004284	False
GCF_000010545.1	MF6_004284_Cterm	False
GCF_000010545.1	MF6_004285	False
GCF_000010545.1	MF6_004947	False
GCF_000010545.1	MF6_006318	True
GCF_000011545.1	MF6_001079	False
GCF_000011545.1	MF6_002734	True
GCF_000011545.1	MF6_003184	False
GCF_000011545.1	MF6_003684	False
GCF_000011545.1	MF6_003684_Cterm	False
GCF_000011545.1	MF6_003686	False
GCF_000011545.1	MF6_003843	True
GCF_000011545.1	MF6_004284	False
GCF_000011545.1	MF6_004284_Cterm	False
GCF_000011545.1	MF6_004285	False
GCF_000011545.1	MF6_004947	True
GCF_000011545.1	MF6_006318	True
GCF_000011705.1	MF6_001079	False
GCF_000011705.1	MF6_002734	True
GCF_000011705.1	MF6_003184	False
GCF_000011705.1	MF6_003684	False
GCF_000011705.1	MF6_003684_Cterm	False
GCF_000011705.1	MF6_003686	False
GCF_000011705.1	MF6_003843	True
GCF_000011705.1	MF6_004284	False
GCF_000011705.1	MF6_004284_Cterm	False
GCF_000011705.1	MF6_004285	False
GCF_000011705.1	MF6_004947	True
GCF_000011705.1	MF6_006318	True
GCF_000012365.1	MF6_001079	False
GCF_000012365.1	MF6_002734	True
GCF_000012365.1	MF6_003184	False
GCF_000012365.1	MF6_003684	False
GCF_000012365.1	MF6_003684_Cterm	False
GCF_000012365.1	MF6_003686	False
GCF_000012365.1	MF6_003843	True
GCF_000012365.1	MF6_004284	False
GCF_000012365.1	MF6_004284_Cterm	False
GCF_000012365.1	MF6_004285	False
GCF_000012365.1	MF6_004947	True
GCF_000012365.1	MF6_006318	True
GCF_000012785.1	MF6_001079	False
GCF_000012785.1	MF6_002734	True
GCF_000012785.1	MF6_003184	False
GCF_000012785.1	MF6_003684	False
GCF_000012785.1	MF6_003684_Cterm	False
GCF_000012785.1	MF6_003686	False
GCF_000012785.1	MF6_003843	True
GCF_000012785.1	MF6_004284	False
GCF_000012785.1	MF6_004284_Cterm	False
GCF_000012785.1	MF6_004285	False
GCF_000012785.1	MF6_004947	True
GCF_000012785.1	MF6_006318	True
GCF_000012945.1	MF6_001079	False
GCF_000012945.1	MF6_002734	True
GCF_000012945.1	MF6_003184	False
GCF_000012945.1	MF6_003684	False
GCF_000012945.1	MF6_003684_Cterm	False
GCF_000012945.1	MF6_003686	False
GCF_000012945.1	MF6_003843	True
GCF_000012945.1	MF6_004284	False
GCF_000012945.1	MF6_004284_Cterm	False
