genome	model	candidate	n_genes	genes	loci	reason
GCF_016899425.1	T1SS	GCF_016899425.1_pC3_T1SS_1	2	T1SS_mfp,T1SS_omf	KEDGBJ_06479,KEDGBJ_06480	The quorum of mandatory genes required (3) is not reached: 2/The quorum of genes required (3) is not reached: 2
GCF_016899425.1	T1SS	GCF_016899425.1_pC3_T1SS_2	1	T1SS_omf	KEDGBJ_06113	The quorum of mandatory genes required (3) is not reached: 1/The quorum of genes required (3) is not reached: 1
GCF_016899425.1	T3SS	GCF_016899425.1_pC3_T3SS_3	2	Flg_flgC,Flg_flgB	KEDGBJ_06953,KEDGBJ_06954	There is 2 forbidden genes occurrence(s): Flg_flgC, Flg_flgB/The quorum of mandatory genes required (7) is not reached: 0/The quorum of genes required (7) is not reached: 0
GCF_016899425.1	T6SSi	GCF_016899425.1_pC3_T6SSi_4	3	T6SSi_evpJ,T6SSi_tssI,T6SSi_tssF	KEDGBJ_06036,KEDGBJ_06040,KEDGBJ_06041	The quorum of mandatory genes required (11) is not reached: 3/The quorum of genes required (11) is not reached: 3
GCF_053038975.1	T1SS	GCF_053038975.1_pC3_T1SS_1	2	T1SS_mfp,T1SS_omf	AHCKDM_06157,AHCKDM_06158	The quorum of mandatory genes required (3) is not reached: 2/The quorum of genes required (3) is not reached: 2
GCF_053038975.1	T1SS	GCF_053038975.1_pC3_T1SS_2	2	T1SS_omf,T1SS_mfp	AHCKDM_06366,AHCKDM_06368	The quorum of mandatory genes required (3) is not reached: 2/The quorum of genes required (3) is not reached: 2
GCF_053038975.1	T1SS	GCF_053038975.1_pC3_T1SS_3	1	T1SS_omf	AHCKDM_06872	The quorum of mandatory genes required (3) is not reached: 1/The quorum of genes required (3) is not reached: 1
GCF_053038975.1	T3SS	GCF_053038975.1_pC3_T3SS_4	2	Flg_flgC,Flg_flgB	AHCKDM_06761,AHCKDM_06762	There is 2 forbidden genes occurrence(s): Flg_flgC, Flg_flgB/The quorum of mandatory genes required (7) is not reached: 0/The quorum of genes required (7) is not reached: 0
GCF_053209605.1	T1SS	GCF_053209605.1_pC3_T1SS_1	2	T1SS_mfp,T1SS_omf	GFFINM_06159,GFFINM_06160	The quorum of mandatory genes required (3) is not reached: 2/The quorum of genes required (3) is not reached: 2
GCF_053209605.1	T1SS	GCF_053209605.1_pC3_T1SS_2	2	T1SS_omf,T1SS_mfp	GFFINM_06368,GFFINM_06370	The quorum of mandatory genes required (3) is not reached: 2/The quorum of genes required (3) is not reached: 2
GCF_053209605.1	T1SS	GCF_053209605.1_pC3_T1SS_3	1	T1SS_omf	GFFINM_06875	The quorum of mandatory genes required (3) is not reached: 1/The quorum of genes required (3) is not reached: 1
GCF_053209605.1	T3SS	GCF_053209605.1_pC3_T3SS_4	2	Flg_flgC,Flg_flgB	GFFINM_06764,GFFINM_06765	There is 2 forbidden genes occurrence(s): Flg_flgC, Flg_flgB/The quorum of mandatory genes required (7) is not reached: 0/The quorum of genes required (7) is not reached: 0
GCF_905400185.1	T1SS	GCF_905400185.1_pC3_T1SS_1	2	T1SS_mfp,T1SS_omf	DKPOPA_06519,DKPOPA_06520	The quorum of mandatory genes required (3) is not reached: 2/The quorum of genes required (3) is not reached: 2
GCF_905400185.1	T1SS	GCF_905400185.1_pC3_T1SS_2	1	T1SS_omf	DKPOPA_07177	The quorum of mandatory genes required (3) is not reached: 1/The quorum of genes required (3) is not reached: 1
