accession	strain	parent_accession	parent_strain	bioproject	bioproject_title	assembly_level	n_contigs	reason
GCF_905400155.1	R-75386	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	24	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400195.1	R-75388	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	26	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400215.1	R-75389	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	96	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400225.1	R-75387	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	24	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400235.1	R-75384	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	28	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400265.1	R-75385	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	33	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400275.1	R-75501	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	251	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400285.1	R-75499	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	28	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400295.1	R-75390	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	96	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400305.1	R-75587	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	81	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400315.1	R-75588	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	102	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400325.1	R-75592	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	22	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400335.1	R-75500	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	23	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400345.1	R-75502	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	23	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400355.1	R-75597	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	88	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400365.1	R-75593	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	29	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400375.1	R-75595	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	36	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400385.1	R-75596	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	83	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400395.1	R-75594	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	35	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400405.1	R-75715	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	32	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
GCF_905400415.1	R-75599	GCF_905400185.1	R-12632	PRJEB40633	Transposon mutagenesis of Burkholderia cepacia complex strain R-12632	Chromosome	34	isogenic transposon mutant of the parent strain (Depoorter, Coenye & Vandamme 2021, Appl Environ Microbiol 87:e01169-21, doi:10.1128/AEM.01169-21); inherits the parent BioSample's metadata (Maize rhizosphere, Italy, 1996)
