query	acc	contig	gene	start	end	strand	pident	qcovs	qcovhsp	qstart	qend	bits	evalue	slen	qlen	tier	contig_len	contig_rank	tier_ambiguous
FULL_CFFIHE_03684	MF7	BMF7_NODE_3_len_857810_cov_35_9645_ID_6095484.64	382	409940	418543	+	100.000	100	100	1	2867	5761	0.0	2867	2867	1	857810	3	False
FULL_CFFIHE_03684	MF6	cluster_003_consensus	327	358906	367509	-	100.000	100	100	1	2867	5761	0.0	2867	2867	1	1179882	3	False
FULL_CFFIHE_03684	GCF_905400185.1	NZ_FR989677.1	479	519133	527736	-	99.791	100	100	1	2867	5751	0.0	2867	2867	1	1347483	3	False
FULL_CFFIHE_03684	GCF_016899425.1	NZ_CP045996.1	487	588652	597255	-	99.477	100	100	1	2867	5733	0.0	2867	2867	1	1180421	3	False
FULL_CFFIHE_03684	GCF_053209605.1	NZ_CP199987.1	303	340742	349345	-	97.663	100	100	1	2867	5641	0.0	2867	2867	1	1244416	3	False
FULL_CFFIHE_03684	GCF_053038975.1	NZ_CP199961.1	303	340742	349345	-	97.628	100	100	1	2867	5640	0.0	2867	2867	1	1244422	3	False
FULL_CFFIHE_03684	GCF_045345775.1	NZ_CP174278.1	720	866865	875468	-	94.803	100	100	1	2867	5323	0.0	2867	2867	1	1087154	3	False
FULL_CFFIHE_03684	GCF_040735455.1	NZ_CP136805.1	604	713085	721688	-	94.838	100	100	1	2867	5298	0.0	2867	2867	1	1062595	3	False
FULL_CFFIHE_03684	GCF_030374675.1	NZ_CP126322.1	599	711224	719827	-	94.803	100	100	1	2867	5288	0.0	2867	2867	1	1022242	3	False
FULL_CFFIHE_03684	GCF_007556815.1	NZ_CP041743.1	908	1065377	1073923	+	28.077	88	88	6	2538	658	0.0	2848	2867	4	3016794	2	False
FULL_CFFIHE_03684	GCF_044501195.1	NZ_CP162534.1	528	571140	579644	+	27.842	88	88	8	2538	610	6.61e-175	2834	2867	4	1465948	3	False
FULL_CFFIHE_03684	GCF_012689525.1	NZ_CP051515.1	1653	1792250	1800661	+	25.873	91	91	9	2616	514	1.64e-144	2803	2867	4	3638240	2	False
FULL_CFFIHE_03684	GCF_965118185.1	NZ_OZ221290.1	399	457118	463237	+	26.981	15	15	2084	2514	95.1	7.88e-17	2039	2867	4	4117855	1	False
FULL_CFFIHE_03684	GCF_984669565.1	NZ_OZ480234.1	121	109712	113527	+	25.049	17	17	2064	2540	80.5	1.60e-12	1271	2867	4	154901	4	False
FULL_CFFIHE_03684	GCF_007724625.1	NZ_CP042167.1	84	80171	82738	+	25.049	17	17	2064	2540	80.1	1.90e-12	855	2867	4	239952	4	False
FULL_CFFIHE_03684	GCF_984667665.1	NZ_OZ480170.1	3119	3503503	3509472	+	36.170	5	5	2410	2548	80.5	2.11e-12	1989	2867	4	3532587	2	False
FULL_CFFIHE_03684	GCF_984668265.1	NZ_OZ480209.1	3016	3372747	3378716	+	36.170	5	5	2410	2548	80.5	2.15e-12	1989	2867	4	3401831	2	False
FULL_CFFIHE_03684	GCF_057439935.1	NZ_CM172007.1	3005	3389932	3395901	+	36.170	5	5	2410	2548	80.5	2.15e-12	1989	2867	4	3419015	2	False
FULL_CFFIHE_03684	GCF_057369595.1	NZ_CM170669.1	3005	3389932	3395901	+	36.170	5	5	2410	2548	80.5	2.15e-12	1989	2867	4	3419015	2	False
FULL_CFFIHE_03684	GCF_984669565.1	NZ_OZ480232.1	3010	3397358	3403327	+	36.170	5	5	2410	2548	80.5	2.22e-12	1989	2867	4	3426442	2	False
FULL_CFFIHE_03684	GCF_024381035.2	NZ_CP101525.1	884	954995	960964	+	36.170	5	5	2410	2548	80.5	2.22e-12	1989	2867	4	3525317	2	False
FULL_CFFIHE_03684	GCF_000701165.1	NZ_CP013731.1	1342	1502783	1508752	+	36.170	5	5	2410	2548	80.5	2.22e-12	1989	2867	4	3400736	2	False
FULL_CFFIHE_03684	GCF_025643515.1	NZ_CP102465.1	53	50359	53757	-	25.049	17	17	2064	2540	80.1	2.49e-12	1132	2867	4	240894	4	False
