family	n_genomes	n_members	is_core	is_single_copy_core	genomes	members
GCF_016899425.1|KEDGBJ_00003	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_00003;GCF_053038975.1|AHCKDM_03244;GCF_053209605.1|GFFINM_03250;GCF_905400185.1|DKPOPA_03281;MF6|CFFIHE_03319
GCF_016899425.1|KEDGBJ_00004	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_00004;GCF_053038975.1|AHCKDM_03245;GCF_053209605.1|GFFINM_03251;GCF_905400185.1|DKPOPA_03282;MF6|CFFIHE_03320
GCF_016899425.1|KEDGBJ_00005	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_00005;GCF_053038975.1|AHCKDM_03246;GCF_053209605.1|GFFINM_03252;GCF_905400185.1|DKPOPA_03283;MF6|CFFIHE_03321
GCF_016899425.1|KEDGBJ_00007	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_00007;GCF_053038975.1|AHCKDM_03248;GCF_053209605.1|GFFINM_03254;GCF_905400185.1|DKPOPA_03285;MF6|CFFIHE_03323
GCF_016899425.1|KEDGBJ_00008	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_00008;GCF_053038975.1|AHCKDM_03249;GCF_053209605.1|GFFINM_03255;GCF_905400185.1|DKPOPA_03286;MF6|CFFIHE_03324
GCF_016899425.1|KEDGBJ_00009	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_00009;GCF_053038975.1|AHCKDM_03250;GCF_053209605.1|GFFINM_03256;GCF_905400185.1|DKPOPA_03287;MF6|CFFIHE_03325
GCF_016899425.1|KEDGBJ_00010	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_00010;GCF_053038975.1|AHCKDM_03251;GCF_053209605.1|GFFINM_03257;GCF_905400185.1|DKPOPA_03288;MF6|CFFIHE_03326
GCF_016899425.1|KEDGBJ_00011	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_00011;GCF_053038975.1|AHCKDM_03252;GCF_053209605.1|GFFINM_03258;GCF_905400185.1|DKPOPA_03289;MF6|CFFIHE_03327
GCF_016899425.1|KEDGBJ_00012	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_00012;GCF_053038975.1|AHCKDM_03253;GCF_053209605.1|GFFINM_03259;GCF_905400185.1|DKPOPA_03290;MF6|CFFIHE_03328
GCF_016899425.1|KEDGBJ_00013	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_00013;GCF_053038975.1|AHCKDM_03254;GCF_053209605.1|GFFINM_03260;GCF_905400185.1|DKPOPA_03291;MF6|CFFIHE_03329
