genome	model	system_id	n_genes	wholeness	score	first_pos	last_pos	genes	loci
GCF_016899425.1	Flagellum	GCF_016899425.1_pC3_Flagellum_1	11	1.000	11.000	4	1010	Flg_sctQ_FLG,Flg_sctR_FLG,Flg_sctS_FLG,Flg_sctT_FLG,Flg_sctU_FLG,Flg_sctV_FLG,Flg_flgC,Flg_flgB,Flg_sctN_FLG,Flg_sctJ_FLG,Flg_fliE	KEDGBJ_05958,KEDGBJ_05959,KEDGBJ_05960,KEDGBJ_05961,KEDGBJ_05962,KEDGBJ_05963,KEDGBJ_06953,KEDGBJ_06954,KEDGBJ_06967,KEDGBJ_06970,KEDGBJ_06971
GCF_016899425.1	T5cSS	GCF_016899425.1_pC3_T5cSS_2	1	1.000	1.000	348	348	T5cSS_PF03895	KEDGBJ_06308
GCF_016899425.1	T5cSS	GCF_016899425.1_pC3_T5cSS_3	1	1.000	1.000	372	372	T5cSS_PF03895	KEDGBJ_06332
GCF_016899425.1	T5cSS	GCF_016899425.1_pC3_T5cSS_4	1	1.000	1.000	484	484	T5cSS_PF03895	KEDGBJ_06444
GCF_016899425.1	T5cSS	GCF_016899425.1_pC3_T5cSS_5	1	1.000	1.000	952	952	T5cSS_PF03895	KEDGBJ_06913
GCF_016899425.1	T5cSS	GCF_016899425.1_pC3_T5cSS_6	1	1.000	1.000	967	967	T5cSS_PF03895	KEDGBJ_06928
GCF_016899425.1	Tad	GCF_016899425.1_pC3_Tad_7	13	0.750	8.000	450	464	Tad_flp,Tad_flp,Tad_flp,Tad_tadV,Tad_rcpC,Tad_rcpA,Tad_tadG,Tad_tadE,Tad_tadE,Tad_tadZ,Tad_tadA,Tad_tadB,Tad_tadC	KEDGBJ_06410,KEDGBJ_06411,KEDGBJ_06412,KEDGBJ_06413,KEDGBJ_06415,KEDGBJ_06416,KEDGBJ_06418,KEDGBJ_06419,KEDGBJ_06420,KEDGBJ_06421,KEDGBJ_06422,KEDGBJ_06423,KEDGBJ_06424
GCF_053038975.1	Flagellum	GCF_053038975.1_pC3_Flagellum_1	11	1.000	11.000	949	978	Flg_flgC,Flg_flgB,Flg_sctN_FLG,Flg_sctJ_FLG,Flg_fliE,Flg_sctQ_FLG,Flg_sctR_FLG,Flg_sctS_FLG,Flg_sctT_FLG,Flg_sctU_FLG,Flg_sctV_FLG	AHCKDM_06761,AHCKDM_06762,AHCKDM_06775,AHCKDM_06778,AHCKDM_06779,AHCKDM_06785,AHCKDM_06786,AHCKDM_06787,AHCKDM_06788,AHCKDM_06789,AHCKDM_06790
GCF_053038975.1	T5cSS	GCF_053038975.1_pC3_T5cSS_2	1	1.000	1.000	164	164	T5cSS_PF03895	AHCKDM_05975
GCF_053038975.1	T5cSS	GCF_053038975.1_pC3_T5cSS_3	1	1.000	1.000	182	182	T5cSS_PF03895	AHCKDM_05993
