accession	replicon	contig	length	cds
MF6	chr1	cluster_001_consensus	3592343	3250
MF6	pC3	cluster_003_consensus	1179882	1012
MF7	chr1	BMF7_NODE_2_len_976237_cov_36_3824_ID_6095666.46	976231	
MF7	pC3	BMF7_NODE_3_len_857810_cov_35_9645_ID_6095484.64	857810	
MF7	chr1	BMF7_NODE_4_len_774369_cov_34_0982_ID_6095556.31	774369	
MF7	chr1	BMF7_NODE_5_len_513992_cov_36_785_ID_6095322.47	513992	
MF7	chr1	BMF7_NODE_7_len_344507_cov_35_7877_ID_6095496.52	344507	
MF7	pC3	BMF7_NODE_8_len_318422_cov_40_1587_ID_6095374.3	318422	
MF7	chr1	BMF7_NODE_9_len_277037_cov_39_4247_ID_6095488.35	277037	
MF7	chr1	BMF7_NODE_10_len_263972_cov_38_3003_ID_6095452.18	263971	
MF7	chr1	BMF7_NODE_12_len_216500_cov_44_8759_ID_6095176.13	216555	
MF7	chr1	BMF7_NODE_13_len_207122_cov_36_1576_ID_6094808.57	207126	
GCF_016899425.1	chr1	NZ_CP045994.1	3563380	3221
GCF_016899425.1	pC3	NZ_CP045996.1	1180421	1011
GCF_905400185.1	chr1	NZ_FR989675.1	3575181	3214
GCF_905400185.1	pC3	NZ_FR989677.1	1347483	1173
GCF_053038975.1	chr1	NZ_CP199959.1	3504123	3180
GCF_053038975.1	pC3	NZ_CP199961.1	1244422	1063
GCF_053209605.1	chr1	NZ_CP199985.1	3503982	3186
GCF_053209605.1	pC3	NZ_CP199987.1	1244416	1064
