family	n_genomes	n_members	is_core	is_single_copy_core	genomes	members
GCF_016899425.1|KEDGBJ_05955	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05955;GCF_053038975.1|AHCKDM_06781;GCF_053209605.1|GFFINM_06784;GCF_905400185.1|DKPOPA_07018;MF6|CFFIHE_04209
GCF_016899425.1|KEDGBJ_05956	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05956;GCF_053038975.1|AHCKDM_06783;GCF_053209605.1|GFFINM_06786;GCF_905400185.1|DKPOPA_07019;MF6|CFFIHE_04210
GCF_016899425.1|KEDGBJ_05957	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05957;GCF_053038975.1|AHCKDM_06784;GCF_053209605.1|GFFINM_06787;GCF_905400185.1|DKPOPA_07020;MF6|CFFIHE_04211
GCF_016899425.1|KEDGBJ_05958	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05958;GCF_053038975.1|AHCKDM_06785;GCF_053209605.1|GFFINM_06788;GCF_905400185.1|DKPOPA_07021;MF6|CFFIHE_04212
GCF_016899425.1|KEDGBJ_05959	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05959;GCF_053038975.1|AHCKDM_06786;GCF_053209605.1|GFFINM_06789;GCF_905400185.1|DKPOPA_07022;MF6|CFFIHE_04213
GCF_016899425.1|KEDGBJ_05960	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05960;GCF_053038975.1|AHCKDM_06787;GCF_053209605.1|GFFINM_06790;GCF_905400185.1|DKPOPA_07023;MF6|CFFIHE_04214
GCF_016899425.1|KEDGBJ_05962	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05962;GCF_053038975.1|AHCKDM_06789;GCF_053209605.1|GFFINM_06792;GCF_905400185.1|DKPOPA_07025;MF6|CFFIHE_04216
GCF_016899425.1|KEDGBJ_05963	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05963;GCF_053038975.1|AHCKDM_06790;GCF_053209605.1|GFFINM_06793;GCF_905400185.1|DKPOPA_07026;MF6|CFFIHE_04217
GCF_016899425.1|KEDGBJ_05965	3	3	0	0	GCF_016899425.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05965;GCF_905400185.1|DKPOPA_07028;MF6|CFFIHE_04219
GCF_016899425.1|KEDGBJ_05967	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05967;GCF_053038975.1|AHCKDM_06671;GCF_053209605.1|GFFINM_06674;GCF_905400185.1|DKPOPA_07030;MF6|CFFIHE_04221
GCF_016899425.1|KEDGBJ_05968	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05968;GCF_053038975.1|AHCKDM_06672;GCF_053209605.1|GFFINM_06675;GCF_905400185.1|DKPOPA_07031;MF6|CFFIHE_04222
GCF_016899425.1|KEDGBJ_05969	5	6	1	0	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05969;GCF_053038975.1|AHCKDM_06673;GCF_053209605.1|GFFINM_06676;GCF_905400185.1|DKPOPA_06220;GCF_905400185.1|DKPOPA_07032;MF6|CFFIHE_04223
GCF_016899425.1|KEDGBJ_05970	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05970;GCF_053038975.1|AHCKDM_06674;GCF_053209605.1|GFFINM_06677;GCF_905400185.1|DKPOPA_07033;MF6|CFFIHE_04224
GCF_016899425.1|KEDGBJ_05972	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05972;GCF_053038975.1|AHCKDM_06676;GCF_053209605.1|GFFINM_06679;GCF_905400185.1|DKPOPA_07035;MF6|CFFIHE_04226
GCF_016899425.1|KEDGBJ_05973	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05973;GCF_053038975.1|AHCKDM_06677;GCF_053209605.1|GFFINM_06680;GCF_905400185.1|DKPOPA_07036;MF6|CFFIHE_04227
GCF_016899425.1|KEDGBJ_05974	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05974;GCF_053038975.1|AHCKDM_06678;GCF_053209605.1|GFFINM_06681;GCF_905400185.1|DKPOPA_07037;MF6|CFFIHE_04228
GCF_016899425.1|KEDGBJ_05976	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05976;GCF_053038975.1|AHCKDM_06680;GCF_053209605.1|GFFINM_06683;GCF_905400185.1|DKPOPA_07039;MF6|CFFIHE_04230
GCF_016899425.1|KEDGBJ_05977	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05977;GCF_053038975.1|AHCKDM_06681;GCF_053209605.1|GFFINM_06684;GCF_905400185.1|DKPOPA_07040;MF6|CFFIHE_04231
GCF_016899425.1|KEDGBJ_05978	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05978;GCF_053038975.1|AHCKDM_06682;GCF_053209605.1|GFFINM_06685;GCF_905400185.1|DKPOPA_07041;MF6|CFFIHE_04232
GCF_016899425.1|KEDGBJ_05979	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05979;GCF_053038975.1|AHCKDM_06683;GCF_053209605.1|GFFINM_06686;GCF_905400185.1|DKPOPA_07042;MF6|CFFIHE_04233
GCF_016899425.1|KEDGBJ_05980	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05980;GCF_053038975.1|AHCKDM_06684;GCF_053209605.1|GFFINM_06687;GCF_905400185.1|DKPOPA_07043;MF6|CFFIHE_04234
GCF_016899425.1|KEDGBJ_05982	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05982;GCF_053038975.1|AHCKDM_06686;GCF_053209605.1|GFFINM_06689;GCF_905400185.1|DKPOPA_07045;MF6|CFFIHE_04236
GCF_016899425.1|KEDGBJ_05983	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05983;GCF_053038975.1|AHCKDM_06687;GCF_053209605.1|GFFINM_06690;GCF_905400185.1|DKPOPA_07046;MF6|CFFIHE_04237
GCF_016899425.1|KEDGBJ_05984	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05984;GCF_053038975.1|AHCKDM_06688;GCF_053209605.1|GFFINM_06691;GCF_905400185.1|DKPOPA_07047;MF6|CFFIHE_04238
GCF_016899425.1|KEDGBJ_05985	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05985;GCF_053038975.1|AHCKDM_06689;GCF_053209605.1|GFFINM_06692;GCF_905400185.1|DKPOPA_07048;MF6|CFFIHE_04239
GCF_016899425.1|KEDGBJ_05986	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05986;GCF_053038975.1|AHCKDM_06690;GCF_053209605.1|GFFINM_06693;GCF_905400185.1|DKPOPA_07049;MF6|CFFIHE_04240
GCF_016899425.1|KEDGBJ_05987	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05987;GCF_053038975.1|AHCKDM_06691;GCF_053209605.1|GFFINM_06694;GCF_905400185.1|DKPOPA_07050;MF6|CFFIHE_04241
GCF_016899425.1|KEDGBJ_05988	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05988;GCF_053038975.1|AHCKDM_06692;GCF_053209605.1|GFFINM_06695;GCF_905400185.1|DKPOPA_07051;MF6|CFFIHE_04242
GCF_016899425.1|KEDGBJ_05989	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05989;GCF_053038975.1|AHCKDM_06693;GCF_053209605.1|GFFINM_06696;GCF_905400185.1|DKPOPA_07052;MF6|CFFIHE_04243
GCF_016899425.1|KEDGBJ_05990	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05990;GCF_053038975.1|AHCKDM_06694;GCF_053209605.1|GFFINM_06697;GCF_905400185.1|DKPOPA_07053;MF6|CFFIHE_04244
GCF_016899425.1|KEDGBJ_05991	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05991;GCF_053038975.1|AHCKDM_06695;GCF_053209605.1|GFFINM_06698;GCF_905400185.1|DKPOPA_07054;MF6|CFFIHE_04245
GCF_016899425.1|KEDGBJ_05992	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05992;GCF_053038975.1|AHCKDM_06696;GCF_053209605.1|GFFINM_06699;GCF_905400185.1|DKPOPA_07055;MF6|CFFIHE_04246
GCF_016899425.1|KEDGBJ_05995	5	5	1	1	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GCF_016899425.1|KEDGBJ_05995;GCF_053038975.1|AHCKDM_06699;GCF_053209605.1|GFFINM_06702;GCF_905400185.1|DKPOPA_07058;MF6|CFFIHE_04249
