query	accession	organism	architecture	pC3_present	n_hits_any	n_hits_tier1	best_tier	best_pident	best_qcovs	best_bitscore	best_evalue	best_contig	best_contig_len	best_contig_rank	best_subject_len	best_start	best_end
CT354_CFFIHE_03684	GCA_017356705.2	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCA_017356725.2	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCA_020887275.1	Burkholderia sp. SFA1	4+_large	False	0	0											
CT354_CFFIHE_03684	GCA_024298805.1	Burkholderia sp. FXe9	3_large	True	0	0											
CT354_CFFIHE_03684	GCA_029762415.1	Burkholderia gladioli	2_large	False	0	0											
CT354_CFFIHE_03684	GCA_040954445.1	Burkholderia sp.	2_large	False	0	0											
CT354_CFFIHE_03684	GCA_048918525.1	Burkholderia gladioli	2_large	False	0	0											
CT354_CFFIHE_03684	GCA_051027405.1	Burkholderia stagnalis	2_large	False	0	0											
CT354_CFFIHE_03684	GCA_055387565.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCA_056494915.1	Paraburkholderia caledonica	4+_large	False	0	0											
CT354_CFFIHE_03684	GCA_059696275.1	Burkholderia sp. SJ1	1_large	False	0	0											
CT354_CFFIHE_03684	GCA_964417475.2	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCA_965199415.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCA_965199775.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCA_965217235.1	Burkholderia multivorans	2_large	False	0	0											
CT354_CFFIHE_03684	GCA_965217245.1	Burkholderia multivorans	2_large	False	0	0											
CT354_CFFIHE_03684	GCA_980298765.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000009485.1	Burkholderia cenocepacia J2315	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_000010545.1	Burkholderia multivorans ATCC 17616	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_000011545.1	Burkholderia pseudomallei K96243	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000011705.1	Burkholderia mallei ATCC 23344	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000012365.1	Burkholderia thailandensis E264	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000012785.1	Burkholderia pseudomallei 1710b	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000012945.1	Burkholderia lata	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_000013645.1	Paraburkholderia xenovorans LB400	3_large	False	0	0											
CT354_CFFIHE_03684	GCF_000015465.1	Burkholderia mallei SAVP1	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000015605.1	Burkholderia mallei NCTC 10229	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000015625.1	Burkholderia mallei NCTC 10247	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000015905.1	Burkholderia pseudomallei 668	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000015925.1	Burkholderia pseudomallei 1106a	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000016205.1	Burkholderia vietnamiensis G4	4+_large	True	0	0											
CT354_CFFIHE_03684	GCF_000018505.1	Burkholderia multivorans ATCC 17616	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_000019505.1	Burkholderia orbicola MC0-3	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_000019925.1	Burkholderia ambifaria MC40-6	4+_large	True	0	0											
CT354_CFFIHE_03684	GCF_000020045.1	Paraburkholderia phymatum STM815	4+_large	False	0	0											
CT354_CFFIHE_03684	GCF_000020125.1	Paraburkholderia phytofirmans PsJN	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000022645.2	Burkholderia glumae BGR1	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000092885.1	Paraburkholderia atlantica	4+_large	False	0	0											
CT354_CFFIHE_03684	GCF_000194745.1	Burkholderia gladioli BSR3	3_large	False	0	0											
CT354_CFFIHE_03684	GCF_000198775.1	Mycetohabitans rhizoxinica HKI 454	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000203915.1	Burkholderia ambifaria AMMD	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_000203955.1	Burkholderia cenocepacia HI2424	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_000236065.1	Burkholderia sp. YI23	4+_large	False	0	0											
CT354_CFFIHE_03684	GCF_000236215.2	Burkholderia cenocepacia H111	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_000260515.1	Burkholderia pseudomallei 1026b	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000262695.1	Burkholderia sp. KJ006	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_000292915.1	Burkholderia cepacia GG4	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000294635.1	Burkholderia pseudomallei BPC006	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000300095.1	Paraburkholderia phenoliruptrix BR3459a	3_large	False	0	0											
CT354_CFFIHE_03684	GCF_000385525.1	Burkholderia thailandensis MSMB121	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000402035.1	Caballeronia insecticola	4+_large	False	0	0											
CT354_CFFIHE_03684	GCF_000439695.1	Burkholderia pseudomallei MSHR305	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000494855.1	Burkholderia pseudomallei NCTC 13179	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000511895.1	Burkholderia pseudomallei NCTC 13178	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000511915.1	Burkholderia pseudomallei NAU20B-16	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000520895.1	Burkholderia pseudomallei MSHR511	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000521645.1	Burkholderia pseudomallei MSHR146	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000522545.2	Paraburkholderia caribensis MBA4	3_large	False	0	0											
CT354_CFFIHE_03684	GCF_000567905.1	Burkholderia thailandensis H0587	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000567925.1	Burkholderia thailandensis 2002721723	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000567945.1	Burkholderia thailandensis E444	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000583835.1	Burkholderia pseudomallei MSHR520	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000701165.1	Burkholderia cepacia JBK9	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_000705535.2	Burkholderia seminalis	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_000706745.1	Burkholderia thailandensis USAMRU Malaysia #20	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000755725.1	Burkholderia cenocepacia	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_000755765.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000755785.1	Burkholderia mallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000755805.1	Burkholderia cepacia	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_000755825.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000755845.1	Burkholderia mallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000755865.1	Burkholderia mallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000755885.1	Burkholderia mallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000755905.1	Burkholderia pseudomallei HBPUB10303a	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000755925.1	Burkholderia pseudomallei HBPUB10134a	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000755945.1	Burkholderia pseudomallei MSHR5858	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000755965.1	Burkholderia pseudomallei MSHR5848	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000755985.1	Burkholderia oklahomensis	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000756005.1	Burkholderia multivorans	3_large	True	0	0											
CT354_CFFIHE_03684	GCF_000756025.1	Burkholderia mallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000756045.1	Paraburkholderia xenovorans LB400	3_large	False	0	0											
CT354_CFFIHE_03684	GCF_000756065.1	Burkholderia pseudomallei MSHR5855	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000756085.1	Burkholderia pseudomallei	2_large	False	0	0											
CT354_CFFIHE_03684	GCF_000756125.1	Burkholderia pseudomallei	2_large	False	0	0											
