gene_set	family	cog_id	cog_categories	kos	n_members	n_genomes	genomes	product
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_05955				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Two component transcriptional regulator, winged helix family
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_05956			02406	5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Flagellin
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_05957				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Flagellar motor switch protein FliN-like C-terminal domain-containing protein
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_05958				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Flagellar motor switch protein FliN
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_05959			02419	5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	flagellar type III secretion system pore protein FliP
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_05960			02420	5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	flagellar biosynthesis protein FliQ
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_05962			02401	5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Flagellar type III secretion system protein FlhB
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_05963			02400	5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Flagellar type III secretion system protein FlhA
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_05965				3	3	GCF_016899425.1;GCF_905400185.1;MF6	hypothetical protein
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_05967				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	3-hydroxybutyryl-CoA dehydrogenase
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_05968	COG0183	I		5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	beta-ketothiolase BktB
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_05969			00311	6	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Electron transfer flavoprotein-ubiquinone oxidoreductase
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_05970	COG1960	I	20035	5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Acyl-CoA dehydrogenase
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_05972				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Long-chain-fatty-acid--CoA ligase
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_05973				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Transcriptional regulator, AraC family
pC3_clade_core/genus_derived	GCF_016899425.1|KEDGBJ_05974				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	histidine kinase
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_05976				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Beta-alanine--pyruvate aminotransferase
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_05977				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	MFS transporter
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_05978				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	GNAT family N-acetyltransferase
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_05979				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Serine hydrolase
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_05980				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	MBL fold metallo-hydrolase
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_05982				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Amino acid adenylation domain protein
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_05983				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	hypothetical protein
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_05984				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Transcription factor jumonji
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_05985				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Zn-dependent hydrolase of the beta-lactamase fold-like protein
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_05986				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	MbtH family NRPS accessory protein
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_05987				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Alpha/beta fold hydrolase
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_05988			21023	5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Bifunctional diguanylate cyclase/phosphodiesterase
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_05989				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Porin
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_05990				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Major facilitator superfamily MFS_1
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_05991	COG0329	EM		5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	4-hydroxy-tetrahydrodipicolinate synthase
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_05992	COG0583	K		5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	LysR family transcriptional regulator
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_05995	COG0790	R		5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Sel1 repeat family protein
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_05996				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	TetR/AcrR family transcriptional regulator
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_05997				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Iron transporter
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_05998				3	3	GCF_016899425.1;GCF_905400185.1;MF6	protein-glutamate methylesterase
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_05999				3	3	GCF_016899425.1;GCF_905400185.1;MF6	histidine kinase
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06000				3	3	GCF_016899425.1;GCF_905400185.1;MF6	hypothetical protein
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06002				3	3	GCF_016899425.1;GCF_905400185.1;MF6	Nramp family divalent metal transporter
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06003			07217	5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Catalase
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06005				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	chaperonin GroEL
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06006			04078	5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Co-chaperonin GroES
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06007				3	3	GCF_016899425.1;GCF_905400185.1;MF6	(pseudo) hypothetical protein
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06008				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	Preprotein translocase subunit SecA
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06009				3	3	GCF_016899425.1;GCF_905400185.1;MF6	CoA ester lyase
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06010				3	3	GCF_016899425.1;GCF_905400185.1;MF6	MFS transporter
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06011				3	3	GCF_016899425.1;GCF_905400185.1;MF6	FAS1-like dehydratase domain-containing protein
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06012				3	3	GCF_016899425.1;GCF_905400185.1;MF6	CoA transferase
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06013				3	3	GCF_016899425.1;GCF_905400185.1;MF6	Transcriptional regulator, LysR family
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06014				3	3	GCF_016899425.1;GCF_905400185.1;MF6	Ferredoxin
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06015				3	3	GCF_016899425.1;GCF_905400185.1;MF6	Sodium/sulphate symporter
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06016			15060	5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	2Fe-2S ferredoxin
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06017				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	DNA-binding protein
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06018				3	3	GCF_016899425.1;GCF_905400185.1;MF6	N-carbamoyl-L-amino acid hydrolase
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06020				3	3	GCF_016899425.1;GCF_905400185.1;MF6	Dihydroorotate oxidase B, electron transfer subunit
pC3_clade_core/clade_specific	GCF_016899425.1|KEDGBJ_06021				5	5	GCF_016899425.1;GCF_053038975.1;GCF_053209605.1;GCF_905400185.1;MF6	MFS transporter
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06022				3	3	GCF_016899425.1;GCF_905400185.1;MF6	HPt domain-containing protein
pC3_clade_accessory	GCF_016899425.1|KEDGBJ_06023				3	3	GCF_016899425.1;GCF_905400185.1;MF6	Porin Gram-negative type
