locus	accession	best_contig_rank	best_contig_len
MF6_001079	GCF_001718575.1	1	3756401
MF6_001079	GCF_016899425.1	1	3563380
MF6_001079	GCF_905400185.1	1	3575181
MF6_001079	MF6	1	3592343
MF6_001079	MF7	2	976231
MF6_002734	GCA_017356705.2	1	7387439
MF6_002734	GCA_017356725.2	1	7387707
MF6_002734	GCA_024298805.1	1	3988163
MF6_002734	GCA_029762415.1	1	4187756
MF6_002734	GCA_048918525.1	1	4163892
MF6_002734	GCA_055387565.1	1	4080545
MF6_002734	GCA_964417475.2	1	4123479
MF6_002734	GCA_965199415.1	1	4090989
MF6_002734	GCA_965199775.1	1	4100456
MF6_002734	GCA_980298765.1	1	3910731
MF6_002734	GCF_000009485.1	1	3870082
MF6_002734	GCF_000010545.1	1	3448421
MF6_002734	GCF_000011545.1	1	4074542
MF6_002734	GCF_000011705.1	1	3510148
MF6_002734	GCF_000012365.1	1	3809201
MF6_002734	GCF_000012785.1	1	4126292
MF6_002734	GCF_000012945.1	1	3694126
MF6_002734	GCF_000015465.1	1	3497479
MF6_002734	GCF_000015605.1	1	3458208
MF6_002734	GCF_000015625.1	1	3495687
MF6_002734	GCF_000015905.1	1	3912947
MF6_002734	GCF_000015925.1	1	3988455
MF6_002734	GCF_000016205.1	1	3652814
MF6_002734	GCF_000018505.1	1	3448466
MF6_002734	GCF_000019505.1	1	3532883
MF6_002734	GCF_000019925.1	1	3443583
MF6_002734	GCF_000022645.2	1	3906507
MF6_002734	GCF_000194745.1	1	4413616
MF6_002734	GCF_000203915.1	1	3556545
MF6_002734	GCF_000203955.1	1	3483902
MF6_002734	GCF_000236215.2	1	3572953
MF6_002734	GCF_000260515.1	1	4092668
MF6_002734	GCF_000262695.1	1	3145156
MF6_002734	GCF_000292915.1	1	3463655
MF6_002734	GCF_000294635.1	1	4001777
MF6_002734	GCF_000385525.1	1	3967794
MF6_002734	GCF_000439695.1	1	4054155
MF6_002734	GCF_000494855.1	1	3997089
MF6_002734	GCF_000511895.1	1	4029451
MF6_002734	GCF_000511915.1	1	4067895
MF6_002734	GCF_000520895.1	1	4067942
MF6_002734	GCF_000521645.1	1	4067985
MF6_002734	GCF_000567905.1	1	3827433
MF6_002734	GCF_000567925.1	1	3662415
MF6_002734	GCF_000567945.1	1	3799595
MF6_002734	GCF_000583835.1	1	4059501
MF6_002734	GCF_000701165.1	1	3790084
MF6_002734	GCF_000705535.2	1	3561262
MF6_002734	GCF_000706745.1	1	3862646
MF6_002734	GCF_000755725.1	1	3668832
MF6_002734	GCF_000755765.1	1	4056147
MF6_002734	GCF_000755785.1	1	3510187
