accession	locus	best_pident	best_qcov	tier1_carrier
GCA_036870995.1	MF6_003686	0.000	0.0	False
GCA_038448705.1	MF6_003686	0.000	0.0	False
GCA_050916205.1	MF6_003686	0.000	0.0	False
GCA_903231545.1	MF6_003686	0.000	0.0	False
GCF_000182585.2	MF6_003686	0.000	0.0	False
GCF_000193475.1	MF6_003686	0.000	0.0	False
GCF_000497165.1	MF6_003686	0.000	0.0	False
GCF_000770415.1	MF6_003686	0.000	0.0	False
GCF_000770435.1	MF6_003686	0.000	0.0	False
GCF_000770475.1	MF6_003686	0.000	0.0	False
GCF_000775165.1	MF6_003686	0.000	0.0	False
GCF_000970935.1	MF6_003686	0.000	0.0	False
GCF_000970955.1	MF6_003686	0.000	0.0	False
GCF_001275585.1	MF6_003686	0.000	0.0	False
GCF_001462435.1	MF6_003686	0.000	0.0	False
GCF_001546925.1	MF6_003686	0.000	0.0	False
GCF_001546975.1	MF6_003686	0.000	0.0	False
GCF_001547525.1	MF6_003686	90.217	76.0	True
GCF_001636095.1	MF6_003686	0.000	0.0	False
GCF_001974745.1	MF6_003686	0.000	0.0	False
GCF_001988975.1	MF6_003686	0.000	0.0	False
GCF_001999805.1	MF6_003686	0.000	0.0	False
GCF_001999925.1	MF6_003686	0.000	0.0	False
GCF_002083015.1	MF6_003686	0.000	0.0	False
GCF_002110925.1	MF6_003686	0.000	0.0	False
GCF_002110985.1	MF6_003686	0.000	0.0	False
GCF_002111065.1	MF6_003686	0.000	0.0	False
GCF_002111185.1	MF6_003686	0.000	0.0	False
GCF_002220305.1	MF6_003686	0.000	0.0	False
GCF_002924455.1	MF6_003686	0.000	0.0	False
GCF_003546995.3	MF6_003686	0.000	0.0	False
GCF_003852635.1	MF6_003686	0.000	0.0	False
GCF_003933015.1	MF6_003686	0.000	0.0	False
GCF_003933025.1	MF6_003686	0.000	0.0	False
GCF_003933035.1	MF6_003686	0.000	0.0	False
GCF_003933045.1	MF6_003686	0.000	0.0	False
GCF_004524855.1	MF6_003686	0.000	0.0	False
GCF_006542565.1	MF6_003686	0.000	0.0	False
GCF_006542585.1	MF6_003686	0.000	0.0	False
GCF_012272655.1	MF6_003686	0.000	0.0	False
GCF_012273415.1	MF6_003686	0.000	0.0	False
GCF_013349105.1	MF6_003686	0.000	0.0	False
GCF_013390345.1	MF6_003686	0.000	0.0	False
GCF_017301875.1	MF6_003686	0.000	0.0	False
GCF_017301895.1	MF6_003686	0.000	0.0	False
GCF_017301905.1	MF6_003686	0.000	0.0	False
GCF_017742755.1	MF6_003686	0.000	0.0	False
GCF_018274335.1	MF6_003686	0.000	0.0	False
GCF_018417615.1	MF6_003686	100.000	100.0	True
GCF_019843765.1	MF6_003686	0.000	0.0	False
GCF_020809565.1	MF6_003686	0.000	0.0	False
GCF_022870505.1	MF6_003686	0.000	0.0	False
GCF_022878925.1	MF6_003686	0.000	0.0	False
GCF_022879555.1	MF6_003686	0.000	0.0	False
GCF_023373705.1	MF6_003686	0.000	0.0	False
GCF_023374555.1	MF6_003686	0.000	0.0	False
GCF_023383415.1	MF6_003686	0.000	0.0	False
GCF_023383425.1	MF6_003686	0.000	0.0	False
GCF_023383465.1	MF6_003686	0.000	0.0	False
GCF_023383485.1	MF6_003686	0.000	0.0	False
GCF_023383515.1	MF6_003686	0.000	0.0	False
GCF_023704255.1	MF6_003686	0.000	0.0	False
GCF_023895935.1	MF6_003686	0.000	0.0	False
GCF_023895995.1	MF6_003686	0.000	0.0	False
GCF_023896015.1	MF6_003686	0.000	0.0	False
GCF_023896025.1	MF6_003686	0.000	0.0	False
GCF_023896055.1	MF6_003686	0.000	0.0	False
GCF_023896075.1	MF6_003686	0.000	0.0	False
GCF_023896095.1	MF6_003686	0.000	0.0	False
GCF_023896115.1	MF6_003686	0.000	0.0	False
GCF_023896135.1	MF6_003686	0.000	0.0	False
GCF_023896155.1	MF6_003686	0.000	0.0	False
GCF_023896175.1	MF6_003686	0.000	0.0	False
GCF_023896195.1	MF6_003686	0.000	0.0	False
GCF_023896215.1	MF6_003686	0.000	0.0	False
GCF_023896235.1	MF6_003686	0.000	0.0	False
GCF_023896255.1	MF6_003686	0.000	0.0	False
GCF_023896295.1	MF6_003686	0.000	0.0	False
GCF_023896315.1	MF6_003686	0.000	0.0	False
GCF_023896835.1	MF6_003686	0.000	0.0	False
GCF_023896855.1	MF6_003686	0.000	0.0	False
GCF_023924265.1	MF6_003686	0.000	0.0	False
GCF_023924285.1	MF6_003686	0.000	0.0	False
GCF_023924305.1	MF6_003686	0.000	0.0	False
GCF_025643535.1	MF6_003686	40.000	75.0	False
GCF_026314965.1	MF6_003686	0.000	0.0	False
GCF_026314985.1	MF6_003686	0.000	0.0	False
GCF_026683795.2	MF6_003686	0.000	0.0	False
GCF_028462345.2	MF6_003686	0.000	0.0	False
GCF_030064565.1	MF6_003686	0.000	0.0	False
GCF_033675345.1	MF6_003686	0.000	0.0	False
GCF_038447715.1	MF6_003686	0.000	0.0	False
GCF_038447785.1	MF6_003686	0.000	0.0	False
GCF_038448065.1	MF6_003686	0.000	0.0	False
GCF_038448955.1	MF6_003686	0.000	0.0	False
GCF_040148685.1	MF6_003686	0.000	0.0	False
GCF_048914405.1	MF6_003686	0.000	0.0	False
GCF_050858985.1	MF6_003686	0.000	0.0	False
GCF_050955445.1	MF6_003686	0.000	0.0	False
GCF_052146275.1	MF6_003686	0.000	0.0	False
GCF_057005415.2	MF6_003686	0.000	0.0	False
GCF_900240005.1	MF6_003686	50.980	43.0	False
GCF_905400155.1	MF6_003686	100.000	100.0	True
GCF_905400195.1	MF6_003686	100.000	100.0	True
GCF_905400215.1	MF6_003686	100.000	100.0	True
GCF_905400225.1	MF6_003686	100.000	100.0	True
GCF_905400235.1	MF6_003686	100.000	100.0	True
GCF_905400265.1	MF6_003686	100.000	100.0	True
GCF_905400275.1	MF6_003686	100.000	100.0	True
GCF_905400285.1	MF6_003686	100.000	100.0	True
GCF_905400295.1	MF6_003686	100.000	100.0	True
GCF_905400305.1	MF6_003686	100.000	100.0	True
GCF_905400315.1	MF6_003686	100.000	100.0	True
GCF_905400325.1	MF6_003686	100.000	100.0	True
GCF_905400335.1	MF6_003686	100.000	100.0	True
GCF_905400345.1	MF6_003686	100.000	100.0	True
GCF_905400355.1	MF6_003686	100.000	100.0	True
GCF_905400365.1	MF6_003686	100.000	100.0	True
GCF_905400375.1	MF6_003686	100.000	100.0	True
GCF_905400385.1	MF6_003686	100.000	100.0	True
GCF_905400395.1	MF6_003686	100.000	100.0	True
GCF_905400405.1	MF6_003686	100.000	100.0	True
GCF_905400415.1	MF6_003686	100.000	100.0	True
GCF_905400425.1	MF6_003686	100.000	100.0	True
GCF_905400435.1	MF6_003686	100.000	100.0	True
GCF_905400445.1	MF6_003686	100.000	100.0	True
GCF_905400455.1	MF6_003686	100.000	100.0	True
GCF_905400465.1	MF6_003686	100.000	100.0	True
GCF_905400475.1	MF6_003686	100.000	100.0	True
GCF_905400485.1	MF6_003686	100.000	100.0	True
GCF_905400495.1	MF6_003686	100.000	100.0	True
GCF_905400505.1	MF6_003686	100.000	100.0	True
GCF_905400515.1	MF6_003686	100.000	100.0	True
GCF_905400525.1	MF6_003686	100.000	100.0	True
GCF_905400535.1	MF6_003686	100.000	100.0	True
GCF_905400545.1	MF6_003686	100.000	100.0	True
GCF_905400555.1	MF6_003686	100.000	100.0	True
GCF_905400565.1	MF6_003686	100.000	100.0	True
GCF_905400575.1	MF6_003686	100.000	100.0	True
GCF_965118125.1	MF6_003686	0.000	0.0	False
MF6	MF6_003686	100.000	100.0	True
MF7	MF6_003686	100.000	100.0	True
