Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
genomes/MF7.fna	MF6.fna	100.00	89.07	99.25	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1	cluster_001_consensus
genomes/GCF_016899425.1.fna	MF6.fna	99.71	97.23	96.59	NZ_CP045994.1	cluster_001_consensus
genomes/GCF_905400185.1.fna	MF6.fna	99.50	92.66	96.41	NZ_FR989675.1	cluster_001_consensus
genomes/GCF_053038975.1.fna	MF6.fna	96.14	84.34	82.32	NZ_CP199959.1	cluster_001_consensus
genomes/GCF_053209605.1.fna	MF6.fna	96.11	84.41	82.36	NZ_CP199985.1	cluster_001_consensus
genomes/GCF_003966315.1.fna	MF6.fna	95.32	76.35	78.68	NZ_CP034545.1	cluster_001_consensus
genomes/GCF_001718515.1.fna	MF6.fna	94.87	81.26	65.97	NZ_CP013397.1	cluster_001_consensus
genomes/GCF_014211915.1.fna	MF6.fna	94.65	76.87	75.00	NZ_CP060039.1	cluster_001_consensus
genomes/GCF_003076415.1.fna	MF6.fna	94.65	77.69	70.41	NZ_CP021067.1	cluster_001_consensus
genomes/GCF_000203955.1.fna	MF6.fna	94.63	75.11	74.20	NC_008542.1	cluster_001_consensus
genomes/GCF_000019505.1.fna	MF6.fna	94.63	74.05	75.70	NC_010508.1	cluster_001_consensus
genomes/GCF_040735455.1.fna	MF6.fna	94.53	79.39	77.19	NZ_CP136803.1	cluster_001_consensus
genomes/GCF_001999825.1.fna	MF6.fna	94.53	78.85	74.78	NZ_CP019670.1	cluster_001_consensus
genomes/GCF_021535065.1.fna	MF6.fna	94.51	71.89	74.79	NZ_CP091012.1	cluster_001_consensus
genomes/GCF_002007585.1.fna	MF6.fna	94.51	75.34	74.05	NZ_CP017238.1	cluster_001_consensus
genomes/GCF_001999785.1.fna	MF6.fna	94.51	78.79	75.78	NZ_CP019668.1	cluster_001_consensus
genomes/GCF_039728355.1.fna	MF6.fna	94.50	67.41	71.49	NZ_CP155787.1	cluster_001_consensus
genomes/GCF_018228625.1.fna	MF6.fna	94.50	68.65	71.69	NZ_CP073702.1	cluster_001_consensus
genomes/GCF_001606115.1.fna	MF6.fna	94.50	69.82	72.97	NZ_CP015033.1	cluster_001_consensus
genomes/GCF_037101275.1.fna	MF6.fna	94.41	77.19	75.37	NZ_AP029051.1	cluster_001_consensus
genomes/GCF_904865725.1.fna	MF6.fna	94.41	70.81	72.13	NZ_LR890523.1	cluster_001_consensus
genomes/GCF_000755805.1.fna	MF6.fna	94.39	69.13	72.23	NZ_CP007787.1	cluster_001_consensus
