accession	msa_md5
GCA_017356705.2	4648932a064b2374bb3aebab303cc884
GCA_017356725.2	4648932a064b2374bb3aebab303cc884
GCA_020887275.1	a2cf4f7943fecbf395424dd1251f98c6
GCA_024298805.1	70a894c7fd7d07a13d5058ae5c16360b
GCA_036870995.1	af9136972c500b8ccc680128692b9775
GCA_038448705.1	386b5458253fa9deca5bbd52f1102825
GCA_040954445.1	9cdee55debfe777ff8abbeda1ab5b52c
GCA_048918525.1	a9b2758699961014647d7dea5f7b4de9
GCA_050916205.1	3cc1b4aeb7ff28a9ae9af797c3395ab8
GCA_051027405.1	169518aafb3a548f11b52f6e1b8654ea
GCA_055387565.1	9f946bccd1422caa0050edc40e30237e
GCA_056494915.1	8ad9672b8aa05b9797c9b1bf2d43e1b8
GCA_903231545.1	986e997794ca0adefa059ba4267962d6
GCA_964417475.2	1900b6d28fcc121fef8fb72798841cec
GCA_965199415.1	dabfd332940617c9546f24360bb97ba5
GCA_965199775.1	370a3d0348fa2f07cf816d516d6924c7
GCA_965217235.1	723948df450d6efba25637e47d26c14b
GCA_965217245.1	d8d1441911341f159c8f6bf9c8927def
GCA_980298765.1	f1d3f34f69076bbd3d0561ff2ff7dfa3
GCF_000182585.2	10d52327a637d95411ce2a50c19876cf
GCF_000193475.1	c9c26c2d000c4a08f2e928a37d87e348
GCF_000260515.1	370a3d0348fa2f07cf816d516d6924c7
GCF_000262695.1	2d73c0fa13a2928de3189f79638597bc
GCF_000292915.1	4a38a3f484b09b7d32c31a0ce934a99a
GCF_000294635.1	4b327842f45454378d28a5bd3efe42ab
GCF_000300095.1	80b68ae03dcd19b84935c278ec7996b7
GCF_000385525.1	8062bc088350c3cc341f97f9b6937ecf
GCF_000439695.1	b6303fc09c95bf118d973c05346056d4
GCF_000494855.1	1840400b86e3d8884e1523a8e2ef1f5b
GCF_000497165.1	31e3150e9d48f60ef25f5d9636cdf018
GCF_000511895.1	9bf68c8e2ae821c44999328d8a974967
GCF_000511915.1	290bd160ed3b4c2c0ab9bf3d33c1ddd9
GCF_000520895.1	290bd160ed3b4c2c0ab9bf3d33c1ddd9
GCF_000521645.1	290bd160ed3b4c2c0ab9bf3d33c1ddd9
GCF_000522545.2	710dbd4051e36fb6b7e5c988196da6ad
GCF_000567905.1	0ef57130123458d9c216dd4b32f809a8
GCF_000567925.1	cfa4ff0ae215c9e94c92b3a6816e12ab
GCF_000567945.1	3ec70c1df6d9ba5c2204437b1e0b6439
GCF_000583835.1	b6303fc09c95bf118d973c05346056d4
GCF_000701165.1	92a8454f0ac32260a9816b2190fe3bf8
GCF_000705535.2	7434c631607247ebd10bba42980fcc17
GCF_000755725.1	57f1530f75d19fa486387c7e9433f865
GCF_000755765.1	b6303fc09c95bf118d973c05346056d4
GCF_000755785.1	aad8b3d1c0d9c3638f6c5f5c490a9b36
GCF_000755805.1	a62d6739e04b4f840173c3612d69d868
GCF_000755845.1	aad8b3d1c0d9c3638f6c5f5c490a9b36
GCF_000755865.1	aad8b3d1c0d9c3638f6c5f5c490a9b36
GCF_000755885.1	aad8b3d1c0d9c3638f6c5f5c490a9b36
GCF_000755905.1	370a3d0348fa2f07cf816d516d6924c7
GCF_000755925.1	370a3d0348fa2f07cf816d516d6924c7
GCF_000755945.1	e62803385053d84e27b3e95a8bb7c46f
GCF_000755965.1	4b327842f45454378d28a5bd3efe42ab
GCF_000755985.1	35d0059351cd38405b30fc3df5536f2f
GCF_000756005.1	55161bcb1de75184c89eae2d85f93c64
GCF_000756065.1	4b327842f45454378d28a5bd3efe42ab
GCF_000756145.1	6a2714f0ec36635f404838cd2249d3f1
GCF_000764575.1	370a3d0348fa2f07cf816d516d6924c7
GCF_000764595.1	e940a81ab5b184031561c97f8026ca86
GCF_000764955.1	163ffdfe144f978d379f78d517c7448e
GCF_000765375.1	f65dbedc55107d33ffb2736b768110c1
GCF_000770395.1	370a3d0348fa2f07cf816d516d6924c7
GCF_000770415.1	370a3d0348fa2f07cf816d516d6924c7
GCF_000770435.1	370a3d0348fa2f07cf816d516d6924c7
GCF_000770455.1	4b327842f45454378d28a5bd3efe42ab
GCF_000770475.1	4b327842f45454378d28a5bd3efe42ab
GCF_000770495.1	63cb4ef03f565a1347c161755f760ae4
GCF_000770515.1	c580628f0af2ed0b91abf4c84f7e7594
GCF_000770535.1	4b327842f45454378d28a5bd3efe42ab
GCF_000770565.1	370a3d0348fa2f07cf816d516d6924c7
GCF_000775165.1	48f21a256a87a6b982dd8acea8c9e2d6
GCF_000808035.2	3ec70c1df6d9ba5c2204437b1e0b6439
GCF_000828875.1	12ef608f49e1a8b23b05e8f43f78283a
GCF_000953095.1	4b327842f45454378d28a5bd3efe42ab
GCF_000954175.1	370a3d0348fa2f07cf816d516d6924c7
GCF_000959125.1	370a3d0348fa2f07cf816d516d6924c7
GCF_000959145.1	8314e0533c293e96e2cf2a3256413439
GCF_000959165.1	dd5f77a62a94c3ebdbd87e167e468095
GCF_000959185.1	0bc460e86ad25ae948fd82581e704ac6
GCF_000959205.1	370a3d0348fa2f07cf816d516d6924c7
GCF_000959265.1	b5407562c26b6f5fe091a07de92ca410
GCF_000959285.1	370a3d0348fa2f07cf816d516d6924c7
GCF_000959305.1	4b327842f45454378d28a5bd3efe42ab
GCF_000959325.1	ea4cc4201236a03be6bf9d246f952da0
GCF_000959345.1	14cc562f44773c36bcb15dd722df9ba5
GCF_000959365.1	bae74bda70e8edfa279e42ad72c4bed1
GCF_000959405.1	aad8b3d1c0d9c3638f6c5f5c490a9b36
GCF_000959445.1	482eb7fb19e2d8ae31d7e44c54046111
GCF_000959465.1	aad8b3d1c0d9c3638f6c5f5c490a9b36
GCF_000959505.1	31e3150e9d48f60ef25f5d9636cdf018
GCF_000959525.1	d145110393282c1b698f4e9065ff7f29
GCF_000959545.1	7c3c6b384893ecdb94a36c3997f41c9c
GCF_000959605.1	cd1b54121dbdd594efd6438b453c7410
GCF_000959725.1	7681a9a3e348d9d353cf4035c8fb042b
GCF_000960995.1	ce3610e950dd6f845e5d0e06b34d205e
GCF_000961515.1	eb0dd348f0dd0c1d507234c3de55687c
GCF_000970935.1	8e15a1ccb0e95051447b12ac532dd375
GCF_000970955.1	4b327842f45454378d28a5bd3efe42ab
GCF_000974835.2	31e3150e9d48f60ef25f5d9636cdf018
GCF_001028665.1	a2d5056e3b901dc309d93a2fa975939e
GCF_001029145.1	f7b4d981b46a3e38fff48dcf18f9d8f3
GCF_001275585.1	611a7c7fcd45ccb8c15478d2fdf8324c
GCF_001277875.1	370a3d0348fa2f07cf816d516d6924c7
GCF_001277895.1	370a3d0348fa2f07cf816d516d6924c7
GCF_001277975.1	370a3d0348fa2f07cf816d516d6924c7
GCF_001293045.1	bd9fc1ef6bd161bdfb1dac6379e8a8c8
GCF_001318245.1	370a3d0348fa2f07cf816d516d6924c7
GCF_001411495.1	0e5365064db0a31bc26ee718e524cafc
GCF_001449005.1	219822ea454aab3fa0326577ec905f68
GCF_001462435.1	8062bc088350c3cc341f97f9b6937ecf
GCF_001484665.1	11f45bf23cec457c10eb174f419b7901
GCF_001513745.1	ea4cc4201236a03be6bf9d246f952da0
GCF_001522105.2	35d0059351cd38405b30fc3df5536f2f
GCF_001522135.2	88c5600badfcb2574654b4e9335cebc8
GCF_001522585.2	9653f6024103892def3c2033f59921a9
GCF_001522635.2	751ecc0d42a38563a33d7fd2bcd43a1f
GCF_001523745.2	2f56fc5ea83f2e980b19e0a5f7ad7d38
GCF_001523915.2	7a88c00ac0ba189f09487ff0db80029a
GCF_001524445.2	cdd93141911591f3f656a39b61c68347
GCF_001524625.2	8f40ba0d0f0c4e01a188c320a69cea90
GCF_001524645.2	3159a2a75c00d00883225c008f7afa35
GCF_001532025.2	7ecffca10e9f98eda9510fb9ab8b6dcf
GCF_001546925.1	360dec4e616ef22f394d8240d4b563a1
GCF_001546975.1	2cf8b83e29e1cfabd246a6ff105dfd39
GCF_001547525.1	290e983b64d15c6d4d8ad2bf1a12847e
GCF_001557535.2	d7e844bcaea006b7689f01b04b4dece1
GCF_001577465.1	d6f86edb6eff63bb28d4ae1d7f7cdbce
GCF_001606115.1	986e997794ca0adefa059ba4267962d6
GCF_001606135.1	a62d6739e04b4f840173c3612d69d868
GCF_001611015.1	ed37eeffc129ff0079e8a0c29af9b018
GCF_001634365.1	e8e1fab99ff496830a76a693eeaca63d
GCF_001636095.1	6e1842f842db9553ba95ccad060f7aca
GCF_001695715.1	370a3d0348fa2f07cf816d516d6924c7
GCF_001695735.1	e50a884f6cda963266b19a1f65c9ce52
GCF_001718295.1	3ec70c1df6d9ba5c2204437b1e0b6439
GCF_001718315.1	3417980a66706e152a90ed59ed43d91c
GCF_001718335.1	2edd530a9431efa067537b56ea76a2bf
GCF_001718355.1	dec5c071be4cc30b3126b94e6fb5712a
GCF_001718395.1	019ff718227850824c07e606988452bf
GCF_001718415.1	0418a6f575e814659657c95eb97d9717
GCF_001718495.1	1c6746fd01cf47e331b28bae7d5a40c9
GCF_001718515.1	b155030c85c3ef90dcbe0b3650cf7b25
GCF_001718535.1	7434c631607247ebd10bba42980fcc17
GCF_001718555.1	3adcdb807f14a9828dfa3b8b7bf75a9f
GCF_001718575.1	3607b12076814895a931b57745edce24
GCF_001718595.1	3ec70c1df6d9ba5c2204437b1e0b6439
GCF_001718635.1	cd1b54121dbdd594efd6438b453c7410
GCF_001718655.1	b5e57420f9d6bd51e03f58abb9efbd94
GCF_001718695.1	818e2181a0be35afabfe0b1a9856ccd0
GCF_001718755.1	d8e7a3fb071eaf418aadd286621ad895
GCF_001718775.1	ad48f23dd68afae453bf5080fb46a500
GCF_001718795.1	163ffdfe144f978d379f78d517c7448e
GCF_001718815.1	6326f74604e12d4a2ebbfabd0d02749e
GCF_001718835.1	3a6086a0dcba8d2b60fab441cb7db147
GCF_001718855.1	3a04ccabc2e1a35792cbf04dcb6aa61b
GCF_001718875.1	5a9b917521a39712b4ec8c673b5d0e92
GCF_001718895.1	56f16ee01f37827d16192b40449874f6
GCF_001718915.1	02ab14fc628370ff3800e56ee60ab070
GCF_001718955.1	4cfc8b4708fdac622ef17a1c8101aea0
GCF_001718975.1	02592e0bee9c5ce56d0fb478d42ba5e8
GCF_001718995.1	395db495223235148541a3e40d835350
GCF_001729545.1	8c1d1b7d299f24b67be7187b3c5e4d18
GCF_001742165.1	43a891fbd5dc41656cfd1e8b92e2105f
GCF_001865575.2	92362898f76c354db7830de58c0ee7fd
GCF_001885195.1	a7970b273c1d0ecc3c26aaa714b59488
GCF_001887555.1	4b327842f45454378d28a5bd3efe42ab
GCF_001887575.1	4b327842f45454378d28a5bd3efe42ab
GCF_001922345.1	a8c47ea01c997c33faadfc9188d76e0e
GCF_001974745.1	49a5e89cf499c4b94c91e20c69e354c9
GCF_001975065.1	370a3d0348fa2f07cf816d516d6924c7
GCF_001975085.1	4b327842f45454378d28a5bd3efe42ab
GCF_001975105.1	4b327842f45454378d28a5bd3efe42ab
GCF_001975125.1	b6303fc09c95bf118d973c05346056d4
GCF_001975145.1	b6303fc09c95bf118d973c05346056d4
GCF_001980585.2	370a3d0348fa2f07cf816d516d6924c7
GCF_001988975.1	11e49e6ef2ef57fe713be7d653ef9914
GCF_001999785.1	3d52b0cc0270d041ed54f273e35ac770
GCF_001999805.1	4de1e15ff54b6d895ac974c4e26387b1
GCF_001999825.1	3d52b0cc0270d041ed54f273e35ac770
GCF_001999885.1	986e997794ca0adefa059ba4267962d6
GCF_001999925.1	8969b3ce5446f6922f96ff0d7526ee87
GCF_002007585.1	3d52b0cc0270d041ed54f273e35ac770
GCF_002083015.1	3b4fe874b6f129a1f26d576bcc9c12f6
GCF_002097715.1	8ba23e387105e1600b588a9b3362ae1e
GCF_002110925.1	3954b3e6edd416854d3dd81687a33864
GCF_002110945.1	14cc562f44773c36bcb15dd722df9ba5
GCF_002110965.1	14cc562f44773c36bcb15dd722df9ba5
GCF_002110985.1	14cc562f44773c36bcb15dd722df9ba5
GCF_002111005.1	14cc562f44773c36bcb15dd722df9ba5
GCF_002111025.1	14cc562f44773c36bcb15dd722df9ba5
GCF_002111045.1	14cc562f44773c36bcb15dd722df9ba5
GCF_002111065.1	d6c87079a1691427cf70711695f6c09f
GCF_002111085.1	b5407562c26b6f5fe091a07de92ca410
GCF_002111105.1	14cc562f44773c36bcb15dd722df9ba5
GCF_002111125.1	5cc6f1c471a64a6bf3af52771b9dad56
GCF_002111145.1	c314320bf5d716e23e39563f584740e9
GCF_002111165.1	2a8729933874c0abd3e905b1ce846920
GCF_002111185.1	bc6562f0c094166a04b1410459e10214
GCF_002111205.1	14cc562f44773c36bcb15dd722df9ba5
GCF_002111225.1	30f6419974e43c3b24d5df038ecbd4fb
GCF_002111245.1	14cc562f44773c36bcb15dd722df9ba5
GCF_002111265.1	14cc562f44773c36bcb15dd722df9ba5
GCF_002111285.1	9bbdb6f64aca1f9f0d6b0e9d700244b2
GCF_002111305.1	14cc562f44773c36bcb15dd722df9ba5
GCF_002111325.1	14cc562f44773c36bcb15dd722df9ba5
GCF_002111345.1	14cc562f44773c36bcb15dd722df9ba5
GCF_002111365.1	370a3d0348fa2f07cf816d516d6924c7
GCF_002111385.1	14cc562f44773c36bcb15dd722df9ba5
GCF_002208175.1	bc52e1305d578759e97daa8356b4401d
GCF_002209085.2	0e5365064db0a31bc26ee718e524cafc
GCF_002220305.1	1e59314d9e3b3e66ddecd0c8f69b177c
GCF_002278075.1	1c2c7eca104f7be90f0b5ecbad4339c8
GCF_002346045.1	aad8b3d1c0d9c3638f6c5f5c490a9b36
GCF_002346205.1	aad8b3d1c0d9c3638f6c5f5c490a9b36
GCF_002356275.1	315e762c321b3610285847e141e646e9
GCF_002386205.1	8062bc088350c3cc341f97f9b6937ecf
GCF_002393425.1	3a2426879e7dad32b48e6494fe1ae02f
GCF_002407525.2	0e5365064db0a31bc26ee718e524cafc
GCF_002843645.1	10d52327a637d95411ce2a50c19876cf
GCF_002860065.1	4b327842f45454378d28a5bd3efe42ab
GCF_002902925.1	8c83631dd1ce944373e791ef1977b23f
GCF_002902945.1	29287d9b367734bf78b92f7bcbbdd3f7
GCF_002902965.1	aaab20689329d46066cf5355218b96f8
GCF_002924455.1	8837cf6e2be40e3afc864893ac5d664b
GCF_003019945.1	482eb7fb19e2d8ae31d7e44c54046111
GCF_003019965.1	d145110393282c1b698f4e9065ff7f29
GCF_003020025.1	3ec70c1df6d9ba5c2204437b1e0b6439
GCF_003020185.1	0ef57130123458d9c216dd4b32f809a8
GCF_003076415.1	b155030c85c3ef90dcbe0b3650cf7b25
GCF_003233675.1	58098166d02a254cee00c38ba5bf0cae
GCF_003286395.1	903ae7d6f00bb7fdbce39b99512a14b2
GCF_003330745.1	4cbc3592ec9688d76e548c872da87958
GCF_003330765.1	d2bca19417e250776e942bd48a54592e
GCF_003330785.1	3f38cbd04eae31dd43b147677dc40bf3
GCF_003330805.1	2289712c4548bfb5bda9b7493fa3b274
GCF_003330825.1	a70e46bb93fea172decd7fa2a6ed4f80
GCF_003366075.1	57af43aa642e9d0bb0ece98037a77fb5
GCF_003368325.1	d178503778589800412cdd0495263a5e
GCF_003546465.1	0e5365064db0a31bc26ee718e524cafc
GCF_003546995.3	5fcad5cbf187dbeddb19193dc9afc8da
GCF_003547015.1	4b327842f45454378d28a5bd3efe42ab
GCF_003547035.1	4b327842f45454378d28a5bd3efe42ab
GCF_003547055.1	4b327842f45454378d28a5bd3efe42ab
GCF_003568605.1	3ec70c1df6d9ba5c2204437b1e0b6439
GCF_003606245.1	370a3d0348fa2f07cf816d516d6924c7
GCF_003613595.1	7681a9a3e348d9d353cf4035c8fb042b
