mode	contrast	cog_category	cog_name	set_a	n_a	total_a	pct_a	set_b	n_b	total_b	pct_b	log2_OR	ci_low	ci_high	p_fisher	q_BH
all_families	A_pC3core_vs_chr1core	-	no COG assigned	pC3_clade_core	597	833	71.67	chr1_clade_core	937	2833	33.07	2.354	2.109	2.598	1.5298289415857198e-87	3.9775552481228715e-86
all_families	A_pC3core_vs_chr1core	A	RNA processing and modification	pC3_clade_core	0	833	0.0	chr1_clade_core	1	2833	0.04	0.18	-4.439	4.799	1.0	1.0
all_families	A_pC3core_vs_chr1core	B	Chromatin structure and dynamics	pC3_clade_core	2	833	0.24	chr1_clade_core	5	2833	0.18	0.629	-1.531	2.788	0.661106261370686	0.7473375128538189
all_families	A_pC3core_vs_chr1core	C	Energy production and conversion	pC3_clade_core	14	833	1.68	chr1_clade_core	129	2833	4.55	-1.436	-2.227	-0.645	6.17541368077417e-05	0.00022937250814304057
all_families	A_pC3core_vs_chr1core	D	Cell cycle control and mitosis	pC3_clade_core	2	833	0.24	chr1_clade_core	33	2833	1.16	-1.992	-3.85	-0.135	0.013531015946127847	0.02243335957519363
all_families	A_pC3core_vs_chr1core	E	Amino acid metabolism and transport	pC3_clade_core	35	833	4.2	chr1_clade_core	226	2833	7.98	-0.966	-1.489	-0.443	0.0001173891112175512	0.00038151461145704136
all_families	A_pC3core_vs_chr1core	F	Nucleotide metabolism and transport	pC3_clade_core	7	833	0.84	chr1_clade_core	73	2833	2.58	-1.553	-2.643	-0.463	0.0016817958004741432	0.003745318156618697
all_families	A_pC3core_vs_chr1core	G	Carbohydrate metabolism and transport	pC3_clade_core	31	833	3.72	chr1_clade_core	149	2833	5.26	-0.505	-1.071	0.061	0.08257246138099264	0.11299389452135836
all_families	A_pC3core_vs_chr1core	H	Coenzyme metabolism	pC3_clade_core	19	833	2.28	chr1_clade_core	130	2833	4.59	-1.012	-1.707	-0.316	0.0025853632750253053	0.005170726550050611
all_families	A_pC3core_vs_chr1core	I	Lipid metabolism	pC3_clade_core	16	833	1.92	chr1_clade_core	120	2833	4.24	-1.138	-1.888	-0.387	0.0011731068222405015	0.003050077737825304
all_families	A_pC3core_vs_chr1core	J	Translation, ribosomal structure and biogenesis	pC3_clade_core	4	833	0.48	chr1_clade_core	179	2833	6.32	-3.64	-4.994	-2.286	5.692775166467019e-16	7.400607716407125e-15
all_families	A_pC3core_vs_chr1core	K	Transcription	pC3_clade_core	35	833	4.2	chr1_clade_core	182	2833	6.42	-0.631	-1.162	-0.099	0.015449916141339792	0.02362928351028439
all_families	A_pC3core_vs_chr1core	L	Replication, recombination and repair	pC3_clade_core	2	833	0.24	chr1_clade_core	64	2833	2.26	-2.953	-4.78	-1.127	1.0544991932199154e-05	5.4833958047435596e-05
all_families	A_pC3core_vs_chr1core	M	Cell wall/membrane/envelope biogenesis	pC3_clade_core	12	833	1.44	chr1_clade_core	155	2833	5.47	-1.932	-2.771	-1.093	7.293642117340795e-08	6.321156501695355e-07
all_families	A_pC3core_vs_chr1core	N	Cell motility	pC3_clade_core	1	833	0.12	chr1_clade_core	44	2833	1.55	-3.146	-5.496	-0.796	0.0002180837681432634	0.0006300197746360943
all_families	A_pC3core_vs_chr1core	O	Post-translational modification, protein turnover, chaperones	pC3_clade_core	5	833	0.6	chr1_clade_core	102	2833	3.6	-2.499	-3.742	-1.256	4.406797004380842e-07	2.8644180528475474e-06
all_families	A_pC3core_vs_chr1core	P	Inorganic ion transport and metabolism	pC3_clade_core	12	833	1.44	chr1_clade_core	99	2833	3.49	-1.258	-2.114	-0.402	0.0017286083799778601	0.003745318156618697
all_families	A_pC3core_vs_chr1core	Q	Secondary metabolites biosynthesis, transport and catabolism	pC3_clade_core	7	833	0.84	chr1_clade_core	41	2833	1.45	-0.712	-1.839	0.416	0.22441771313938658	0.2917430270812026
all_families	A_pC3core_vs_chr1core	R	General function prediction only	pC3_clade_core	24	833	2.88	chr1_clade_core	138	2833	4.87	-0.764	-1.394	-0.134	0.01257409027247593	0.02243335957519363
all_families	A_pC3core_vs_chr1core	S	Function unknown	pC3_clade_core	8	833	0.96	chr1_clade_core	44	2833	1.55	-0.632	-1.696	0.433	0.24452197524807476	0.302741493164283
all_families	A_pC3core_vs_chr1core	T	Signal transduction mechanisms	pC3_clade_core	14	833	1.68	chr1_clade_core	93	2833	3.28	-0.947	-1.753	-0.141	0.01380514435396531	0.02243335957519363
all_families	A_pC3core_vs_chr1core	U	Intracellular trafficking and secretion	pC3_clade_core	1	833	0.12	chr1_clade_core	54	2833	1.91	-3.444	-5.787	-1.101	2.48760193579497e-05	0.0001077960838844487
