query	acc	contig	gene	start	end	strand	pident	qcovs	qcovhsp	qstart	qend	bits	evalue	slen	qlen	tier	contig_len	contig_rank	tier_ambiguous
MF6_004284_1434_1538	GCF_905400185.1	NZ_FR989677.1	1082	1214605	1219236	-	100.000	100	100	1	104	228	1.21e-68	1543	104	1	1347483	3	False
MF6_004284_1434_1538	GCF_016899425.1	NZ_CP045996.1	74	98978	103609	-	100.000	100	100	1	104	228	1.21e-68	1543	104	1	1180421	3	False
MF6_004284_1434_1538	MF7	BMF7_NODE_8_len_318422_cov_40_1587_ID_6095374.3	38	44159	48790	+	100.000	100	100	1	104	228	1.24e-68	1543	104	1	318422	8	False
MF6_004284_1434_1538	MF6	cluster_003_consensus	923	1047087	1051718	-	100.000	100	100	1	104	228	1.24e-68	1543	104	1	1179882	3	False
MF6_004284_1434_1538	GCF_003368325.1	NZ_CP031466.1	2921	3366142	3367041	+	85.526	73	73	15	90	142	2.59e-41	299	104	1	3619047	2	False
MF6_004284_1434_1538	GCF_053470145.1	NZ_JBQLJE010000003.1	127	140270	144505	+	76.119	64	64	36	102	127	1.67e-33	1411	104	2	151938	3	False
MF6_004284_1434_1538	GCF_053470105.1	NZ_JBQLJD010000003.1	31	35156	39391	-	76.119	64	64	36	102	127	1.67e-33	1411	104	2	151938	3	False
MF6_004284_full	MF7	BMF7_NODE_8_len_318422_cov_40_1587_ID_6095374.3	38	44159	48790	+	100.000	100	100	1	1538	3128	0.0	1543	1538	1	318422	8	False
MF6_004284_full	MF6	cluster_003_consensus	923	1047087	1051718	-	100.000	100	100	1	1538	3128	0.0	1543	1538	1	1179882	3	False
MF6_004284_full	GCF_905400185.1	NZ_FR989677.1	1082	1214605	1219236	-	99.935	100	100	1	1538	3127	0.0	1543	1538	1	1347483	3	False
MF6_004284_full	GCF_016899425.1	NZ_CP045996.1	74	98978	103609	-	99.935	100	100	1	1538	3127	0.0	1543	1538	1	1180421	3	False
MF6_004284_full	GCF_003966315.1	NZ_CP034545.1	1998	2258027	2262808	-	94.696	93	93	1	1433	2728	0.0	1593	1538	1	3645818	1	False
MF6_004284_full	GCF_020843985.1	NZ_CP086306.1	241	272067	276710	+	86.462	93	93	2	1433	2459	0.0	1547	1538	1	1172335	3	False
MF6_004284_full	GCF_020099355.1	NZ_CP083656.1	308	296423	300637	+	87.124	91	91	2	1398	2445	0.0	1404	1538	1	1248367	3	False
MF6_004284_full	GCF_003019945.1	NZ_CP020395.1	1006	1130805	1135019	+	87.124	91	91	2	1398	2445	0.0	1404	1538	1	1248348	3	False
MF6_004284_full	GCF_000959445.1	NZ_CP009632.1	602	636424	640638	+	87.124	91	91	2	1398	2445	0.0	1404	1538	1	1248367	3	False
MF6_004284_full	GCF_053470145.1	NZ_JBQLJE010000003.1	127	140270	144505	+	29.573	51	51	747	1536	244	4.32e-63	1411	1538	4	151938	3	False
