accession	CDS	tRNA	rRNA	contigs
GCA_017356705.2	8588	72	15	2
GCA_017356725.2	8575	69	15	2
GCA_020887275.1	8791	65	18	8
GCA_024298805.1	8466	71	18	4
GCA_029762415.1	8238	68	15	3
GCA_040954445.1	3675	40	3	3
GCA_048918525.1	7230	69	15	4
GCA_051027405.1	7375	66	18	3
GCA_055387565.1	5737	63	12	2
GCA_056494915.1	8319	104	18	4
GCA_059696275.1	2905	8	3	1
GCA_964417475.2	6060	63	12	2
GCA_965199415.1	6275	63	12	2
GCA_965199775.1	5805	66	12	2
GCA_965217235.1	5125	73	21	2
GCA_965217245.1	4876	76	21	2
GCA_980298765.1	5915	61	12	2
GCF_000009485.1	7308	76	18	4
GCF_000010545.1	6372	66	15	4
GCF_000011545.1	5933	65	12	2
GCF_000011705.1	4990	58	11	2
GCF_000012365.1	5643	62	12	2
GCF_000012785.1	5962	63	12	2
GCF_000012945.1	7712	70	18	3
GCF_000013645.1	8704	67	18	3
GCF_000015465.1	4479	56	10	2
GCF_000015605.1	4907	58	11	2
GCF_000015625.1	5008	57	11	2
GCF_000015905.1	5784	63	12	2
GCF_000015925.1	5744	61	12	2
GCF_000016205.1	7709	70	18	8
GCF_000018505.1	6364	66	15	4
GCF_000019505.1	7119	74	18	3
GCF_000019925.1	6749	68	18	4
GCF_000020045.1	7811	66	18	4
GCF_000020125.1	7337	65	18	3
GCF_000022645.2	6412	70	15	6
GCF_000092885.1	7158	74	21	4
GCF_000194745.1	7743	71	15	6
GCF_000198775.1	3333	49	9	3
GCF_000203915.1	6606	69	18	4
GCF_000203955.1	6894	72	18	4
GCF_000236065.1	8222	66	18	6
GCF_000236215.2	6867	66	18	3
GCF_000260515.1	5950	64	12	2
GCF_000262695.1	5800	69	18	4
GCF_000292915.1	5844	59	8	2
GCF_000294635.1	5862	62	12	2
GCF_000300095.1	6770	63	18	3
GCF_000385525.1	5789	59	12	2
GCF_000402035.1	6328	62	15	5
GCF_000439695.1	6121	63	12	2
GCF_000494855.1	6073	63	12	2
GCF_000511895.1	6129	62	12	2
GCF_000511915.1	6002	64	12	2
GCF_000520895.1	5993	64	12	2
GCF_000521645.1	5993	64	12	2
