orthogroup	n_genomes	frac_on_c3
GCF_000522545.2|NZ_CP012747.1|NHEICP_03371	57	0.0175
GCF_000705535.2|NZ_CP072521.1|FJLBMH_03950	90	0.0111
GCF_000705535.2|NZ_CP072522.1|FJLBMH_06780	20	0.8500
GCF_000705535.2|NZ_CP072522.1|FJLBMH_06784	15	0.8667
GCF_000705535.2|NZ_CP072522.1|FJLBMH_06848	13	1.0000
GCF_000755725.1|NZ_CP007784.1|GKENPO_03614	26	0.0000
GCF_000755725.1|NZ_CP007782.1|GKENPO_07155	58	0.0333
GCF_000755725.1|NZ_CP007782.1|GKENPO_07160	58	0.0484
GCF_000755985.1|NZ_CP008727.1|OGNECI_05017	21	0.3810
GCF_000755985.1|NZ_CP008727.1|OGNECI_05034	94	0.9681
GCF_000764955.1|NZ_CP007779.1|MPKPAF_05063	50	0.9600
GCF_000764955.1|NZ_CP007779.1|MPKPAF_05078	10	0.3000
GCF_000764955.1|NZ_CP007779.1|MPKPAF_05082	10	0.4167
GCF_000764955.1|NZ_CP007779.1|MPKPAF_05128	109	0.9455
GCF_000835205.1|NZ_CP002581.1|GBACEL_04544	28	0.0000
GCF_000959245.1|NZ_CP009486.1|LAONHI_05442	110	0.0091
GCF_000959245.1|NZ_CP009486.1|LAONHI_05480	100	0.0000
GCF_000959245.1|NZ_CP009486.1|LAONHI_05528	15	0.0000
GCF_000959505.1|NZ_CP009793.1|IOBNJL_04023	12	0.0000
GCF_000959505.1|NZ_CP009793.1|IOBNJL_04063	134	0.4170
GCF_000959605.1|NZ_CP010018.1|JLLGFH_05277	117	0.0085
GCF_000961515.1|NZ_CP010027.1|FPIDDM_05656	27	0.0741
GCF_000961515.1|NZ_CP010027.1|FPIDDM_05666	49	0.9184
GCF_001028665.1|NZ_CP011505.1|HBNMDA_06570	37	0.8108
GCF_001028665.1|NZ_CP011505.1|HBNMDA_06624	11	0.5000
GCF_001029145.1|NZ_CP009743.1|MMBDNG_02896	16	0.6250
GCF_001293045.1|NZ_CP012193.1|JIJEFB_05291	51	0.7500
GCF_001449005.1|NZ_CP013103.1|FJLEBH_03971	16	0.3889
GCF_001449005.1|NZ_CP013103.1|FJLEBH_03990	40	0.8750
GCF_001449005.1|NZ_CP013103.1|FJLEBH_04001	19	0.1739
GCF_001532025.2|NZ_CP013458.1|LCPLMD_03822	118	0.0168
GCF_001557535.2|NZ_CP014307.1|AEKFLI_04631	13	0.0769
GCF_001577465.1|NZ_CP014506.1|FDOHPH_04256	113	0.0265
GCF_001611015.1|NZ_CP013349.1|OBFAPF_06464	14	0.2667
GCF_001634365.1|NZ_CP014579.1|KFJOOE_04582	15	0.0000
GCF_001718315.1|NZ_CP013364.1|FPPOAH_05657	23	1.0000
GCF_001718315.1|NZ_CP013364.1|FPPOAH_05677	96	1.0000
GCF_001718335.1|NZ_CP013367.1|DFAKIC_05756	19	0.5909
GCF_001718355.1|NZ_CP013368.1|EMLACB_06655	98	1.0000
GCF_001718355.1|NZ_CP013368.1|EMLACB_06664	27	0.8214
GCF_001718355.1|NZ_CP013368.1|EMLACB_06697	33	0.9394
GCF_001718495.1|NZ_CP013394.1|GBHKGI_05040	15	0.2000
GCF_001718955.1|NZ_CP013461.1|MKEBEL_05614	80	0.0125
GCF_001718955.1|NZ_CP013461.1|MKEBEL_05627	18	0.0000
GCF_001718975.1|NZ_CP013464.1|FDEPEI_04564	66	0.0000
GCF_001718975.1|NZ_CP013464.1|FDEPEI_04615	134	0.0149
GCF_001742165.1|NZ_CP016443.1|AGPFIK_04602	10	0.8000
GCF_001865575.2|NZ_CP017562.2|LOJKIB_05364	10	0.2000
GCF_001885195.1|NZ_CP018055.1|JNHEHC_04271	120	0.0328
GCF_002097715.1|NZ_CP020738.1|GADEED_04262	21	0.9524
GCF_002111385.1|NZ_CP018412.1|LNACHC_05175	17	0.1500
GCF_002356275.1|NZ_AP018112.1|PCILBN_03985	15	0.2667
GCF_002356275.1|NZ_AP018112.1|PCILBN_03986	10	0.2000
GCF_002356275.1|NZ_AP018112.1|PCILBN_03989	10	0.2000
GCF_002356275.1|NZ_AP018112.1|PCILBN_03990	10	0.2000
GCF_002356275.1|NZ_AP018112.1|PCILBN_03992	13	0.1538
GCF_002393425.1|NZ_CP023523.1|LGDCBP_05364	25	0.6207
GCF_003233675.1|NZ_CP029825.1|IAFPDL_05994	59	0.0323
GCF_003330825.1|NZ_CP024942.1|DPEFHP_04501	64	0.4412
GCF_003330825.1|NZ_CP024942.1|DPEFHP_04503	16	0.2941
GCF_003330825.1|NZ_CP024942.1|DPEFHP_04558	12	0.0000
GCF_003568605.1|NZ_CP008785.1|FDKBLH_02496	113	0.6207
GCF_003614815.1|NZ_CP022215.1|NMONIP_05476	132	0.0076
GCF_003812585.1|NZ_CP033745.1|GNNABM_02774	11	0.2143
GCF_003966315.1|NZ_CP034546.1|KBLBMN_03457	20	0.8333
GCF_003966315.1|NZ_CP034547.1|KBLBMN_07102	19	0.2000
GCF_005280735.1|NZ_CP040078.1|GLGJAO_04471	48	0.5417
GCF_005280735.1|NZ_CP040078.1|GLGJAO_04483	119	0.0084
GCF_005280735.1|NZ_CP040078.1|GLGJAO_04486	118	0.0168
GCF_005280735.1|NZ_CP040078.1|GLGJAO_04526	45	0.2667
GCF_007724625.1|NZ_CP042165.1|KDKDHA_03970	118	0.0410
GCF_009789655.1|NZ_CP046911.1|NAJDOB_05199	14	1.0000
GCF_009789655.1|NZ_CP046911.1|NAJDOB_05217	14	0.6429
GCF_009789655.1|NZ_CP046911.1|NAJDOB_05269	25	0.4333
GCF_009789655.1|NZ_CP046911.1|NAJDOB_05270	13	0.4615
GCF_019428685.1|NZ_CP080096.1|GAAIKK_05623	27	0.8214
GCF_019428685.1|NZ_CP080096.1|GAAIKK_05699	127	0.0077
GCF_019428685.1|NZ_CP080096.1|GAAIKK_05702	68	0.0441
GCF_021344035.2|NZ_CP158564.1|KNHAFJ_02860	11	0.2143
GCF_022809715.1|NZ_CP094461.1|MKJMLJ_06884	61	0.9508
GCF_022879595.1|NZ_CP084267.1|AJMEPE_05218	12	0.0000
GCF_023373725.1|NZ_CP090788.1|KCIHPB_04532	91	0.0000
GCF_025560745.1|NZ_CP090482.1|LJPFDI_00352	77	0.8182
GCF_026958255.1|NZ_CP092844.1|MCPMCB_05484	97	0.0600
GCF_028657905.1|NZ_CP117781.1|FBKEMI_04999	30	0.0645
GCF_028657905.1|NZ_CP117781.1|FBKEMI_05034	66	0.0000
GCF_028657905.1|NZ_CP117781.1|FBKEMI_05048	115	0.0174
GCF_029536165.1|NZ_CP120509.1|IJJJNO_05691	123	0.0163
GCF_029536165.1|NZ_CP120509.1|IJJJNO_05709	75	0.6400
GCF_029536165.1|NZ_CP120509.1|IJJJNO_05711	69	0.6957
GCF_029536165.1|NZ_CP120509.1|IJJJNO_05741	14	0.0714
GCF_029633805.1|NZ_CP090636.1|IDAOHN_05357	128	0.0083
GCF_029910195.1|NZ_CP110394.1|AEIAGP_07416	12	1.0000
GCF_029910195.1|NZ_CP110394.1|AEIAGP_07514	22	1.0000
GCF_029910215.1|NZ_CP110396.1|AOJIKF_06612	11	0.0000
GCF_029910215.1|NZ_CP110396.1|AOJIKF_06615	13	0.0000
GCF_029962485.1|NZ_CP073639.1|GJHEFE_06939	11	1.0000
GCF_029962485.1|NZ_CP073639.1|GJHEFE_06946	11	1.0000
GCF_029962485.1|NZ_CP073639.1|GJHEFE_06962	88	0.4083
GCF_030412785.1|NZ_CP125296.1|ODJFHO_07505	13	0.1538
GCF_030412785.1|NZ_CP125296.1|ODJFHO_07568	100	0.0283
GCF_032806925.1|NZ_CP136512.1|HHDGBH_03787	13	0.0769
GCF_034047095.1|NZ_CP139166.1|FHPKOL_03710	13	0.0769
GCF_037055255.1|NZ_CP146377.1|EHEHHB_04560	27	0.2812
GCF_038050405.1|NZ_CP150901.1|PAEKDM_05815	10	0.5000
GCF_039621805.1|NZ_CP155075.1|MGLNLP_05914	47	0.0000
GCF_039621805.1|NZ_CP155075.1|MGLNLP_05917	48	0.0000
GCF_042604585.1|NZ_CP152483.1|CCNFDO_05984	99	0.0202
GCF_044501195.1|NZ_CP162534.1|FEPKBP_07207	30	0.5000
GCF_045348565.1|NZ_CP157347.1|NECHCD_05432	16	0.6250
GCF_047127275.1|NZ_CP098397.1|KDLKNP_03707	116	0.0336
GCF_047497165.1|NZ_CP163164.1|CDDFIM_00266	105	0.7830
GCF_047497165.1|NZ_CP163164.1|CDDFIM_00300	133	0.0150
GCF_048627025.1|NZ_CP184469.1|CHIKBB_07131	13	0.0000
GCF_050500075.1|NZ_CP191363.1|EGBKKP_04451	15	0.0000
GCF_050500075.1|NZ_CP191363.1|EGBKKP_04521	13	0.0769
GCF_050632325.1|NZ_CP192562.1|KHJMHK_06750	12	1.0000
GCF_050813845.1|NZ_CP172422.1|GJOCLC_05263	24	0.6250
GCF_050990585.1|NZ_CP158826.1|KKODBG_05457	133	0.0150
GCF_051027425.1|NZ_CP186553.1|GJHIIG_04534	51	0.3846
GCF_051027425.1|NZ_CP186553.1|GJHIIG_04551	10	0.5000
GCF_051124805.1|NZ_CP123190.1|ICMIHH_06117	15	0.4000
GCF_964265015.1|NZ_OZ183806.1|ECGPLD_06615	36	0.0811
GCF_964265015.1|NZ_OZ183806.1|ECGPLD_06618	31	0.0000
GCF_964265025.1|NZ_OZ183803.1|BIENCE_05139	47	0.0000
GCF_964265025.1|NZ_OZ183804.1|BIENCE_06832	46	0.0833
GCF_964265025.1|NZ_OZ183804.1|BIENCE_06840	12	0.2308
GCF_964265025.1|NZ_OZ183804.1|BIENCE_07604	26	0.9615
GCF_965118185.1|NZ_OZ221291.1|KJDPOI_04664	40	0.6279
GCF_965118185.1|NZ_OZ221291.1|KJDPOI_04707	52	0.0000
GCF_965118185.1|NZ_OZ221291.1|KJDPOI_06345	15	0.0667
GCF_965118185.1|NZ_OZ221291.1|KJDPOI_06387	39	0.0256
GCF_984667675.1|NZ_OZ480167.1|JPDNHB_03876	24	0.0417
GCF_984667675.1|NZ_OZ480167.1|JPDNHB_05271	47	0.0213
GCF_984667675.1|NZ_OZ480168.1|JPDNHB_06533	38	1.0000
GCF_984667975.1|NZ_OZ480187.1|IDMAMG_04457	52	0.9808
GCF_984667975.1|NZ_OZ480188.1|IDMAMG_06840	18	0.1111
GCF_984668195.1|NZ_OZ480203.1|EFDDPN_07093	121	0.7642
GCF_984668355.1|NZ_OZ480199.1|CIGILE_05755	12	0.0000
GCF_984668395.1|NZ_OZ480206.1|LANPNA_06100	32	0.6250
GCF_984668395.1|NZ_OZ480206.1|LANPNA_06108	88	0.0000
GCF_984668525.1|NZ_OZ480212.1|HJEOAH_04562	19	0.0526
GCF_984668525.1|NZ_OZ480212.1|HJEOAH_04639	24	0.5484
GCF_984669265.1|NZ_OZ480218.1|LKHDNO_04527	15	0.0000
GCF_984669335.1|NZ_OZ480224.1|DNBIEF_04295	19	0.1923
GCF_984669565.1|NZ_OZ480232.1|DGKKGN_06204	111	0.0090
GCF_984669585.1|NZ_OZ480237.1|NCKBJI_06731	21	0.1905
GCF_984669705.1|NZ_OZ480243.1|MOPGNM_03885	25	0.0000
GCF_984669705.1|NZ_OZ480243.1|MOPGNM_05594	94	0.0102
GCF_984669705.1|NZ_OZ480244.1|MOPGNM_06941	44	1.0000
GCF_984671695.1|NZ_OZ480248.1|MDIHEA_04294	10	0.2000
MF7|BMF7_NODE_2_len_976237_cov_36_3824_ID_6095666.46|EFEKAH_04567	10	1.0000
GCA_020887275.1|AP022306.1|IBAIBG_03611	15	0.0667
GCA_020887275.1|AP022306.1|IBAIBG_03650	15	0.3333
GCA_020887275.1|AP022306.1|IBAIBG_03677	50	0.0200
GCA_020887275.1|AP022306.1|IBAIBG_04515	10	0.2000
GCA_020887275.1|AP022306.1|IBAIBG_04520	11	0.3333
GCA_020887275.1|AP022306.1|IBAIBG_04534	12	0.3846
GCA_020887275.1|AP022307.1|IBAIBG_05125	13	0.1538
GCA_020887275.1|AP022307.1|IBAIBG_05141	116	0.2328
GCA_020887275.1|AP022308.1|IBAIBG_07058	95	0.3684
GCA_020887275.1|AP022308.1|IBAIBG_07090	50	0.9600
GCA_020887275.1|AP022308.1|IBAIBG_07095	86	0.7586
GCA_024298805.1|CP101280.1|CFKEBF_05210	53	0.0000
GCA_024298805.1|CP101280.1|CFKEBF_05217	121	0.0413
GCA_024298805.1|CP101280.1|CFKEBF_05239	10	0.3333
GCA_024298805.1|CP101280.1|CFKEBF_05284	17	0.0000
GCA_024298805.1|CP101280.1|CFKEBF_05289	127	0.0157
GCA_029762415.1|CP121774.1|AEAFNO_05448	133	0.0299
GCA_029762415.1|CP121774.1|AEAFNO_05453	74	0.7200
GCA_029762415.1|CP121774.1|AEAFNO_05493	13	0.1538
GCA_048918525.1|CP183179.1|FJOOHI_04121	49	0.3770
GCA_048918525.1|CP183179.1|FJOOHI_05987	47	0.3750
GCA_051027405.1|CP186319.1|OPENLE_05943	17	0.0000
GCA_051027405.1|CP186319.1|OPENLE_05953	50	0.0400
GCA_056494915.1|CP195753.1|IECGNH_03376	11	0.0909
GCA_056494915.1|CP195755.1|IECGNH_07653	74	0.0000
GCA_056494915.1|CP195755.1|IECGNH_07734	117	0.0855
GCA_965217235.1|OZ244257.1|FGPPHH_03834	71	0.6824
GCA_965217235.1|OZ244257.1|FGPPHH_03861	54	0.0185
GCA_965217235.1|OZ244257.1|FGPPHH_03901	119	0.0168
GCF_000010545.1|NC_010805.1|FAEGPK_03407	12	0.0833
GCF_000010545.1|NC_010805.1|FAEGPK_03408	10	0.1000
GCF_000010545.1|NC_010805.1|FAEGPK_03462	34	0.0294
GCF_000010545.1|NC_010805.1|FAEGPK_05121	11	0.0909
GCF_000010545.1|NC_010805.1|FAEGPK_05169	133	0.0150
GCF_000012365.1|NC_007650.1|CDMLCC_04803	129	0.0199
GCF_000013645.1|NC_007952.1|NKEBAG_06690	17	0.1176
GCF_000013645.1|NC_007952.1|NKEBAG_06702	134	0.0884
GCF_000019505.1|NC_010515.1|FDIDAN_04502	19	0.0526
GCF_000019925.1|NC_010552.1|JOOHOL_03403	38	0.0000
GCF_000019925.1|NC_010557.1|JOOHOL_06487	63	0.9841
GCF_000019925.1|NC_010557.1|JOOHOL_06491	89	0.9780
GCF_000020125.1|NC_010676.1|KLLCKE_06742	12	0.7500
GCF_000020125.1|NC_010676.1|KLLCKE_06743	24	0.4167
GCF_000022645.2|NC_012721.2|EJIAMJ_05761	52	0.6923
GCF_022879595.1|NZ_CP084266.1|AJMEPE_03885	126	0.0234
GCF_023169865.1|NZ_AP025260.1|PBOPCH_09361	17	0.1176
GCF_023169865.1|NZ_AP025260.1|PBOPCH_09372	46	0.9130
GCF_023374475.1|NZ_CP090698.1|KBPHFL_02065	66	0.0152
GCF_026683835.2|NZ_CP113271.2|CHONJN_04992	119	0.0084
GCF_028657905.1|NZ_CP117781.1|FBKEMI_04796	119	0.0084
GCF_028657905.1|NZ_CP117781.1|FBKEMI_04827	13	0.0000
