Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
genomes/MF6.fna	genomes/MF7.fna	100.00	99.25	89.07	cluster_001_consensus rotated=True rotated_gene=dnaA	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/MF7.fna	genomes/MF7.fna	100.00	100.00	100.00	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_016899425.1.fna	genomes/MF7.fna	99.70	96.99	86.47	NZ_CP045994.1 Burkholderia sp. MS389 chromosome 1, complete sequence	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400155.1.fna	genomes/MF7.fna	99.59	92.36	86.26	NZ_FR989683.1 Burkholderia sola strain R-12632 substr. R-75386 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400185.1.fna	genomes/MF7.fna	99.59	92.44	86.32	NZ_FR989675.1 Burkholderia sola strain R-12632 substr. R-12632 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400195.1.fna	genomes/MF7.fna	99.59	92.16	85.69	NZ_FR989691.1 Burkholderia sola strain R-12632 substr. R-75388 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400375.1.fna	genomes/MF7.fna	99.59	92.28	86.21	NZ_FR989743.1 Burkholderia sola strain R-12632 substr. R-75595 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400235.1.fna	genomes/MF7.fna	99.59	92.27	86.24	NZ_FR989671.1 Burkholderia sola strain R-12632 substr. R-75384 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400225.1.fna	genomes/MF7.fna	99.59	92.25	86.23	NZ_FR989687.1 Burkholderia sola strain R-12632 substr. R-75387 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400495.1.fna	genomes/MF7.fna	99.59	92.44	86.21	NZ_FR989795.1 Burkholderia sola strain R-12632 substr. R-75721 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400555.1.fna	genomes/MF7.fna	99.59	92.27	86.23	NZ_FR989819.1 Burkholderia sola strain R-12632 substr. R-75724 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400265.1.fna	genomes/MF7.fna	99.59	92.20	86.20	NZ_FR989695.1 Burkholderia sola strain R-12632 substr. R-75385 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400565.1.fna	genomes/MF7.fna	99.59	92.28	86.18	NZ_FR989811.1 Burkholderia sola strain R-12632 substr. R-75725 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400395.1.fna	genomes/MF7.fna	99.59	92.36	86.07	NZ_FR989735.1 Burkholderia sola strain R-12632 substr. R-75594 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400285.1.fna	genomes/MF7.fna	99.59	92.31	86.22	NZ_FR989727.1 Burkholderia sola strain R-12632 substr. R-75499 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400525.1.fna	genomes/MF7.fna	99.59	92.34	86.23	NZ_FR989803.1 Burkholderia sola strain R-12632 substr. R-75717 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400575.1.fna	genomes/MF7.fna	99.59	92.34	86.18	NZ_FR989815.1 Burkholderia sola strain R-12632 substr. R-75726 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400325.1.fna	genomes/MF7.fna	99.59	92.42	86.24	NZ_FR989711.1 Burkholderia sola strain R-12632 substr. R-75592 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400405.1.fna	genomes/MF7.fna	99.59	92.36	86.21	NZ_FR989767.1 Burkholderia sola strain R-12632 substr. R-75715 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400435.1.fna	genomes/MF7.fna	99.59	92.29	86.21	NZ_FR989755.1 Burkholderia sola strain R-12632 substr. R-75600 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400475.1.fna	genomes/MF7.fna	99.59	92.32	86.21	NZ_FR989783.1 Burkholderia sola strain R-12632 substr. R-75722 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400535.1.fna	genomes/MF7.fna	99.59	92.34	86.23	NZ_FR989799.1 Burkholderia sola strain R-12632 substr. R-75723 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400445.1.fna	genomes/MF7.fna	99.59	92.31	86.24	NZ_FR989759.1 Burkholderia sola strain R-12632 substr. R-75601 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400465.1.fna	genomes/MF7.fna	99.59	92.32	86.22	NZ_FR989763.1 Burkholderia sola strain R-12632 substr. R-75598 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400415.1.fna	genomes/MF7.fna	99.59	92.17	84.95	NZ_FR989751.1 Burkholderia sola strain R-12632 substr. R-75599 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400345.1.fna	genomes/MF7.fna	99.59	92.28	86.24	NZ_FR989703.1 Burkholderia sola strain R-12632 substr. R-75502 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400425.1.fna	genomes/MF7.fna	99.59	92.25	86.23	NZ_FR989771.1 Burkholderia sola strain R-12632 substr. R-75602 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400545.1.fna	genomes/MF7.fna	99.59	92.28	86.20	NZ_FR989791.1 Burkholderia sola strain R-12632 substr. R-75720 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400455.1.fna	genomes/MF7.fna	99.59	92.21	86.18	NZ_FR989775.1 Burkholderia sola strain R-12632 substr. R-75714 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400335.1.fna	genomes/MF7.fna	99.59	92.33	86.23	NZ_FR989707.1 Burkholderia sola strain R-12632 substr. R-75500 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400485.1.fna	genomes/MF7.fna	99.59	92.27	86.24	NZ_FR989779.1 Burkholderia sola strain R-12632 substr. R-75719 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400365.1.fna	genomes/MF7.fna	99.59	92.27	86.21	NZ_FR989731.1 Burkholderia sola strain R-12632 substr. R-75593 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400275.1.fna	genomes/MF7.fna	99.57	91.92	85.73	NZ_FR989723.1 Burkholderia sola strain R-12632 substr. R-75501 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400215.1.fna	genomes/MF7.fna	99.53	91.99	85.90	NZ_FR989679.1 Burkholderia sola strain R-12632 substr. R-75389 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400385.1.fna	genomes/MF7.fna	99.53	91.99	85.94	NZ_FR989747.1 Burkholderia sola strain R-12632 substr. R-75596 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400505.1.fna	genomes/MF7.fna	99.53	92.01	85.93	NZ_FR989787.1 Burkholderia sola strain R-12632 substr. R-75718 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400315.1.fna	genomes/MF7.fna	99.53	92.02	85.94	NZ_FR989715.1 Burkholderia sola strain R-12632 substr. R-75588 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
genomes/GCF_905400515.1.fna	genomes/MF7.fna	99.53	91.95	85.12	NZ_FR989807.1 Burkholderia sola strain R-12632 substr. R-75716 chromosome 1	BMF7_NODE_26_len_1074_cov_2_45145_ID_4813260.1
