accession	contig	role	length	clone_cluster
GCA_024298805.1	CP101280.1	chromosome2	3290308	5
GCA_024298805.1	CP101281.1	pC3	1441107	5
GCF_000010545.1	NC_010805.1	chromosome2	2473162	38
GCF_000010545.1	NC_010801.1	pC3	919805	38
GCF_000013645.1	NC_007952.1	chromosome2	3363523	40
GCF_000013645.1	NC_007953.1	pC3	1471779	40
GCF_000019505.1	NC_010515.1	chromosome2	3213911	68
GCF_000019505.1	NC_010512.1	pC3	1224595	68
GCF_000262695.1	NC_017921.1	chromosome2	2356985	6
GCF_000262695.1	NC_017922.1	pC3	1082410	6
GCF_000300095.1	NC_018672.1	chromosome2	2713495	75
GCF_000300095.1	NC_018696.1	pC3	785419	75
GCF_000522545.2	NZ_CP012747.1	chromosome2	3352623	77
GCF_000522545.2	NZ_CP012748.1	pC3	2555069	77
GCF_000755725.1	NZ_CP007784.1	chromosome2	3209624	78
GCF_000755725.1	NZ_CP007782.1	pC3	1166794	78
GCF_000959245.1	NZ_CP009486.1	chromosome2	2722556	80
GCF_000959245.1	NZ_CP009487.1	pC3	920205	80
GCF_000959605.1	NZ_CP010018.1	chromosome2	2897757	3
GCF_000959605.1	NZ_CP010016.1	pC3	326388	3
GCF_001028665.1	NZ_CP011504.1	chromosome2	3214754	81
GCF_001028665.1	NZ_CP011505.1	pC3	1049005	81
GCF_001411495.1	NZ_CP012982.1	chromosome2	3408190	14
GCF_001411495.1	NZ_CP012983.1	pC3	1196214	14
GCF_001513745.1	NZ_CP013382.1	chromosome2	2913543	16
GCF_001513745.1	NZ_CP013381.1	pC3	305114	16
GCF_001522585.2	NZ_CP013372.1	chromosome2	2801147	83
GCF_001522585.2	NZ_CP013374.1	pC3	851421	83
GCF_001523915.2	NZ_CP013383.1	chromosome2	2709855	86
GCF_001523915.2	NZ_CP013385.1	pC3	974331	86
GCF_001524445.2	NZ_CP013418.1	chromosome2	2824254	31
GCF_001524445.2	NZ_CP013419.1	pC3	375023	31
GCF_001524645.2	NZ_CP013428.1	chromosome2	2473077	87
GCF_001524645.2	NZ_CP013429.1	pC3	1059546	87
GCF_001577465.1	NZ_CP014506.1	chromosome2	1696029	89
GCF_001577465.1	NZ_CP014507.1	pC3	1495500	89
GCF_001718315.1	NZ_CP013363.1	chromosome2	2619120	91
GCF_001718315.1	NZ_CP013364.1	pC3	905345	91
GCF_001718335.1	NZ_CP013365.1	chromosome2	2466714	92
GCF_001718335.1	NZ_CP013367.1	pC3	1014635	92
GCF_001718355.1	NZ_CP013371.1	chromosome2	3052802	93
GCF_001718355.1	NZ_CP013368.1	pC3	925790	93
GCF_001718495.1	NZ_CP013394.1	chromosome2	2428798	96
GCF_001718495.1	NZ_CP013395.1	pC3	1129355	96
GCF_001718535.1	NZ_CP013400.1	chromosome2	3050136	27
GCF_001718535.1	NZ_CP013399.1	pC3	1093546	27
GCF_001718555.1	NZ_CP013403.1	chromosome2	2967116	98
GCF_001718555.1	NZ_CP013402.1	pC3	900512	98
GCF_001718575.1	NZ_CP013406.1	chromosome2	3386917	99
GCF_001718575.1	NZ_CP013405.1	pC3	1211521	99
GCF_001718695.1	NZ_CP013422.1	chromosome2	2186651	101
GCF_001718695.1	NZ_CP013421.1	pC3	1229847	101
GCF_001718795.1	NZ_CP013438.1	chromosome2	2339576	20
GCF_001718795.1	NZ_CP013437.1	pC3	897684	20
GCF_001718835.1	NZ_CP013444.1	chromosome2	3417004	102
GCF_001718835.1	NZ_CP013442.1	pC3	835898	102
GCF_001718855.1	NZ_CP013447.1	chromosome2	3435939	103
GCF_001718855.1	NZ_CP013445.1	pC3	835894	103
GCF_001718975.1	NZ_CP013464.1	chromosome2	3094056	105
GCF_001718975.1	NZ_CP013465.1	pC3	824232	105
GCF_001718995.1	NZ_CP013466.1	chromosome2	2493865	42
GCF_001718995.1	NZ_CP013468.1	pC3	899828	42
GCF_001742165.1	NZ_CP016443.1	chromosome2	3318880	106
GCF_001742165.1	NZ_CP016444.1	pC3	1322975	106
GCF_002007585.1	NZ_CP017239.1	chromosome2	3097552	26
GCF_002007585.1	NZ_CP017240.1	pC3	1056196	26
GCF_002097715.1	NZ_CP020738.1	chromosome2	3308659	111
GCF_002097715.1	NZ_CP020739.1	pC3	641159	111
GCF_002356275.1	NZ_AP018112.1	chromosome2	3163229	113
GCF_002356275.1	NZ_AP018113.1	pC3	932264	113
GCF_003076415.1	NZ_CP021067.1	chromosome2	2856344	116
GCF_003076415.1	NZ_CP021068.1	pC3	713299	116
GCF_003330745.1	NZ_CP024906.1	chromosome2	2944711	119
GCF_003330745.1	NZ_CP024907.1	pC3	403765	119
GCF_003330765.1	NZ_CP024903.1	chromosome2	3400486	120
GCF_003330765.1	NZ_CP024904.1	pC3	984905	120
GCF_003330785.1	NZ_CP024935.1	chromosome2	2982346	121
GCF_003330785.1	NZ_CP024936.1	pC3	494503	121
GCF_003711145.1	NZ_CP024944.1	chromosome2	3706323	126
GCF_003711145.1	NZ_CP024945.1	pC3	1153372	126
GCF_003812365.1	NZ_CP033748.1	chromosome2	2331436	127
GCF_003812365.1	NZ_CP033749.1	pC3	705748	127
GCF_003812585.1	NZ_CP033745.1	chromosome2	3239301	128
GCF_003812585.1	NZ_CP033747.1	pC3	2383823	128
GCF_003812965.1	NZ_CP033854.1	chromosome2	3155590	129
GCF_003812965.1	NZ_CP033855.1	pC3	935732	129
GCF_003966315.1	NZ_CP034547.1	chromosome2	3039797	130
GCF_003966315.1	NZ_CP034546.1	pC3	1350848	130
GCF_005937855.2	NZ_CP042178.1	chromosome2	2783599	132
GCF_005937855.2	NZ_CP042179.1	pC3	1067603	132
GCF_009586235.1	NZ_CP045236.1	chromosome2	3430130	134
GCF_009586235.1	NZ_CP045237.1	pC3	1248114	134
GCF_009730035.1	NZ_CP046337.1	chromosome2	2434081	32
GCF_009730035.1	NZ_CP046338.1	pC3	702621	32
GCF_009730175.1	NZ_CP046341.1	chromosome2	2418100	135
GCF_009730175.1	NZ_CP046342.1	pC3	749962	135
GCF_009730195.1	NZ_CP046344.1	chromosome2	2365727	136
GCF_009730195.1	NZ_CP046345.1	pC3	792513	136
GCF_012689525.1	NZ_CP051515.1	chromosome2	3638240	140
GCF_012689525.1	NZ_CP051514.1	pC3	2486079	140
GCF_013378095.1	NZ_CP015959.1	chromosome2	2895821	18
GCF_013378095.1	NZ_CP015960.1	pC3	1913088	18
GCF_014211915.1	NZ_CP060040.1	chromosome2	2857915	142
GCF_014211915.1	NZ_CP060041.1	pC3	1082076	142
GCF_014854795.1	NZ_CP032011.1	chromosome2	3415325	143
GCF_014854795.1	NZ_CP032010.1	pC3	1304848	143
GCF_016899425.1	NZ_CP045995.1	chromosome2	3002449	22
GCF_016899425.1	NZ_CP045996.1	pC3	1180421	22
GCF_016899445.1	NZ_CP041778.1	chromosome2	3288546	147
GCF_016899445.1	NZ_CP041777.1	pC3	1031707	147
GCF_017165175.1	NZ_CP048442.1	chromosome2	2429771	12
GCF_017165175.1	NZ_CP048443.1	pC3	696464	12
GCF_017514945.1	NZ_CP071826.1	chromosome2	3086006	149
GCF_017514945.1	NZ_CP071827.1	pC3	1005275	149
GCF_018417535.1	NZ_CP070978.1	chromosome2	3307718	151
GCF_018417535.1	NZ_CP070979.1	pC3	1319567	151
GCF_019930785.1	NZ_CP082883.1	chromosome2	2168154	13
GCF_019930785.1	NZ_CP082884.1	pC3	617193	13
GCF_020843905.1	NZ_CP086292.1	chromosome2	2790852	153
GCF_020843905.1	NZ_CP086293.1	pC3	1172279	153
GCF_020843925.1	NZ_CP086298.1	chromosome2	2746885	154
GCF_020843925.1	NZ_CP086299.1	pC3	1156961	154
GCF_020843945.1	NZ_CP086295.1	chromosome2	3226031	47
GCF_020843945.1	NZ_CP086296.1	pC3	1053668	47
GCF_020843985.1	NZ_CP086305.1	chromosome2	2827353	155
GCF_020843985.1	NZ_CP086306.1	pC3	1172335	155
GCF_021344035.2	NZ_CP158564.1	chromosome2	3826233	157
GCF_021344035.2	NZ_CP158566.1	pC3	1328515	157
GCF_021484945.1	NZ_CP090609.1	chromosome2	3474201	158
GCF_021484945.1	NZ_CP090610.1	pC3	1422512	158
GCF_021535065.1	NZ_CP091013.1	chromosome2	3224222	159
GCF_021535065.1	NZ_CP091014.1	pC3	1096197	159
GCF_022809715.1	NZ_CP094460.1	chromosome2	3004083	161
GCF_022809715.1	NZ_CP094461.1	pC3	1053196	161
GCF_023053515.1	NZ_CP095497.1	chromosome2	3539936	166
GCF_023053515.1	NZ_CP095496.1	pC3	1397783	166
GCF_023374595.1	NZ_CP090717.1	chromosome2	2402759	23
GCF_023374595.1	NZ_CP090719.1	pC3	728078	23
GCF_023374655.1	NZ_CP090727.1	chromosome2	2437988	2
GCF_023374655.1	NZ_CP090729.1	pC3	423099	2
GCF_023374675.1	NZ_CP090732.1	chromosome2	3516028	34
GCF_023374675.1	NZ_CP090731.1	pC3	1358651	34
GCF_024072595.1	NZ_CP099625.1	chromosome2	3586118	49
GCF_024072595.1	NZ_CP099626.1	pC3	447409	49
GCF_024123895.1	NZ_CP099645.1	chromosome2	3534758	169
GCF_024123895.1	NZ_CP099644.1	pC3	434832	169
GCF_024600575.1	NZ_CP102330.1	chromosome2	3408063	170
GCF_024600575.1	NZ_CP102331.1	pC3	1406349	170
GCF_024661975.1	NZ_CP102483.1	chromosome2	3173531	171
GCF_024661975.1	NZ_CP102484.1	pC3	1246460	171
GCF_024664135.1	NZ_CP100257.1	chromosome2	2880619	1
GCF_024664135.1	NZ_CP100258.1	pC3	362586	1
GCF_024732225.1	NZ_CP091308.1	chromosome2	3026422	172
GCF_024732225.1	NZ_CP091309.1	pC3	880277	172
GCF_025560745.1	NZ_CP090484.1	chromosome2	3361469	173
GCF_025560745.1	NZ_CP090482.1	pC3	1195610	173
GCF_025643495.1	NZ_CP102459.1	chromosome2	2259977	174
GCF_025643495.1	NZ_CP102460.1	pC3	559470	174
GCF_025643515.1	NZ_CP102463.1	chromosome2	3158005	175
GCF_025643515.1	NZ_CP102464.1	pC3	1349539	175
GCF_026683835.2	NZ_CP113271.2	chromosome2	2696226	176
GCF_026683835.2	NZ_CP113270.2	pC3	1200316	176
GCF_026683855.2	NZ_CP113277.2	chromosome2	2647171	15
GCF_026683855.2	NZ_CP113276.2	pC3	1279812	15
GCF_026958255.1	NZ_CP092844.1	chromosome2	2728612	177
GCF_026958255.1	NZ_CP092845.1	pC3	1179612	177
GCF_028462305.2	NZ_CP159410.1	chromosome2	3460727	178
GCF_028462305.2	NZ_CP159411.1	pC3	1229589	178
GCF_028657905.1	NZ_CP117781.1	chromosome2	3002736	180
GCF_028657905.1	NZ_CP117780.1	pC3	591164	180
GCF_029633645.1	NZ_CP090633.1	chromosome2	3330511	30
GCF_029633645.1	NZ_CP090634.1	pC3	1352714	30
GCF_029633805.1	NZ_CP090636.1	chromosome2	3207179	182
GCF_029633805.1	NZ_CP090637.1	pC3	1577351	182
GCF_029910215.1	NZ_CP110396.1	chromosome2	3338875	184
GCF_029910215.1	NZ_CP110397.1	pC3	501257	184
GCF_029962485.1	NZ_CP073638.1	chromosome2	3267341	185
GCF_029962485.1	NZ_CP073639.1	pC3	892866	185
GCF_030374675.1	NZ_CP126320.1	chromosome2	3002478	186
GCF_030374675.1	NZ_CP126322.1	pC3	1022242	186
GCF_030848725.1	NZ_CP132923.1	chromosome2	2211974	188
GCF_030848725.1	NZ_CP132924.1	pC3	828162	188
GCF_032806925.1	NZ_CP136512.1	chromosome2	3052929	191
GCF_032806925.1	NZ_CP136511.1	pC3	1798776	191
GCF_033675325.1	NZ_QXCU01000002.1	chromosome2	3329779	193
GCF_033675325.1	NZ_QXCU01000004.1	pC3	1312533	193
GCF_037055255.1	NZ_CP146377.1	chromosome2	3596266	195
GCF_037055255.1	NZ_CP146378.1	pC3	1309808	195
GCF_038452255.1	NZ_CP150850.1	chromosome2	3466835	202
GCF_038452255.1	NZ_CP150851.1	pC3	848493	202
GCF_039848545.1	NZ_CP156686.1	chromosome2	3167812	43
GCF_039848545.1	NZ_CP156687.1	pC3	873368	43
GCF_039852015.1	NZ_CP156627.1	chromosome2	1581533	205
GCF_039852015.1	NZ_CP156628.1	pC3	1220225	205
GCF_040735455.1	NZ_CP136804.1	chromosome2	2809008	207
GCF_040735455.1	NZ_CP136805.1	pC3	1062595	207
GCF_041205585.2	NZ_CM145222.1	chromosome2	3164445	4
