query	n_genomes_any_hit	n_tier1	n_tier2_only	n_tier3_only	n_genomes_total
MF6_001079	5	5	0	0	770
MF6_002734	768	649	0	119	770
MF6_003184	450	63	0	14	770
MF6_003684_2514_2867	9	9	0	0	770
MF6_003684_full	256	9	0	0	770
MF6_003686	30	0	17	0	770
MF6_003843	462	447	1	0	770
MF6_004284_1434_1538	7	5	2	0	770
MF6_004284_full	720	9	0	0	770
MF6_004285	8	5	0	0	770
MF6_004947	489	487	2	0	770
MF6_006318	669	665	4	0	770
