## Thu Aug  6 17:01:22 2026
## emapper-2.1.12
## /opt/miniconda3/envs/eggNOG-mapper/bin/emapper.py -i /home/andrey/scripts/MF6_proteomics_V2/data/annotation/annot.faa --itype proteins -m diamond --sensmode sensitive --dmnd_iterate no --block_size 0.4 --index_chunks 4 --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign realign --report_orthologs --excel --cpu 12 --data_dir /home/andrey/eggnog_db --temp_dir /home/andrey/scripts/MF6_proteomics_V2/data/annotation/eggnog/tmp --output annot --output_dir /home/andrey/scripts/MF6_proteomics_V2/data/annotation/eggnog --override
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
gnl|extdb|AC1V0C_08370	292.DM42_53	0.0	2992.0	COG1020@1|root,COG1020@2|Bacteria,1QK4F@1224|Proteobacteria,2VHRU@28216|Betaproteobacteria,1JZUU@119060|Burkholderiaceae	28216|Betaproteobacteria	Q	amino acid adenylation domain protein	orbJ	-	-	-	-	-	-	-	-	-	-	-	AMP-binding,AMP-binding_C,Condensation,PP-binding
gnl|extdb|AC1V0C_08375	216591.BCAL1698	1.34e-236	652.0	COG1670@1|root,COG1670@2|Bacteria,1MWIE@1224|Proteobacteria,2VM1Q@28216|Betaproteobacteria,1K7AQ@119060|Burkholderiaceae	28216|Betaproteobacteria	J	Siderophore biosynthesis protein domain	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_8
gnl|extdb|AC1V0C_08380	292.DM42_51	0.0	890.0	COG3486@1|root,COG3486@2|Bacteria,1MX36@1224|Proteobacteria,2VMIK@28216|Betaproteobacteria,1K1PP@119060|Burkholderiaceae	28216|Betaproteobacteria	Q	L-lysine 6-monooxygenase (NADPH-requiring)	pvdA	-	1.14.13.195,1.14.13.196,1.14.13.59	ko:K03897,ko:K10531	ko00310,ko01120,map00310,map01120	-	R00448	RC00298	ko00000,ko00001,ko01000	-	-	-	K_oxygenase
gnl|extdb|AC1V0C_08390	292.DM42_49	3.18e-200	554.0	COG0299@1|root,COG0299@2|Bacteria,1QDP4@1224|Proteobacteria,2VNR2@28216|Betaproteobacteria,1K4HJ@119060|Burkholderiaceae	28216|Betaproteobacteria	F	Formyl transferase	-	-	-	-	-	-	-	-	-	-	-	-	Formyl_trans_N
gnl|extdb|AC1V0C_08395	216591.BCAL1702	8.23e-249	682.0	COG1670@1|root,COG1670@2|Bacteria,1MWIE@1224|Proteobacteria,2VM1Q@28216|Betaproteobacteria,1K6UI@119060|Burkholderiaceae	28216|Betaproteobacteria	J	Siderophore biosynthesis protein domain	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_8
gnl|extdb|AC1V0C_08405	339670.Bamb_1545	9.3e-81	241.0	COG1487@1|root,COG1487@2|Bacteria,1MZB6@1224|Proteobacteria,2VWH6@28216|Betaproteobacteria,1KA37@119060|Burkholderiaceae	28216|Betaproteobacteria	S	Toxic component of a toxin-antitoxin (TA) module. An RNase	vapC	-	-	ko:K18828	-	-	-	-	ko00000,ko01000,ko02048,ko03016	-	-	-	PIN
gnl|extdb|AC1V0C_08410	339670.Bamb_1548	1.66e-181	509.0	COG4849@1|root,COG4849@2|Bacteria,1N4EJ@1224|Proteobacteria,2VZXQ@28216|Betaproteobacteria,1KFQB@119060|Burkholderiaceae	28216|Betaproteobacteria	S	Nucleotidyl transferase AbiEii toxin, Type IV TA system	-	-	-	-	-	-	-	-	-	-	-	-	AbiEii
gnl|extdb|AC1V0C_08420	216591.BCAL1703	6.61e-277	757.0	COG1473@1|root,COG1473@2|Bacteria,1MUIV@1224|Proteobacteria,2VIS0@28216|Betaproteobacteria,1K085@119060|Burkholderiaceae	28216|Betaproteobacteria	S	amidohydrolase	-	-	3.5.1.32	ko:K01451	ko00360,map00360	-	R01424	RC00096,RC00162	ko00000,ko00001,ko01000,ko01002	-	-	-	M20_dimer,Peptidase_M20
gnl|extdb|AC1V0C_08425	292.DM42_46	2.83e-15	71.6	COG3609@1|root,COG3609@2|Bacteria,1N9NJ@1224|Proteobacteria,2VXJZ@28216|Betaproteobacteria,1KHFW@119060|Burkholderiaceae	28216|Betaproteobacteria	K	addiction module antidote protein, CC2985 family	-	-	-	ko:K07746	-	-	-	-	ko00000,ko02048	-	-	-	ParD_antitoxin
gnl|extdb|AC1V0C_08430	292.DM42_45	1.79e-287	788.0	COG1797@1|root,COG1797@2|Bacteria,1MV7Z@1224|Proteobacteria,2VI93@28216|Betaproteobacteria,1K1C9@119060|Burkholderiaceae	28216|Betaproteobacteria	H	Catalyzes the ATP-dependent amidation of the two carboxylate groups at positions a and c of cobyrinate, using either L-glutamine or ammonia as the nitrogen source	cbiA	-	6.3.5.11,6.3.5.9	ko:K02224	ko00860,ko01100,ko01120,map00860,map01100,map01120	-	R05224,R05815	RC00010,RC01301	ko00000,ko00001,ko01000	-	-	-	CbiA,GATase_3
gnl|extdb|AC1V0C_08435	216591.BCAL1706	4.54e-138	390.0	COG2109@1|root,COG2109@2|Bacteria,1MUN6@1224|Proteobacteria,2VM7I@28216|Betaproteobacteria,1K1XA@119060|Burkholderiaceae	28216|Betaproteobacteria	H	Required for both de novo synthesis of the corrin ring for the assimilation of exogenous corrinoids. Participates in the adenosylation of a variety of incomplete and complete corrinoids	cobO	-	2.5.1.17	ko:K19221	ko00860,ko01100,map00860,map01100	M00122	R01492,R05220,R07268	RC00533	ko00000,ko00001,ko00002,ko01000	-	-	-	CobA_CobO_BtuR
gnl|extdb|AC1V0C_08440	216591.BCAL1707	1.93e-73	221.0	COG2073@1|root,COG2073@2|Bacteria,1RHAC@1224|Proteobacteria,2VSRI@28216|Betaproteobacteria,1K8HZ@119060|Burkholderiaceae	28216|Betaproteobacteria	H	Cobalamin synthesis G C-terminus	cbiGb	-	3.7.1.12	ko:K02189	ko00860,ko01100,map00860,map01100	-	R07772	RC01545,RC02097	ko00000,ko00001,ko01000	-	-	-	CbiG_C
gnl|extdb|AC1V0C_08445	339670.Bamb_1554	1.26e-159	452.0	COG0007@1|root,COG0007@2|Bacteria,1MUI0@1224|Proteobacteria,2VICS@28216|Betaproteobacteria,1K18K@119060|Burkholderiaceae	28216|Betaproteobacteria	H	PFAM Uroporphyrin-III C tetrapyrrole (Corrin Porphyrin) methyltransferase	cobA1	-	2.1.1.107	ko:K02303	ko00860,ko01100,ko01110,ko01120,map00860,map01100,map01110,map01120	M00121	R03194	RC00003,RC00871	ko00000,ko00001,ko00002,ko01000	-	-	-	TP_methylase
gnl|extdb|AC1V0C_08450	1437448.AZRT01000023_gene1365	3.64e-61	216.0	COG4943@1|root,COG4943@2|Bacteria,1MVTH@1224|Proteobacteria,2V7DX@28211|Alphaproteobacteria,1J3V4@118882|Brucellaceae	28211|Alphaproteobacteria	T	CSS motif domain associated with EAL	-	-	-	-	-	-	-	-	-	-	-	-	CSS-motif,EAL
