# DeepLocPro subcellular localisation per protein.  This replaces a three-tool
# summary (SignalP 6 + DeepTMHMM + DeepLocPro); the other two tools' columns
# reached no published table or figure.
protein_id	deeplocpro_localization
gnl|extdb|AC1V0C_00005	Cytoplasmic
gnl|extdb|AC1V0C_00010	Cytoplasmic
gnl|extdb|AC1V0C_00015	Cytoplasmic
gnl|extdb|AC1V0C_00020	Cytoplasmic
gnl|extdb|AC1V0C_00025	Cytoplasmic
gnl|extdb|AC1V0C_00030	Cytoplasmic
gnl|extdb|AC1V0C_00035	Cytoplasmic
gnl|extdb|AC1V0C_00040	Cytoplasmic
gnl|extdb|AC1V0C_00045	Cytoplasmic
gnl|extdb|AC1V0C_00050	Cytoplasmic
gnl|extdb|AC1V0C_00055	Cytoplasmic
gnl|extdb|AC1V0C_00075	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00080	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00085	Cytoplasmic
gnl|extdb|AC1V0C_00090	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00095	Cytoplasmic
gnl|extdb|AC1V0C_00100	Cytoplasmic
gnl|extdb|AC1V0C_00105	Cytoplasmic
gnl|extdb|AC1V0C_00115	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00120	Cytoplasmic
gnl|extdb|AC1V0C_00125	Periplasmic
gnl|extdb|AC1V0C_00130	Cytoplasmic
gnl|extdb|AC1V0C_00135	Cytoplasmic
gnl|extdb|AC1V0C_00140	Outer Membrane
gnl|extdb|AC1V0C_00145	Outer Membrane
gnl|extdb|AC1V0C_00150	Periplasmic
gnl|extdb|AC1V0C_00155	Cytoplasmic
gnl|extdb|AC1V0C_00160	Cytoplasmic
gnl|extdb|AC1V0C_00165	Outer Membrane
gnl|extdb|AC1V0C_00170	Cytoplasmic
gnl|extdb|AC1V0C_00175	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00180	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00185	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00190	Periplasmic
gnl|extdb|AC1V0C_00195	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00200	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00205	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00210	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00215	Cytoplasmic
gnl|extdb|AC1V0C_00220	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00225	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00230	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00235	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00240	Cytoplasmic
gnl|extdb|AC1V0C_00245	Cytoplasmic
gnl|extdb|AC1V0C_00250	Cytoplasmic
gnl|extdb|AC1V0C_00255	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00260	Cytoplasmic
gnl|extdb|AC1V0C_00265	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00270	Outer Membrane
gnl|extdb|AC1V0C_00275	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00280	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00285	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00290	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00295	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00300	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00305	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00310	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00315	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00320	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00325	Cytoplasmic
gnl|extdb|AC1V0C_00330	Outer Membrane
gnl|extdb|AC1V0C_00335	Periplasmic
gnl|extdb|AC1V0C_00340	Cytoplasmic
gnl|extdb|AC1V0C_00345	Cytoplasmic
gnl|extdb|AC1V0C_00350	Cytoplasmic
gnl|extdb|AC1V0C_00355	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00360	Cytoplasmic
gnl|extdb|AC1V0C_00365	Cytoplasmic
gnl|extdb|AC1V0C_00370	Cytoplasmic
gnl|extdb|AC1V0C_00375	Cytoplasmic
gnl|extdb|AC1V0C_00380	Cytoplasmic
gnl|extdb|AC1V0C_00385	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00390	Cytoplasmic
gnl|extdb|AC1V0C_00395	Cytoplasmic
gnl|extdb|AC1V0C_00400	Cytoplasmic
gnl|extdb|AC1V0C_00405	Cytoplasmic
gnl|extdb|AC1V0C_00410	Cytoplasmic
gnl|extdb|AC1V0C_00415	Cytoplasmic
gnl|extdb|AC1V0C_00420	Cytoplasmic
gnl|extdb|AC1V0C_00425	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00430	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00435	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00440	Periplasmic
gnl|extdb|AC1V0C_00445	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00450	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00455	Extracellular
gnl|extdb|AC1V0C_00460	Periplasmic
gnl|extdb|AC1V0C_00465	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00470	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00475	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00480	Cytoplasmic
gnl|extdb|AC1V0C_00485	Cytoplasmic
gnl|extdb|AC1V0C_00490	Cytoplasmic
gnl|extdb|AC1V0C_00495	Cytoplasmic
gnl|extdb|AC1V0C_00500	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00505	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00510	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00515	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00520	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00525	Cytoplasmic Membrane
gnl|extdb|AC1V0C_00530	Cytoplasmic
gnl|extdb|AC1V0C_00535	Cytoplasmic
gnl|extdb|AC1V0C_00540	Cytoplasmic
gnl|extdb|AC1V0C_00545	Cytoplasmic
gnl|extdb|AC1V0C_00550	Cytoplasmic
gnl|extdb|AC1V0C_00555	Periplasmic
gnl|extdb|AC1V0C_00560	Cytoplasmic
gnl|extdb|AC1V0C_00565	Cytoplasmic
gnl|extdb|AC1V0C_00570	Cytoplasmic
gnl|extdb|AC1V0C_00575	Periplasmic
gnl|extdb|AC1V0C_00580	Outer Membrane
gnl|extdb|AC1V0C_00585	Periplasmic
