accession	contig	size_rank	length	cds	ribosomal_proteins	core_markers	n_core_markers	replicon_type
GCA_017356705.2	CP071525.1	1	7387439	6070	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1_fused
GCA_017356705.2	CP076288.1	2	3213568	2518	1		0	secondary_large
GCA_017356725.2	CP071526.1	1	7387707	6066	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1_fused
GCA_017356725.2	CP076289.1	2	3240692	2509	1		0	secondary_large
GCA_020887275.1	AP022305.1	1	3128653	2929	55	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCA_020887275.1	AP022306.1	2	1743356	1626	0		0	secondary_large
GCA_020887275.1	AP022307.1	3	1615796	1457	0		0	secondary_large
GCA_020887275.1	AP022308.1	4	1517105	1393	0		0	secondary_large
GCA_020887275.1	AP022309.1	5	494197	467	0		0	secondary_large
GCA_020887275.1	AP022310.1	6	481972	495	0		0	secondary_large
GCA_020887275.1	AP022311.1	7	246373	239	3		0	small_plasmid
GCA_020887275.1	AP022312.1	8	179010	185	0		0	small_plasmid
GCA_024298805.1	CP101279.1	1	3988163	3859	51	dnaA;dnaN;ftsZ;gyrB;rpoB;rpoC	6	chromosome1
GCA_024298805.1	CP101280.1	2	3290308	3104	1		0	secondary_large
GCA_024298805.1	CP101281.1	3	1441107	1353	0		0	secondary_large
GCA_024298805.1	CP101282.1	4	105779	150	0		0	small_plasmid
GCA_029762415.1	CP121773.1	1	4187756	4252	45	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCA_029762415.1	CP121774.1	2	3892275	3789	2		0	secondary_large
GCA_029762415.1	CP121775.1	3	177327	197	0	ftsZ	1	small_plasmid
GCA_040954445.1	CP144361.1	1	1892292	2889	35	dnaA;ftsZ;rpoB;rpoC	4	chromosome1
GCA_040954445.1	CP144362.1	2	551157	675	1		0	secondary_large
GCA_040954445.1	CP144363.1	3	59773	111	0		0	small_plasmid
