accession	cluster_id	cluster_size	is_representative
GCA_017356705.2	0	233	True
GCA_017356725.2	0	233	False
GCA_020887275.1	62	1	True
GCA_024298805.1	5	13	True
GCA_029762415.1	8	8	True
GCA_040954445.1	63	1	True
GCA_048918525.1	9	8	True
GCA_051027405.1	37	2	True
GCA_055387565.1	0	233	False
GCA_056494915.1	64	1	True
GCA_059696275.1	65	1	True
GCA_964417475.2	0	233	False
GCA_965199415.1	0	233	False
GCA_965199775.1	0	233	False
GCA_965217235.1	66	1	True
GCA_965217245.1	67	1	True
GCA_980298765.1	0	233	False
GCF_000009485.1	4	20	True
GCF_000010545.1	38	2	True
GCF_000011545.1	0	233	False
GCF_000011705.1	0	233	False
GCF_000012365.1	3	26	True
GCF_000012785.1	0	233	False
GCF_000012945.1	39	2	True
GCF_000013645.1	40	2	True
GCF_000015465.1	0	233	False
GCF_000015605.1	0	233	False
GCF_000015625.1	0	233	False
GCF_000015905.1	0	233	False
GCF_000015925.1	0	233	False
GCF_000016205.1	6	13	True
GCF_000018505.1	38	2	False
GCF_000019505.1	68	1	True
GCF_000019925.1	69	1	True
GCF_000020045.1	70	1	True
GCF_000020125.1	71	1	True
GCF_000022645.2	1	52	True
GCF_000092885.1	72	1	True
GCF_000194745.1	9	8	False
GCF_000198775.1	41	2	True
GCF_000203915.1	15	5	True
GCF_000203955.1	26	3	True
GCF_000236065.1	73	1	True
GCF_000236215.2	4	20	False
GCF_000260515.1	0	233	False
GCF_000262695.1	6	13	False
GCF_000292915.1	74	1	True
GCF_000294635.1	0	233	False
GCF_000300095.1	75	1	True
GCF_000385525.1	16	5	True
GCF_000402035.1	76	1	True
GCF_000439695.1	0	233	False
GCF_000494855.1	0	233	False
GCF_000511895.1	0	233	False
GCF_000511915.1	0	233	False
GCF_000520895.1	0	233	False
GCF_000521645.1	0	233	False
GCF_000522545.2	77	1	True
GCF_000567905.1	3	26	False
GCF_000567925.1	3	26	False
GCF_000567945.1	3	26	False
GCF_000583835.1	0	233	False
GCF_000701165.1	10	8	True
GCF_000705535.2	27	3	True
GCF_000706745.1	3	26	False
GCF_000755725.1	78	1	True
GCF_000755765.1	0	233	False
GCF_000755785.1	0	233	False
GCF_000755805.1	4	20	False
GCF_000755825.1	0	233	False
GCF_000755845.1	0	233	False
GCF_000755865.1	0	233	False
GCF_000755885.1	0	233	False
GCF_000755905.1	0	233	False
GCF_000755925.1	0	233	False
GCF_000755945.1	0	233	False
GCF_000755965.1	0	233	False
GCF_000755985.1	17	5	True
GCF_000756005.1	42	2	True
GCF_000756025.1	0	233	False
GCF_000756045.1	40	2	False
GCF_000756065.1	0	233	False
GCF_000756085.1	0	233	False
GCF_000756125.1	0	233	False
GCF_000756145.1	0	233	False
GCF_000756165.1	0	233	False
GCF_000756185.1	0	233	False
GCF_000757015.2	0	233	False
GCF_000757035.2	0	233	False
GCF_000762285.1	0	233	False
GCF_000764575.1	0	233	False
GCF_000764595.1	3	26	False
GCF_000764955.1	20	4	True
GCF_000765375.1	3	26	False
GCF_000770395.1	0	233	False
GCF_000770455.1	0	233	False
GCF_000770495.1	0	233	False
GCF_000770515.1	0	233	False
GCF_000770535.1	0	233	False
GCF_000770565.1	0	233	False
GCF_000808035.2	3	26	False
GCF_000828875.1	79	1	True
GCF_000835205.1	28	3	True
GCF_000953095.1	0	233	False
GCF_000954175.1	0	233	False
GCF_000959125.1	0	233	False
GCF_000959145.1	0	233	False
GCF_000959165.1	0	233	False
GCF_000959185.1	0	233	False
GCF_000959205.1	0	233	False
GCF_000959225.1	0	233	False
GCF_000959245.1	80	1	True
GCF_000959265.1	0	233	False
GCF_000959285.1	0	233	False
GCF_000959305.1	0	233	False
GCF_000959325.1	16	5	False
GCF_000959345.1	0	233	False
GCF_000959365.1	17	5	False
GCF_000959405.1	0	233	False
GCF_000959425.1	3	26	False
GCF_000959445.1	6	13	False
GCF_000959465.1	0	233	False
GCF_000959485.1	0	233	False
GCF_000959505.1	13	6	True
GCF_000959525.1	2	29	True
GCF_000959545.1	15	5	False
GCF_000959605.1	3	26	False
GCF_000959625.1	0	233	False
GCF_000959725.1	8	8	False
GCF_000960995.1	1	52	False
GCF_000961515.1	29	3	True
GCF_000974835.2	13	6	False
GCF_001028665.1	81	1	True
GCF_001029145.1	30	3	True
GCF_001277875.1	0	233	False
GCF_001277895.1	0	233	False
GCF_001277975.1	0	233	False
GCF_001293045.1	82	1	True
GCF_001318245.1	0	233	False
GCF_001411495.1	14	6	True
GCF_001411805.1	28	3	False
GCF_001449005.1	18	5	True
GCF_001484665.1	4	20	False
GCF_001513745.1	16	5	False
GCF_001522105.2	17	5	False
GCF_001522135.2	17	5	False
GCF_001522585.2	83	1	True
GCF_001522635.2	84	1	True
GCF_001523745.2	85	1	True
GCF_001523915.2	86	1	True
GCF_001524445.2	31	3	True
GCF_001524625.2	31	3	False
GCF_001524645.2	87	1	True
GCF_001532025.2	31	3	False
GCF_001557535.2	88	1	True
GCF_001577465.1	89	1	True
GCF_001606115.1	4	20	False
GCF_001606135.1	4	20	False
GCF_001611015.1	18	5	False
GCF_001634365.1	90	1	True
GCF_001695715.1	0	233	False
GCF_001695735.1	0	233	False
GCF_001718295.1	3	26	False
GCF_001718315.1	91	1	True
GCF_001718335.1	92	1	True
GCF_001718355.1	93	1	True
GCF_001718395.1	94	1	True
GCF_001718415.1	95	1	True
GCF_001718495.1	96	1	True
GCF_001718515.1	97	1	True
GCF_001718535.1	27	3	False
GCF_001718555.1	98	1	True
GCF_001718575.1	99	1	True
GCF_001718595.1	3	26	False
GCF_001718615.1	3	26	False
GCF_001718635.1	3	26	False
GCF_001718655.1	100	1	True
GCF_001718695.1	101	1	True
GCF_001718755.1	2	29	False
GCF_001718775.1	6	13	False
GCF_001718795.1	20	4	False
GCF_001718815.1	6	13	False
GCF_001718835.1	102	1	True
GCF_001718855.1	103	1	True
GCF_001718875.1	104	1	True
GCF_001718895.1	4	20	False
GCF_001718915.1	6	13	False
GCF_001718955.1	43	2	True
GCF_001718975.1	105	1	True
GCF_001718995.1	42	2	False
GCF_001729545.1	0	233	False
GCF_001742165.1	106	1	True
GCF_001865575.2	107	1	True
GCF_001885195.1	0	233	False
GCF_001887555.1	0	233	False
GCF_001887575.1	0	233	False
GCF_001922345.1	108	1	True
GCF_001975065.1	0	233	False
GCF_001975085.1	0	233	False
GCF_001975105.1	0	233	False
GCF_001975125.1	0	233	False
GCF_001975145.1	0	233	False
GCF_001980585.2	0	233	False
GCF_001999785.1	109	1	True
GCF_001999825.1	110	1	True
GCF_001999885.1	4	20	False
GCF_002007585.1	26	3	False
GCF_002097715.1	111	1	True
GCF_002110945.1	0	233	False
GCF_002110965.1	0	233	False
GCF_002111005.1	0	233	False
GCF_002111025.1	0	233	False
GCF_002111045.1	0	233	False
GCF_002111085.1	0	233	False
GCF_002111105.1	0	233	False
GCF_002111125.1	0	233	False
GCF_002111145.1	0	233	False
GCF_002111165.1	0	233	False
GCF_002111205.1	0	233	False
GCF_002111225.1	0	233	False
GCF_002111245.1	0	233	False
GCF_002111265.1	0	233	False
GCF_002111285.1	0	233	False
GCF_002111305.1	0	233	False
GCF_002111325.1	0	233	False
GCF_002111345.1	0	233	False
GCF_002111365.1	0	233	False
GCF_002111385.1	0	233	False
GCF_002208175.1	8	8	False
GCF_002209085.2	14	6	False
GCF_002278075.1	112	1	True
GCF_002345985.1	0	233	False
GCF_002346005.1	0	233	False
GCF_002346025.1	0	233	False
GCF_002346045.1	0	233	False
GCF_002346065.1	0	233	False
GCF_002346085.1	0	233	False
GCF_002346105.1	0	233	False
GCF_002346125.1	0	233	False
GCF_002346145.1	0	233	False
GCF_002346165.1	0	233	False
GCF_002346185.1	0	233	False
GCF_002346205.1	0	233	False
GCF_002356275.1	113	1	True
GCF_002386205.1	16	5	False
GCF_002393425.1	11	7	True
GCF_002407525.2	14	6	False
GCF_002843645.1	0	233	False
GCF_002860065.1	0	233	False
GCF_002902925.1	114	1	True
GCF_002902945.1	18	5	False
GCF_002902965.1	115	1	True
GCF_003019945.1	6	13	False
GCF_003019965.1	2	29	False
GCF_003020025.1	3	26	False
GCF_003020185.1	3	26	False
GCF_003076415.1	116	1	True
GCF_003233675.1	117	1	True
GCF_003286395.1	118	1	True
GCF_003330745.1	119	1	True
GCF_003330765.1	120	1	True
GCF_003330785.1	121	1	True
GCF_003330805.1	122	1	True
GCF_003330825.1	123	1	True
GCF_003366075.1	124	1	True
GCF_003368325.1	125	1	True
GCF_003445415.1	0	233	False
GCF_003546465.1	14	6	False
GCF_003547015.1	0	233	False
GCF_003547035.1	0	233	False
GCF_003547055.1	0	233	False
GCF_003568605.1	3	26	False
GCF_003606245.1	0	233	False
GCF_003613595.1	8	8	False
GCF_003614815.1	3	26	False
GCF_003614835.1	3	26	False
GCF_003704285.1	30	3	False
GCF_003711145.1	126	1	True
GCF_003713105.1	44	2	True
GCF_003798245.1	0	233	False
GCF_003798265.1	0	233	False
GCF_003798365.1	0	233	False
GCF_003812365.1	127	1	True
GCF_003812585.1	128	1	True
GCF_003812965.1	129	1	True
GCF_003813045.1	13	6	False
GCF_003966315.1	130	1	True
GCF_004323015.1	0	233	False
GCF_004323035.1	0	233	False
GCF_004348055.1	0	233	False
GCF_004348075.1	0	233	False
GCF_004367665.1	0	233	False
GCF_004367685.1	0	233	False
GCF_004367705.1	0	233	False
GCF_004367725.1	0	233	False
GCF_004526325.1	0	233	False
GCF_004842085.1	0	233	False
GCF_005280735.1	131	1	True
GCF_005853645.1	0	233	False
GCF_005862325.1	0	233	False
GCF_005937855.2	132	1	True
GCF_006094315.1	14	6	False
GCF_007556815.1	133	1	True
GCF_007724625.1	5	13	False
GCF_008693485.1	2	29	False
GCF_008693525.1	2	29	False
GCF_008728255.1	0	233	False
GCF_008728275.1	0	233	False
GCF_008728295.1	0	233	False
GCF_008728315.1	0	233	False
GCF_008728335.1	0	233	False
GCF_008728355.1	0	233	False
GCF_008728375.1	0	233	False
GCF_009191525.1	5	13	False
GCF_009578005.1	1	52	False
GCF_009586235.1	134	1	True
GCF_009730035.1	32	3	True
GCF_009730175.1	135	1	True
GCF_009730195.1	136	1	True
GCF_009749345.1	0	233	False
GCF_009755625.1	5	13	False
GCF_009789655.1	137	1	True
GCF_009789675.1	138	1	True
GCF_009857095.1	1	52	False
GCF_009931375.1	1	52	False
GCF_009938265.1	139	1	True
GCF_011039955.1	45	2	True
GCF_011493005.1	45	2	False
GCF_011578485.1	3	26	False
GCF_012689525.1	140	1	True
GCF_012974245.1	1	52	False
GCF_013122645.1	1	52	False
GCF_013307145.1	1	52	False
GCF_013307165.1	1	52	False
GCF_013378095.1	18	5	False
GCF_013426895.1	33	3	True
GCF_013426915.1	141	1	True
GCF_013822785.1	6	13	False
GCF_014171495.1	46	2	True
GCF_014211915.1	142	1	True
GCF_014263355.1	21	4	True
GCF_014357995.1	4	20	False
GCF_014854795.1	143	1	True
GCF_016026055.1	1	52	False
GCF_016027435.1	17	5	False
GCF_016027455.1	16	5	False
GCF_016127755.1	15	5	False
GCF_016128195.1	144	1	True
GCF_016458785.1	145	1	True
GCF_016458805.1	146	1	True
GCF_016598875.1	1	52	False
GCF_016698705.1	21	4	False
GCF_016774495.1	3	26	False
GCF_016864355.1	0	233	False
GCF_016889205.1	13	6	False
GCF_016899425.1	22	4	True
GCF_016899445.1	147	1	True
GCF_017165175.1	12	7	True
GCF_017165195.1	12	7	False
GCF_017165475.1	12	7	False
GCF_017165495.1	12	7	False
GCF_017165515.1	12	7	False
GCF_017165535.1	12	7	False
GCF_017165555.1	12	7	False
GCF_017220215.1	148	1	True
GCF_017378155.1	0	233	False
GCF_017378195.1	0	233	False
GCF_017378235.1	0	233	False
GCF_017378275.1	0	233	False
GCF_017378315.2	0	233	False
GCF_017378355.1	0	233	False
GCF_017378435.1	0	233	False
GCF_017514945.1	149	1	True
GCF_017815595.1	20	4	False
GCF_017815615.1	20	4	False
GCF_017858835.1	1	52	False
GCF_018223765.1	4	20	False
GCF_018223785.1	5	13	False
GCF_018223805.1	4	20	False
GCF_018228345.1	0	233	False
GCF_018228385.1	0	233	False
GCF_018228525.1	0	233	False
GCF_018228545.1	0	233	False
GCF_018228565.1	0	233	False
GCF_018228585.1	0	233	False
GCF_018228605.1	0	233	False
GCF_018228625.1	4	20	False
GCF_018408855.1	150	1	True
GCF_018417535.1	151	1	True
GCF_018771365.1	0	233	False
GCF_019428685.1	152	1	True
GCF_019915365.1	5	13	False
GCF_019930785.1	13	6	False
GCF_020099355.1	6	13	False
GCF_020544345.1	18	5	False
GCF_020736245.1	13	6	False
GCF_020843905.1	153	1	True
GCF_020843925.1	154	1	True
GCF_020843945.1	47	2	True
GCF_020843965.1	47	2	False
GCF_020843985.1	155	1	True
GCF_020885575.1	156	1	True
GCF_021344035.2	157	1	True
GCF_021484945.1	158	1	True
GCF_021535065.1	159	1	True
GCF_021899435.1	160	1	True
GCF_022213445.1	6	13	False
GCF_022533485.1	5	13	False
GCF_022809715.1	161	1	True
GCF_022879575.1	162	1	True
GCF_022879595.1	163	1	True
GCF_022879615.1	164	1	True
GCF_022879815.1	165	1	True
GCF_023053515.1	166	1	True
GCF_023169865.1	167	1	True
GCF_023170545.1	168	1	True
GCF_023373625.1	2	29	False
GCF_023373645.1	2	29	False
GCF_023373665.1	2	29	False
GCF_023373685.1	2	29	False
GCF_023373725.1	6	13	False
GCF_023374315.1	2	29	False
GCF_023374335.1	4	20	False
GCF_023374355.1	2	29	False
GCF_023374375.1	23	4	True
GCF_023374395.1	2	29	False
GCF_023374415.1	23	4	False
GCF_023374435.1	32	3	False
GCF_023374455.1	2	29	False
GCF_023374475.1	34	3	True
GCF_023374495.1	2	29	False
GCF_023374515.1	2	29	False
GCF_023374535.1	2	29	False
GCF_023374575.1	2	29	False
GCF_023374595.1	23	4	False
GCF_023374615.1	2	29	False
GCF_023374635.1	2	29	False
GCF_023374655.1	2	29	False
GCF_023374675.1	34	3	False
GCF_023374695.1	2	29	False
GCF_023374715.1	34	3	False
GCF_023374735.1	2	29	False
GCF_023374755.1	2	29	False
GCF_023374775.1	2	29	False
GCF_023374795.1	2	29	False
GCF_023374815.1	2	29	False
GCF_023374835.1	4	20	False
GCF_023374855.1	4	20	False
GCF_023374875.1	23	4	False
GCF_023374895.1	2	29	False
GCF_023658595.1	48	2	True
GCF_024022955.1	1	52	False
GCF_024072595.1	49	2	True
GCF_024072715.1	49	2	False
GCF_024123895.1	169	1	True
GCF_024381035.2	10	8	False
GCF_024600575.1	170	1	True
GCF_024661975.1	171	1	True
GCF_024662395.1	1	52	False
GCF_024662415.1	1	52	False
GCF_024662435.1	1	52	False
GCF_024662455.1	1	52	False
GCF_024662475.1	1	52	False
GCF_024662615.1	1	52	False
GCF_024662735.1	1	52	False
GCF_024662895.1	1	52	False
GCF_024663015.1	1	52	False
GCF_024663135.1	1	52	False
GCF_024663255.1	1	52	False
GCF_024663375.1	1	52	False
GCF_024663615.1	1	52	False
GCF_024663775.1	1	52	False
GCF_024663895.1	1	52	False
GCF_024663975.1	1	52	False
GCF_024663995.1	1	52	False
GCF_024664015.1	1	52	False
GCF_024664035.1	1	52	False
GCF_024664055.1	1	52	False
GCF_024664075.1	1	52	False
GCF_024664095.1	1	52	False
GCF_024664115.1	1	52	False
GCF_024664135.1	1	52	False
GCF_024664155.1	1	52	False
GCF_024664175.1	1	52	False
GCF_024664195.1	1	52	False
GCF_024664215.1	1	52	False
GCF_024664235.1	1	52	False
GCF_024664255.1	1	52	False
GCF_024664275.1	1	52	False
GCF_024730645.1	4	20	False
GCF_024732225.1	172	1	True
GCF_024760585.1	1	52	False
GCF_024760605.1	1	52	False
GCF_024760625.1	1	52	False
GCF_024760645.1	1	52	False
GCF_025244785.1	8	8	False
GCF_025560745.1	173	1	True
GCF_025643495.1	174	1	True
GCF_025643515.1	175	1	True
GCF_025643555.1	2	29	False
GCF_025643575.1	4	20	False
GCF_026315005.1	0	233	False
GCF_026315025.1	0	233	False
GCF_026315045.1	0	233	False
GCF_026651625.1	21	4	False
GCF_026651975.1	1	52	False
GCF_026651995.1	1	52	False
GCF_026652015.1	1	52	False
GCF_026683835.2	176	1	True
GCF_026683855.2	15	5	False
GCF_026683875.2	15	5	False
GCF_026958255.1	177	1	True
GCF_028201395.1	0	233	False
GCF_028462305.2	178	1	True
GCF_028473685.1	179	1	True
GCF_028657905.1	180	1	True
GCF_029536165.1	181	1	True
GCF_029590335.1	5	13	False
GCF_029633645.1	30	3	False
GCF_029633805.1	182	1	True
GCF_029633825.1	5	13	False
GCF_029910195.1	183	1	True
GCF_029910215.1	184	1	True
GCF_029962485.1	185	1	True
GCF_030078435.1	6	13	False
GCF_030297195.1	0	233	False
GCF_030297215.1	0	233	False
GCF_030297235.1	0	233	False
GCF_030297255.1	0	233	False
GCF_030297275.1	0	233	False
GCF_030297295.1	0	233	False
GCF_030297315.1	0	233	False
GCF_030297335.1	0	233	False
GCF_030297355.1	0	233	False
GCF_030316055.1	50	2	True
GCF_030316075.1	50	2	False
GCF_030374675.1	186	1	True
GCF_030412785.1	187	1	True
GCF_030505635.1	1	52	False
GCF_030644525.1	28	3	False
GCF_030848725.1	188	1	True
GCF_031356765.1	189	1	True
GCF_031585635.1	190	1	True
GCF_032806925.1	191	1	True
GCF_033391855.2	192	1	True
GCF_033675275.1	3	26	False
GCF_033675305.1	3	26	False
GCF_033675325.1	193	1	True
GCF_033870355.1	0	233	False
GCF_033870375.1	0	233	False
GCF_033870395.1	0	233	False
GCF_033956065.1	0	233	False
GCF_034047095.1	51	2	True
GCF_034424375.1	194	1	True
GCF_034424545.1	52	2	True
GCF_035621555.1	3	26	False
GCF_036352035.1	32	3	False
GCF_036362805.1	2	29	False
GCF_036837415.1	11	7	False
GCF_036839165.1	11	7	False
GCF_037055255.1	195	1	True
GCF_037101255.1	33	3	False
GCF_037101275.1	26	3	False
GCF_037477895.1	196	1	True
GCF_037477905.1	53	2	True
GCF_037478035.1	197	1	True
GCF_037478045.1	198	1	True
GCF_037478055.1	54	2	True
GCF_037478065.1	199	1	True
GCF_037478075.1	200	1	True
GCF_037478085.1	53	2	False
GCF_038050405.1	201	1	True
GCF_038452255.1	202	1	True
GCF_038723655.1	10	8	False
GCF_038782865.1	203	1	True
GCF_038983115.1	0	233	False
GCF_038983225.1	0	233	False
GCF_039621805.1	204	1	True
GCF_039728355.1	4	20	False
GCF_039848545.1	43	2	False
GCF_039852015.1	205	1	True
GCF_040215475.1	5	13	False
GCF_040314805.1	52	2	False
GCF_040361905.1	206	1	True
GCF_040735455.1	207	1	True
GCF_040761425.1	27	3	False
GCF_041070875.1	14	6	False
GCF_041205585.2	4	20	False
GCF_042604585.1	44	2	False
GCF_042604595.1	8	8	False
GCF_043193125.1	208	1	True
GCF_044057485.1	5	13	False
GCF_044501195.1	209	1	True
GCF_045345775.1	210	1	True
GCF_045348565.1	211	1	True
GCF_045862465.1	48	2	False
GCF_045925845.1	212	1	True
GCF_046773525.1	213	1	True
GCF_047127275.1	214	1	True
GCF_047325075.1	215	1	True
GCF_047497155.1	216	1	True
GCF_047497165.1	217	1	True
GCF_047902435.1	218	1	True
GCF_048565175.1	8	8	False
